"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=1","KernelSHAPIQ",50,0.0175253218341473,0.0161004012291367,0.0189502424391578
"2","k=1","KernelSHAPIQ",100,0.00295732292077072,0.00283011204868928,0.00308453379285216
"3","k=1","KernelSHAPIQ",250,0.00087877908179861,0.000830620685251002,0.000926937478346218
"4","k=1","KernelSHAPIQ",500,0.00020947797195871,0.000200035592803598,0.000218920351113822
"5","k=1","KernelSHAPIQ",750,0.0001253626394819,0.000118816262527342,0.000131909016436458
"6","k=1","KernelSHAPIQ",1000,0.00129658024074172,0.00124302541217756,0.00135013506930588
"7","k=1","KernelSHAPIQ",2000,7.99447209242856e-05,7.53158615534601e-05,8.45735802951111e-05
"8","k=1","KernelSHAPIQ",3500,2.94036337273228e-05,2.75446522325978e-05,3.12626152220478e-05
"9","k=1","KernelSHAPIQ",5000,1.76718210850752e-05,1.65855893995083e-05,1.87580527706421e-05
"10","k=1","PermutationIQ",50,0.00397423028437357,0.00379239447942665,0.00415606608932049
"11","k=1","PermutationIQ",100,0.00182547134323076,0.00172886121284211,0.00192208147361941
"12","k=1","PermutationIQ",250,0.00067234883503893,0.000633106147761035,0.000711591522316825
"13","k=1","PermutationIQ",500,0.0003641834646588,0.000343449415647681,0.000384917513669919
"14","k=1","PermutationIQ",750,0.00022791209142634,0.000215417118337847,0.000240407064514833
"15","k=1","PermutationIQ",1000,0.0001684268913838,0.00015983857699254,0.00017701520577506
"16","k=1","PermutationIQ",2000,8.13529438155358e-05,7.68885838437437e-05,8.58173037873278e-05
"17","k=1","PermutationIQ",3500,5.17196532490902e-05,4.84647713137853e-05,5.49745351843951e-05
"18","k=1","PermutationIQ",5000,3.33572898936648e-05,3.13639639807112e-05,3.53506158066185e-05
"19","k=1","PermutationIQStratified",100,0.00128344593328016,0.00116041645426854,0.00140647541229178
"20","k=1","PermutationIQStratified",250,0.00043067828284147,0.000410119257619682,0.000451237308063258
"21","k=1","PermutationIQStratified",500,0.0001139702372196,0.000104277819743862,0.000123662654695338
"22","k=1","PermutationIQStratified",750,3.43378239395142e-05,3.02710162341525e-05,3.84046316448758e-05
"23","k=1","PermutationIQStratified",1000,2.15798033210696e-05,1.8481787579681e-05,2.46778190624582e-05
"24","k=1","PermutationIQStratified",2000,6.55658965085489e-06,6.14594758021657e-06,6.9672317214932e-06
"25","k=1","PermutationIQStratified",3500,4.03010956205455e-06,3.7725013416579e-06,4.2877177824512e-06
"26","k=1","PermutationIQStratified",5000,2.87348171284196e-06,2.6398293034429e-06,3.10713412224103e-06
"27","k=1","PermutationSamplingSII",50,0.00200720227198747,0.00199044065848704,0.0020239638854879
"28","k=1","PermutationSamplingSII",100,0.00200720227198747,0.00199044065848704,0.0020239638854879
"29","k=1","PermutationSamplingSII",250,0.00200720227198747,0.00199044065848704,0.0020239638854879
"30","k=1","PermutationSamplingSII",500,0.0120351750005787,0.0116623091896923,0.0124080408114652
"31","k=1","PermutationSamplingSII",750,0.00637124987717251,0.00602203271049838,0.00672046704384664
"32","k=1","PermutationSamplingSII",1000,0.00583537244191124,0.00558698743676514,0.00608375744705734
"33","k=1","PermutationSamplingSII",2000,0.0023740969985131,0.00226850047421589,0.00247969352281031
"34","k=1","PermutationSamplingSII",3500,0.0013628817461855,0.00126872306110431,0.00145704043126668
"35","k=1","PermutationSamplingSII",5000,0.00083288013573296,0.000790863303313583,0.000874896968152337
"36","k=1","SHAPIQ",50,0.00879683024277173,0.00834501396785393,0.00924864651768953
"37","k=1","SHAPIQ",100,0.00250934744094753,0.00236352323690053,0.00265517164499453
"38","k=1","SHAPIQ",250,0.00067382827011448,0.000640435425351568,0.000707221114877392
"39","k=1","SHAPIQ",500,0.00011916808503828,0.000112970515860912,0.000125365654215648
"40","k=1","SHAPIQ",750,5.94103564842801e-05,5.59273231611432e-05,6.2893389807417e-05
"41","k=1","SHAPIQ",1000,0.00591763214613276,0.00564482004001399,0.00619044425225153
"42","k=1","SHAPIQ",2000,0.00033902040767848,0.000318226188087704,0.000359814627269256
"43","k=1","SHAPIQ",3500,0.00012974449618168,0.000122392286424348,0.000137096705939012
"44","k=1","SHAPIQ",5000,6.95959525347507e-05,6.56140390318726e-05,7.35778660376289e-05
"45","k=1","SVARMIQ",50,0.00185243129000812,0.00175250149835109,0.00195236108166515
"46","k=1","SVARMIQ",100,0.00024629425222097,0.000225923231205268,0.000266665273236672
"47","k=1","SVARMIQ",250,2.02453106165928e-05,1.91892577390821e-05,2.13013634941036e-05
"48","k=1","SVARMIQ",500,1.84231865564923e-05,1.74921368643219e-05,1.93542362486627e-05
"49","k=1","SVARMIQ",750,1.8420062564781e-05,1.74341884473892e-05,1.94059366821728e-05
"50","k=1","SVARMIQ",1000,0.00054549500520512,0.000501686165023842,0.000589303845386398
"51","k=1","SVARMIQ",2000,5.92857111819593e-07,5.59630976186992e-07,6.26083247452194e-07
"52","k=1","SVARMIQ",3500,2.23083062116545e-07,2.10079614398152e-07,2.36086509834939e-07
"53","k=1","SVARMIQ",5000,1.28998800730033e-07,1.22128455246755e-07,1.3586914621331e-07
"54","k=2","KernelSHAPIQ",50,431183269452467,34906.8125,862366538870026
"55","k=2","KernelSHAPIQ",100,59.9847878742009,0.889854738452179,119.07972100995
"56","k=2","KernelSHAPIQ",250,0.0260666975393949,0.0247856068212043,0.0273477882575854
"57","k=2","KernelSHAPIQ",500,0.00183560151927813,0.00179225429540844,0.00187894874314782
"58","k=2","KernelSHAPIQ",750,0.00070677510245661,0.000692051165521088,0.000721499039392132
"59","k=2","KernelSHAPIQ",1000,0.0140483673757929,0.0138365385635558,0.0142601961880301
"60","k=2","KernelSHAPIQ",2000,0.00102648026967355,0.00100217363794394,0.00105078690140316
"61","k=2","KernelSHAPIQ",3500,0.00040858588490176,0.00039662890374189,0.00042054286606163
"62","k=2","KernelSHAPIQ",5000,0.00023337372916301,0.000226634634186473,0.000240112824139547
"63","k=2","PermutationIQ",50,0.00199100338588581,0.00193313261403633,0.00204887415773529
"64","k=2","PermutationIQ",100,0.00110595996027642,0.00107516119395584,0.001136758726597
"65","k=2","PermutationIQ",250,0.00048333138985208,0.000467105131396946,0.000499557648307214
"66","k=2","PermutationIQ",500,0.00024652468624956,0.000237012365250827,0.000256037007248293
"67","k=2","PermutationIQ",750,0.0001514536060642,0.000146022278331903,0.000156884933796497
"68","k=2","PermutationIQ",1000,0.00012028774953346,0.000116092183142424,0.000124483315924496
