"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"1","k=1","KernelSHAPIQ",16,0.72,0.709309550323503,0.730690449676497
"2","k=1","KernelSHAPIQ",50,0.744,0.734036802414764,0.753963197585236
"3","k=1","KernelSHAPIQ",100,0.754,0.742147160849891,0.765852839150109
"4","k=1","KernelSHAPIQ",250,0.81,0.799599843015314,0.820400156984686
"5","k=1","KernelSHAPIQ",500,0.91,0.901793481933517,0.918206518066483
"6","k=1","KernelSHAPIQ",750,0.952,0.944862859430402,0.959137140569598
"7","k=1","KernelSHAPIQ",1000,0.752,0.740846159259461,0.763153840740539
"8","k=1","KernelSHAPIQ",2000,0.9,0.890102566813892,0.909897433186108
"9","k=1","KernelSHAPIQ",3500,0.942,0.934949164183284,0.949050835816716
"10","k=1","KernelSHAPIQ",5000,0.952,0.944312214830244,0.959687785169756
"11","k=1","PermutationIQ",16,0.9,0.890964920970947,0.909035079029053
"12","k=1","PermutationIQ",50,0.768,0.754770472111097,0.781229527888903
"13","k=1","PermutationIQ",100,0.778,0.764816832005647,0.791183167994354
"14","k=1","PermutationIQ",250,0.808,0.795273681456388,0.820726318543611
"15","k=1","PermutationIQ",500,0.848,0.838004082465979,0.85799591753402
"16","k=1","PermutationIQ",750,0.846,0.834857142857143,0.857142857142857
"17","k=1","PermutationIQ",1000,0.882,0.871049275487579,0.892950724512421
"18","k=1","PermutationIQ",2000,0.9,0.890964920970947,0.909035079029053
"19","k=1","PermutationIQ",3500,0.906,0.895934905740681,0.916065094259319
"20","k=1","PermutationIQ",5000,0.942,0.933873449912384,0.950126550087616
"21","k=1","PermutationIQStratified",16,0.9,0.890964920970947,0.909035079029053
"22","k=1","PermutationIQStratified",50,0.808,0.793760073377855,0.822239926622145
"23","k=1","PermutationIQStratified",100,0.758,0.74727524321193,0.768724756788071
"24","k=1","PermutationIQStratified",250,0.798,0.78675504648334,0.80924495351666
"25","k=1","PermutationIQStratified",500,0.9,0.889698424927246,0.910301575072754
"26","k=1","PermutationIQStratified",750,0.938,0.928571428571428,0.947428571428571
"27","k=1","PermutationIQStratified",1000,0.946,0.938880036688927,0.953119963311073
"28","k=1","PermutationIQStratified",2000,0.972,0.965585730194102,0.978414269805898
"29","k=1","PermutationIQStratified",3500,0.978,0.972082195663655,0.983917804336345
"30","k=1","PermutationIQStratified",5000,0.962,0.955065907943136,0.968934092056864
"31","k=1","PermutationSamplingSII",16,0.9,0.890964920970947,0.909035079029053
"32","k=1","PermutationSamplingSII",50,0.9,0.890964920970947,0.909035079029053
"33","k=1","PermutationSamplingSII",100,0.9,0.890964920970947,0.909035079029053
"34","k=1","PermutationSamplingSII",250,0.9,0.890964920970947,0.909035079029053
"35","k=1","PermutationSamplingSII",500,0.734,0.723079134369362,0.744920865630638
"36","k=1","PermutationSamplingSII",750,0.742,0.729193751525134,0.754806248474866
"37","k=1","PermutationSamplingSII",1000,0.764,0.752303148862595,0.775696851137405
"38","k=1","PermutationSamplingSII",2000,0.764,0.753023215592972,0.774976784407028
"39","k=1","PermutationSamplingSII",3500,0.768,0.757922747377972,0.778077252622028
"40","k=1","PermutationSamplingSII",5000,0.792,0.78216877112338,0.80183122887662
"41","k=1","SHAPIQ",16,0.72,0.710102566813892,0.729897433186108
"42","k=1","SHAPIQ",50,0.728,0.715209697551086,0.740790302448914
"43","k=1","SHAPIQ",100,0.73,0.718133394481546,0.741866605518454
"44","k=1","SHAPIQ",250,0.762,0.750257872806837,0.773742127193163
"45","k=1","SHAPIQ",500,0.87,0.85884250046299,0.88115749953701
"46","k=1","SHAPIQ",750,0.904,0.89593900801162,0.912060991988381
"47","k=1","SHAPIQ",1000,0.736,0.725401578862291,0.746598421137709
"48","k=1","SHAPIQ",2000,0.822,0.809130164994794,0.834869835005206
"49","k=1","SHAPIQ",3500,0.888,0.879129043030709,0.896870956969291
"50","k=1","SHAPIQ",5000,0.906,0.896781562397199,0.915218437602801
"51","k=1","SVARMIQ",16,0.73,0.71746433658944,0.74253566341056
"52","k=1","SVARMIQ",50,0.754,0.742147160849891,0.765852839150109
"53","k=1","SVARMIQ",100,0.876,0.865097837698092,0.886902162301908
"54","k=1","SVARMIQ",250,0.954,0.946880036688927,0.961119963311073
"55","k=1","SVARMIQ",500,0.96,0.953001457877762,0.966998542122238
"56","k=1","SVARMIQ",750,0.96,0.953001457877762,0.966998542122238
"57","k=1","SVARMIQ",1000,0.806,0.791041554156905,0.820958445843095
"58","k=1","SVARMIQ",2000,0.98,0.974285714285714,0.985714285714286
"59","k=1","SVARMIQ",3500,0.982,0.976511607796486,0.987488392203514
"60","k=1","SVARMIQ",5000,0.988,0.983357692340208,0.992642307659792
"61","k=2","KernelSHAPIQ",16,0.112,0.0981082905358363,0.125891709464164
"62","k=2","KernelSHAPIQ",50,0.078,0.0661196440649761,0.0898803559350239
"63","k=2","KernelSHAPIQ",100,0.116,0.101611796214841,0.130388203785159
"64","k=2","KernelSHAPIQ",250,0.144,0.130250046382267,0.157749953617733
"65","k=2","KernelSHAPIQ",500,0.214,0.199428571428571,0.228571428571429
"66","k=2","KernelSHAPIQ",750,0.28,0.266297624219107,0.293702375780894
"67","k=2","KernelSHAPIQ",1000,0.126,0.112354338358561,0.139645661641439
"68","k=2","KernelSHAPIQ",2000,0.218,0.203239324167898,0.232760675832102
"69","k=2","KernelSHAPIQ",3500,0.302,0.287019740881236,0.316980259118764
"70","k=2","KernelSHAPIQ",5000,0.37,0.354814077410379,0.385185922589621
"71","k=2","PermutationIQ",16,0.04,0.0285714285714286,0.0514285714285714
"72","k=2","PermutationIQ",50,0.16,0.144092101820486,0.175907898179514
"73","k=2","PermutationIQ",100,0.156,0.137669697220177,0.174330302779823
"74","k=2","PermutationIQ",250,0.244,0.225448362193431,0.262551637806569
"75","k=2","PermutationIQ",500,0.266,0.248246586990965,0.283753413009035
"76","k=2","PermutationIQ",750,0.376,0.355886038963659,0.396113961036341
"77","k=2","PermutationIQ",1000,0.444,0.418419395102172,0.469580604897828
"78","k=2","PermutationIQ",2000,0.526,0.5040892347771,0.5479107652229
"79","k=2","PermutationIQ",3500,0.604,0.58115000111642,0.62684999888358
"80","k=2","PermutationIQ",5000,0.666,0.650717623862496,0.681282376137504
"81","k=2","PermutationIQStratified",16,0.04,0.0285714285714286,0.0514285714285714
"82","k=2","PermutationIQStratified",50,0.04,0.028219698212521,0.051780301787479
"83","k=2","PermutationIQStratified",100,0.164,0.14691438127117,0.18108561872883
"84","k=2","PermutationIQStratified",250,0.236,0.21753657780411,0.25446342219589
"85","k=2","PermutationIQStratified",500,0.364,0.345984133976646,0.382015866023354
"86","k=2","PermutationIQStratified",750,0.462,0.442857142857143,0.481142857142857
"87","k=2","PermutationIQStratified",1000,0.47,0.452329547318781,0.487670452681219
"88","k=2","PermutationIQStratified",2000,0.614,0.596154861177569,0.631845138822431
"89","k=2","PermutationIQStratified",3500,0.706,0.688759800181091,0.723240199818909
"90","k=2","PermutationIQStratified",5000,0.76,0.747222468700001,0.772777531299999
"91","k=2","PermutationSamplingSII",16,0.48,0.469309550323503,0.490690449676497
"92","k=2","PermutationSamplingSII",50,0.48,0.469309550323503,0.490690449676497
"93","k=2","PermutationSamplingSII",100,0.48,0.469309550323503,0.490690449676497
"94","k=2","PermutationSamplingSII",250,0.48,0.469309550323503,0.490690449676497
"95","k=2","PermutationSamplingSII",500,0.106,0.0940784879742714,0.117921512025729
"96","k=2","PermutationSamplingSII",750,0.102,0.0893864342544891,0.114613565745511
"97","k=2","PermutationSamplingSII",1000,0.112,0.0984052831390054,0.125594716860995
"98","k=2","PermutationSamplingSII",2000,0.116,0.102489610951386,0.129510389048614
"99","k=2","PermutationSamplingSII",3500,0.122,0.109130164994794,0.134869835005206
"100","k=2","PermutationSamplingSII",5000,0.158,0.142589958216958,0.173410041783042
"101","k=2","SHAPIQ",16,0.112,0.0984052831390054,0.125594716860995
"102","k=2","SHAPIQ",50,0.13,0.11746433658944,0.14253566341056
"103","k=2","SHAPIQ",100,0.144,0.129668644338303,0.158331355661697
"104","k=2","SHAPIQ",250,0.148,0.134226319093493,0.161773680906507
"105","k=2","SHAPIQ",500,0.236,0.219154968030876,0.252845031969124
"106","k=2","SHAPIQ",750,0.31,0.294028085875002,0.325971914124998
"107","k=2","SHAPIQ",1000,0.09,0.0771428571428572,0.102857142857143
"108","k=2","SHAPIQ",2000,0.198,0.180740870502241,0.215259129497759
"109","k=2","SHAPIQ",3500,0.272,0.254378121205589,0.289621878794411
"110","k=2","SHAPIQ",5000,0.336,0.316049039714176,0.355950960285824
"111","k=2","SVARMIQ",16,0.1,0.0851538502208382,0.114846149779162
"112","k=2","SVARMIQ",50,0.14,0.126297624219107,0.153702375780893
"113","k=2","SVARMIQ",100,0.194,0.175393439822669,0.212606560177331
"114","k=2","SVARMIQ",250,0.296,0.280102368293436,0.311897631706564
"115","k=2","SVARMIQ",500,0.784,0.769898328366568,0.798101671633432
"116","k=2","SVARMIQ",750,0.806,0.790505432156622,0.821494567843379
"117","k=2","SVARMIQ",1000,0.146,0.129288767067555,0.162711232932445
"118","k=2","SVARMIQ",2000,0.856,0.843824413855621,0.868175586144379
"119","k=2","SVARMIQ",3500,0.916,0.906803727463182,0.925196272536818
