"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=1","KernelSHAPIQ",50,0.0177418816266876,0.0152366453899122,0.020247117863463
"2","k=1","KernelSHAPIQ",100,0.00296873488832547,0.00271268380389208,0.00322478597275886
"3","k=1","KernelSHAPIQ",200,0.00110150614560269,0.00103423905877024,0.00116877323243514
"4","k=1","KernelSHAPIQ",350,0.00037933980422392,0.000362594794527376,0.000396084813920464
"5","k=1","KernelSHAPIQ",500,0.00024154115872106,0.000224122462325051,0.000258959855117069
"6","k=1","KernelSHAPIQ",750,6.98951303832639e-05,6.50800330217705e-05,7.47102277447573e-05
"7","k=1","KernelSHAPIQ",1000,8.12244389087737e-06,7.51603343597135e-06,8.72885434578338e-06
"8","k=1","PermutationIQ",50,0.00764881477054039,0.00705984289660674,0.00823778664447404
"9","k=1","PermutationIQ",100,0.00409244001348839,0.00362668558160935,0.00455819444536743
"10","k=1","PermutationIQ",200,0.00208235606337074,0.00187776815929,0.00228694396745148
"11","k=1","PermutationIQ",350,0.00088821945143267,0.000813183043220944,0.000963255859644396
"12","k=1","PermutationIQ",500,0.00069662792050917,0.000629115170609276,0.000764140670409064
"13","k=1","PermutationIQ",750,0.00046377961460706,0.000423101773369367,0.000504457455844753
"14","k=1","PermutationIQ",1000,0.00031989146820376,0.000292594486155238,0.000347188450252282
"15","k=1","PermutationIQStratified",100,0.00292293321021394,0.00269412694813288,0.003151739472295
"16","k=1","PermutationIQStratified",200,0.00083286967969608,0.000741981432003274,0.000923757927388886
"17","k=1","PermutationIQStratified",350,0.0002859092344082,0.0002469618210999,0.0003248566477165
"18","k=1","PermutationIQStratified",500,0.00013475384891137,0.00011841866835586,0.00015108902946688
"19","k=1","PermutationIQStratified",750,7.52458044799018e-05,6.84385522364774e-05,8.20530567233261e-05
"20","k=1","PermutationIQStratified",1000,5.22567756085549e-05,4.85662988848291e-05,5.59472523322807e-05
"21","k=1","PermutationSamplingSII",50,0.0121146561418266,0.011777751063893,0.0124515612197601
"22","k=1","PermutationSamplingSII",100,0.0121146561418266,0.011777751063893,0.0124515612197601
"23","k=1","PermutationSamplingSII",200,0.0121146561418266,0.011777751063893,0.0124515612197601
"24","k=1","PermutationSamplingSII",350,0.0343393390871346,0.0323512367254827,0.0363274414487865
"25","k=1","PermutationSamplingSII",500,0.0180260565135649,0.0165507166139325,0.0195013964131974
"26","k=1","PermutationSamplingSII",750,0.0103032295457916,0.00953532976592953,0.0110711293256537
"27","k=1","PermutationSamplingSII",1000,0.00815820682232651,0.0073818143858403,0.00893459925881272
"28","k=1","SHAPIQ",50,0.0186268493391827,0.0173289138428533,0.0199247848355121
"29","k=1","SHAPIQ",100,0.00455402627440665,0.0042140919147883,0.004893960634025
"30","k=1","SHAPIQ",200,0.00170877279069062,0.0015970055832114,0.00182053999816984
"31","k=1","SHAPIQ",350,0.00038608698129521,0.000352512189146656,0.000419661773443764
"32","k=1","SHAPIQ",500,0.00105982350258576,0.000976434786455645,0.00114321221871588
"33","k=1","SHAPIQ",750,0.00029735229728126,0.000275203341729804,0.000319501252832716
"34","k=1","SHAPIQ",1000,3.47968450525026e-05,3.2097970433943e-05,3.74957196710623e-05
"35","k=1","SVARMIQ",50,0.00457662747747355,0.00432593770296005,0.00482731725198705
"36","k=1","SVARMIQ",100,0.00046731777919579,0.000415235821101111,0.000519399737290469
"37","k=1","SVARMIQ",200,0.00029811297804338,0.000266128928869155,0.000330097027217605
"38","k=1","SVARMIQ",350,0.00030298980425051,0.000273147894608249,0.000332831713892771
"39","k=1","SVARMIQ",500,1.35245585691024e-05,1.19175534529157e-05,1.5131563685289e-05
"40","k=1","SVARMIQ",750,3.92041115524819e-06,3.37475828114352e-06,4.46606402935286e-06
"41","k=1","SVARMIQ",1000,3.88305171550793e-07,3.48351665591599e-07,4.28258677509987e-07
"42","k=2","KernelSHAPIQ",50,37.9180109537168,17.557656700766,58.2783652066676
"43","k=2","KernelSHAPIQ",100,0.0502772580378701,0.0464270217089951,0.054127494366745
"44","k=2","KernelSHAPIQ",200,0.00790834271906889,0.00720992355328713,0.00860676188485065
"45","k=2","KernelSHAPIQ",350,0.00035960189140686,0.000335937922277038,0.000383265860536682
"46","k=2","KernelSHAPIQ",500,0.00148600872704705,0.00136381432968,0.0016082031244141
"47","k=2","KernelSHAPIQ",750,0.00042409503069637,0.000390651838952244,0.000457538222440496
"48","k=2","KernelSHAPIQ",1000,4.53640616670385e-05,4.21886002753826e-05,4.85395230586945e-05
"49","k=2","PermutationIQ",50,0.00771228768222336,0.00728596250885198,0.00813861285559474
"50","k=2","PermutationIQ",100,0.00418554923113408,0.00381338776243729,0.00455771069983087
"51","k=2","PermutationIQ",200,0.00217985958324445,0.00200544120587519,0.00235427796061371
"52","k=2","PermutationIQ",350,0.00093642661616479,0.000892036012149095,0.000980817220180485
"53","k=2","PermutationIQ",500,0.00074939416773623,0.00068770300226063,0.00081108533321183
"54","k=2","PermutationIQ",750,0.00051777231219445,0.000482428949759935,0.000553115674628965
"55","k=2","PermutationIQ",1000,0.00036023098584116,0.000332980367536983,0.000387481604145338
"56","k=2","PermutationIQStratified",50,0.0452251375485106,0.00985227294535498,0.0805980021516662
"57","k=2","PermutationIQStratified",100,0.0101739576420901,0.00913262495588375,0.0112152903282965
"58","k=2","PermutationIQStratified",200,0.00448747438942471,0.00405158372283413,0.00492336505601529
"59","k=2","PermutationIQStratified",350,0.00159658219503362,0.00141920651871757,0.00177395787134967
"60","k=2","PermutationIQStratified",500,0.00095147338936814,0.000862020415647073,0.00104092636308921
"61","k=2","PermutationIQStratified",750,0.00069838951633827,0.00057010412564361,0.00082667490703293
"62","k=2","PermutationIQStratified",1000,0.00041200435656657,0.000383871223623279,0.000440137489509861
"63","k=2","PermutationSamplingSII",50,0.00569858288056556,0.00554810327699906,0.00584906248413206
"64","k=2","PermutationSamplingSII",100,0.00569858288056556,0.00554810327699906,0.00584906248413206
"65","k=2","PermutationSamplingSII",200,0.00569858288056556,0.00554810327699906,0.00584906248413206
"66","k=2","PermutationSamplingSII",350,0.00875510876281503,0.00823957552575594,0.00927064199987412
"67","k=2","PermutationSamplingSII",500,0.0117038254430731,0.0109431611433895,0.0124644897427567
"68","k=2","PermutationSamplingSII",750,0.0135500243928811,0.0125345816052223,0.0145654671805399
"69","k=2","PermutationSamplingSII",1000,0.0158361485771477,0.014642801042806,0.0170294961114894
"70","k=2","SHAPIQ",50,0.120521867334901,0.115441506909617,0.125602227760184
"71","k=2","SHAPIQ",100,0.0402762228526833,0.0383202569629839,0.0422321887423826
"72","k=2","SHAPIQ",200,0.012406037037206,0.0118053406289547,0.0130067334454573
"73","k=2","SHAPIQ",350,0.00051466699520358,0.000494466146239663,0.000534867844167497
"74","k=2","SHAPIQ",500,0.00536004720979236,0.00510739838325391,0.00561269603633081
"75","k=2","SHAPIQ",750,0.00150389251935844,0.00143714356507021,0.00157064147364667
"76","k=2","SHAPIQ",1000,0.00015474343668499,0.000148852567373759,0.000160634305996221
"77","k=2","SVARMIQ",50,0.0164268197977622,0.0157050097793069,0.0171486298162175
"78","k=2","SVARMIQ",100,0.0183352547678087,0.017661807192499,0.0190087023431184
"79","k=2","SVARMIQ",200,0.00312111197017999,0.00298894653923471,0.00325327740112527
"80","k=2","SVARMIQ",350,3.09983155059239e-05,2.83872157839198e-05,3.36094152279281e-05
"81","k=2","SVARMIQ",500,7.28108542465006e-05,6.47311905009528e-05,8.08905179920483e-05
"82","k=2","SVARMIQ",750,1.77977513340805e-05,1.60810630320661e-05,1.95144396360949e-05
"83","k=2","SVARMIQ",1000,1.9541530460676e-06,1.75130525668837e-06,2.15700083544683e-06
"84","k=3","KernelSHAPIQ",50,2.18534398172916,0.763362151701917,3.6073258117564
"85","k=3","KernelSHAPIQ",100,655.933420045939,13.9303631023929,1297.93647698948
"86","k=3","KernelSHAPIQ",200,2.61712445359258,0.436105490021593,4.79814341716356
"87","k=3","KernelSHAPIQ",350,0.00738442569156964,0.00684682652735705,0.00792202485578223
"88","k=3","KernelSHAPIQ",500,0.00749385416322114,0.0069138763208035,0.00807383200563878
"89","k=3","KernelSHAPIQ",750,0.00213109354339489,0.00197464509961728,0.0022875419871725
"90","k=3","KernelSHAPIQ",1000,0.00024522601066811,0.000225369651915247,0.000265082369420973
"91","k=3","PermutationIQ",50,0.0116148809756997,0.0109789715174124,0.0122507904339869
"92","k=3","PermutationIQ",100,0.00665685731311018,0.00613655564894093,0.00717715897727943
"93","k=3","PermutationIQ",200,0.0037568757520997,0.00350961625952409,0.00400413524467531
"94","k=3","PermutationIQ",350,0.00207668524790328,0.0019901119934299,0.00216325850237666
"95","k=3","PermutationIQ",500,0.00162554249570903,0.0015258174034271,0.00172526758799096
"96","k=3","PermutationIQ",750,0.00112089847629599,0.00105841392711825,0.00118338302547373
"97","k=3","PermutationIQ",1000,0.0008220052705656,0.000772852444160661,0.000871158096970539
"98","k=3","PermutationIQStratified",50,0.110038414573447,0.0634037110406989,0.156673118106194
"99","k=3","PermutationIQStratified",100,0.0344859909793458,0.0309105944712007,0.0380613874874909
"100","k=3","PermutationIQStratified",200,0.0123274876409385,0.0111310783799112,0.0135238969019659
"101","k=3","PermutationIQStratified",350,0.00408886660159239,0.00371216393604671,0.00446556926713807
"102","k=3","PermutationIQStratified",500,0.00248873370839632,0.00221623538005469,0.00276123203673795
"103","k=3","PermutationIQStratified",750,0.00161078905289912,0.00128214468809505,0.00193943341770319
"104","k=3","PermutationIQStratified",1000,0.00093443893843966,0.00088968310695529,0.00097919476992403
"105","k=3","PermutationSamplingSII",50,0.00417156449271409,0.00395773478282946,0.00438539420259872
"106","k=3","PermutationSamplingSII",100,0.00417156449271409,0.00395773478282946,0.00438539420259872
"107","k=3","PermutationSamplingSII",200,0.00417156449271409,0.00395773478282946,0.00438539420259872
"108","k=3","PermutationSamplingSII",350,0.00483715910989926,0.00457489547892985,0.00509942274086867
"109","k=3","PermutationSamplingSII",500,0.00585539446553424,0.00545323330343191,0.00625755562763657
"110","k=3","PermutationSamplingSII",750,0.00678054778934486,0.00628525155501303,0.00727584402367669
"111","k=3","PermutationSamplingSII",1000,0.00742000434173113,0.00686961761462007,0.00797039106884219
"112","k=3","SHAPIQ",50,0.56798877222852,0.544844112911029,0.59113343154601
"113","k=3","SHAPIQ",100,0.206667683188764,0.199124276610539,0.214211089766989
"114","k=3","SHAPIQ",200,0.0689840286492927,0.0664609442059057,0.0715071130926798
"115","k=3","SHAPIQ",350,0.00517211737207981,0.00496666944332746,0.00537756530083216
"116","k=3","SHAPIQ",500,0.0311221505066831,0.0299246236250313,0.0323196773883349
"117","k=3","SHAPIQ",750,0.00806561653295855,0.00779183167735458,0.00833940138856252
"118","k=3","SHAPIQ",1000,0.00085078929446931,0.000818704993878153,0.000882873595060467
"119","k=3","SVARMIQ",50,0.0438903227684612,0.0423044131169599,0.0454762324199625
"120","k=3","SVARMIQ",100,0.0243797886988745,0.0236319038470099,0.0251276735507391
"121","k=3","SVARMIQ",200,0.0115091411182512,0.0111026348128987,0.0119156474236037
"122","k=3","SVARMIQ",350,0.00014487960015452,0.00014109742173331,0.00014866177857573
"123","k=3","SVARMIQ",500,0.00258573333006971,0.0025189581507753,0.00265250850936412
"124","k=3","SVARMIQ",750,9.90244557372856e-05,9.08328085743443e-05,0.000107216102900227
"125","k=3","SVARMIQ",1000,7.99387294984016e-06,7.19653403063372e-06,8.7912118690466e-06
"126","k=4","KernelSHAPIQ",50,0.00694200953896524,0.00626205586027133,0.00762196321765915
"127","k=4","KernelSHAPIQ",100,0.0344837333599358,0.0321523804050271,0.0368150863148445
"128","k=4","KernelSHAPIQ",200,0.0202940392692958,0.0187523483050568,0.0218357302335347
"129","k=4","KernelSHAPIQ",350,0.00048322799360055,0.000411621332455936,0.000554834654745164
"130","k=4","KernelSHAPIQ",500,0.146056679181888,0.134760814305511,0.157352544058265
"131","k=4","KernelSHAPIQ",750,0.0237288968242502,0.0217517647097815,0.0257060289387189
"132","k=4","KernelSHAPIQ",1000,0.00133947003172304,0.0012361653078114,0.00144277475563468
"133","k=4","PermutationIQ",50,0.0245096969674896,0.022619186553905,0.0264002073810742
"134","k=4","PermutationIQ",100,0.0140297525235348,0.0128648323610356,0.0151946726860341
"135","k=4","PermutationIQ",200,0.00826836160669324,0.00771084052381844,0.00882588268956804
"136","k=4","PermutationIQ",350,0.0047695075866954,0.0045454043037424,0.0049936108696484
"137","k=4","PermutationIQ",500,0.00366969743728192,0.00346365514477117,0.00387573972979267
"138","k=4","PermutationIQ",750,0.00242999306140475,0.00230192059076196,0.00255806553204754
"139","k=4","PermutationIQ",1000,0.00186735350194486,0.00176989323880932,0.0019648137650804
"140","k=4","PermutationIQStratified",50,0.412549502104668,0.271854623118229,0.553244381091108
"141","k=4","PermutationIQStratified",100,0.095054069143387,0.0843583000354556,0.105749838251319
"142","k=4","PermutationIQStratified",200,0.0283569473573196,0.0256197179334561,0.031094176781183
"143","k=4","PermutationIQStratified",350,0.00948275020071298,0.00866286663679119,0.0103026337646348
"144","k=4","PermutationIQStratified",500,0.00615230064298131,0.00532923818211783,0.00697536310384479
"145","k=4","PermutationIQStratified",750,0.00329417743155444,0.00278451964274766,0.00380383522036122
"146","k=4","PermutationIQStratified",1000,0.00203461891041558,0.00193149324189363,0.00213774457893753
"147","k=4","PermutationSamplingSII",50,0.00365141715364836,0.0033850105234979,0.00391782378379882
"148","k=4","PermutationSamplingSII",100,0.00365141715364836,0.0033850105234979,0.00391782378379882
