"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"1","k=1","KernelSHAPIQ",11,1,1,1
"2","k=1","KernelSHAPIQ",50,1,1,1
"3","k=1","KernelSHAPIQ",100,1,1,1
"4","k=1","KernelSHAPIQ",200,1,1,1
"5","k=1","KernelSHAPIQ",350,1,1,1
"6","k=1","KernelSHAPIQ",500,1,1,1
"7","k=1","KernelSHAPIQ",750,1,1,1
"8","k=1","KernelSHAPIQ",1000,1,1,1
"9","k=1","PermutationIQ",11,1,1,1
"10","k=1","PermutationIQ",50,1,1,1
"11","k=1","PermutationIQ",100,1,1,1
"12","k=1","PermutationIQ",200,1,1,1
"13","k=1","PermutationIQ",350,1,1,1
"14","k=1","PermutationIQ",500,1,1,1
"15","k=1","PermutationIQ",750,1,1,1
"16","k=1","PermutationIQ",1000,1,1,1
"17","k=1","PermutationIQStratified",11,1,1,1
"18","k=1","PermutationIQStratified",50,1,1,1
"19","k=1","PermutationIQStratified",100,1,1,1
"20","k=1","PermutationIQStratified",200,1,1,1
"21","k=1","PermutationIQStratified",350,1,1,1
"22","k=1","PermutationIQStratified",500,1,1,1
"23","k=1","PermutationIQStratified",750,1,1,1
"24","k=1","PermutationIQStratified",1000,1,1,1
"25","k=1","PermutationSamplingSII",11,1,1,1
"26","k=1","PermutationSamplingSII",50,1,1,1
"27","k=1","PermutationSamplingSII",100,1,1,1
"28","k=1","PermutationSamplingSII",200,1,1,1
"29","k=1","PermutationSamplingSII",350,1,1,1
"30","k=1","PermutationSamplingSII",500,1,1,1
"31","k=1","PermutationSamplingSII",750,1,1,1
"32","k=1","PermutationSamplingSII",1000,1,1,1
"33","k=1","SHAPIQ",11,1,1,1
"34","k=1","SHAPIQ",50,1,1,1
"35","k=1","SHAPIQ",100,1,1,1
"36","k=1","SHAPIQ",200,1,1,1
"37","k=1","SHAPIQ",350,1,1,1
"38","k=1","SHAPIQ",500,1,1,1
"39","k=1","SHAPIQ",750,1,1,1
"40","k=1","SHAPIQ",1000,1,1,1
"41","k=1","SVARMIQ",11,1,1,1
"42","k=1","SVARMIQ",50,1,1,1
"43","k=1","SVARMIQ",100,1,1,1
"44","k=1","SVARMIQ",200,1,1,1
"45","k=1","SVARMIQ",350,1,1,1
"46","k=1","SVARMIQ",500,1,1,1
"47","k=1","SVARMIQ",750,1,1,1
"48","k=1","SVARMIQ",1000,1,1,1
"49","k=2","KernelSHAPIQ",11,0.23,0.209347382435999,0.250652617564001
"50","k=2","KernelSHAPIQ",50,0.234,0.217191353051334,0.250808646948666
"51","k=2","KernelSHAPIQ",100,0.38,0.358429044470655,0.401570955529345
"52","k=2","KernelSHAPIQ",200,0.506,0.485119386982179,0.526880613017821
"53","k=2","KernelSHAPIQ",350,0.758,0.734949036055394,0.781050963944606
"54","k=2","KernelSHAPIQ",500,0.634,0.608031416154538,0.659968583845462
"55","k=2","KernelSHAPIQ",750,0.736,0.710483298786553,0.761516701213447
"56","k=2","KernelSHAPIQ",1000,0.86,0.842620678484862,0.877379321515138
"57","k=2","PermutationIQ",11,0.202,0.179055523985241,0.224944476014759
"58","k=2","PermutationIQ",50,0.328,0.303749605515517,0.352250394484483
"59","k=2","PermutationIQ",100,0.5,0.471003166956879,0.528996833043121
"60","k=2","PermutationIQ",200,0.596,0.567866208856934,0.624133791143066
"61","k=2","PermutationIQ",350,0.654,0.62905761741574,0.67894238258426
"62","k=2","PermutationIQ",500,0.686,0.660443340258499,0.711556659741501
"63","k=2","PermutationIQ",750,0.724,0.7,0.748
"64","k=2","PermutationIQ",1000,0.738,0.713943943017381,0.762056056982619
"65","k=2","PermutationIQStratified",11,0.202,0.179055523985241,0.224944476014759
"66","k=2","PermutationIQStratified",50,0.228,0.204957891252965,0.251042108747035
"67","k=2","PermutationIQStratified",100,0.442,0.42060192646474,0.46339807353526
"68","k=2","PermutationIQStratified",200,0.562,0.536462512549076,0.587537487450924
"69","k=2","PermutationIQStratified",350,0.688,0.667668060714677,0.708331939285322
"70","k=2","PermutationIQStratified",500,0.772,0.754148000740785,0.789851999259215
"71","k=2","PermutationIQStratified",750,0.788,0.767074476087314,0.808925523912686
"72","k=2","PermutationIQStratified",1000,0.806,0.78948531883815,0.82251468116185
"73","k=2","PermutationSamplingSII",11,0.15,0.134547637390869,0.165452362609131
"74","k=2","PermutationSamplingSII",50,0.15,0.134547637390869,0.165452362609131
"75","k=2","PermutationSamplingSII",100,0.15,0.134547637390869,0.165452362609131
"76","k=2","PermutationSamplingSII",200,0.15,0.134547637390869,0.165452362609131
"77","k=2","PermutationSamplingSII",350,0.202,0.187294732305763,0.216705267694237
"78","k=2","PermutationSamplingSII",500,0.288,0.27325315668507,0.30274684331493
"79","k=2","PermutationSamplingSII",750,0.306,0.287837468485357,0.324162531514643
"80","k=2","PermutationSamplingSII",1000,0.288,0.269563124794398,0.306436875205602
"81","k=2","SHAPIQ",11,0.218,0.199332118601235,0.236667881398765
"82","k=2","SHAPIQ",50,0.284,0.265625216924785,0.302374783075215
"83","k=2","SHAPIQ",100,0.284,0.26497048479389,0.303029515206111
"84","k=2","SHAPIQ",200,0.406,0.387614113664919,0.424385886335081
"85","k=2","SHAPIQ",350,0.718,0.695559148039018,0.740440851960982
"86","k=2","SHAPIQ",500,0.518,0.494148418098925,0.541851581901075
"87","k=2","SHAPIQ",750,0.64,0.613813853171681,0.666186146828319
"88","k=2","SHAPIQ",1000,0.796,0.776213383207793,0.815786616792207
"89","k=2","SVARMIQ",11,0.196,0.175603921945629,0.216396078054371
"90","k=2","SVARMIQ",50,0.358,0.339463769619076,0.376536230380924
"91","k=2","SVARMIQ",100,0.492,0.46864121893032,0.51535878106968
"92","k=2","SVARMIQ",200,0.568,0.542695325913732,0.593304674086268
