"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=1","KernelSHAPIQ",50,0.00423805222263217,0.0038303883954239,0.00464571604984044
"2","k=1","KernelSHAPIQ",100,0.00115144649077134,0.00106609720271644,0.00123679577882624
"3","k=1","KernelSHAPIQ",250,0.00043054035251492,0.000404613933399064,0.000456466771630776
"4","k=1","KernelSHAPIQ",500,0.00023349314139565,0.000222332341326153,0.000244653941465147
"5","k=1","KernelSHAPIQ",750,0.00021234549692292,0.000203644254535119,0.000221046739310721
"6","k=1","KernelSHAPIQ",1000,0.00042110592983126,0.000378376870191202,0.000463834989471318
"7","k=1","KernelSHAPIQ",2000,2.18691457190125e-05,2.01472232550223e-05,2.35910681830027e-05
"8","k=1","KernelSHAPIQ",3500,8.77596446524012e-06,8.19198844675852e-06,9.35994048372172e-06
"9","k=1","KernelSHAPIQ",5000,5.13339285243377e-06,4.75193694693608e-06,5.51484875793147e-06
"10","k=1","PermutationIQ",50,0.00909966690660938,0.00843165653282184,0.00976767728039692
"11","k=1","PermutationIQ",100,0.0037559875965015,0.00349310613384359,0.00401886905915941
"12","k=1","PermutationIQ",250,0.00149809871024632,0.00139937408520509,0.00159682333528755
"13","k=1","PermutationIQ",500,0.00084206791301038,0.000800332669499177,0.000883803156521583
"14","k=1","PermutationIQ",750,0.00047278471962904,0.000448534040130335,0.000497035399127745
"15","k=1","PermutationIQ",1000,0.00037926791027179,0.000361129573060381,0.000397406247483199
"16","k=1","PermutationIQ",2000,0.00018130201707146,0.000170254354683482,0.000192349679459438
"17","k=1","PermutationIQ",3500,0.0001127229155464,0.000106792678053753,0.000118653153039047
"18","k=1","PermutationIQ",5000,7.33062867899655e-05,6.89507355070288e-05,7.76618380729022e-05
"19","k=1","PermutationIQStratified",100,0.00260145032924039,0.00213196291313787,0.00307093774534291
"20","k=1","PermutationIQStratified",250,0.00176357379455829,0.00165404277292305,0.00187310481619353
"21","k=1","PermutationIQStratified",500,0.00103910026336949,0.000979803752712318,0.00109839677402666
"22","k=1","PermutationIQStratified",750,0.00058164266283111,0.00054959993298593,0.00061368539267629
"23","k=1","PermutationIQStratified",1000,0.00042255115306914,0.000400322354755487,0.000444779951382793
"24","k=1","PermutationIQStratified",2000,0.0001734702161856,0.000164749657817423,0.000182190774553777
"25","k=1","PermutationIQStratified",3500,0.00010299403625093,9.63989805719444e-05,0.000109589091929916
"26","k=1","PermutationIQStratified",5000,6.54900995066747e-05,6.24574258211643e-05,6.8522773192185e-05
"27","k=1","PermutationSamplingSII",50,0.00098526879149697,0.000919118234056148,0.00105141934893779
"28","k=1","PermutationSamplingSII",100,0.00098526879149697,0.000919118234056148,0.00105141934893779
"29","k=1","PermutationSamplingSII",250,0.00098526879149697,0.000919118234056148,0.00105141934893779
"30","k=1","PermutationSamplingSII",500,0.0268035939583936,0.0246359181330989,0.0289712697836883
"31","k=1","PermutationSamplingSII",750,0.0120931368757936,0.0113297427269946,0.0128565310245927
"32","k=1","PermutationSamplingSII",1000,0.0136109614321896,0.0127250452893737,0.0144968775750055
"33","k=1","PermutationSamplingSII",2000,0.00573990924628029,0.00544343159049595,0.00603638690206463
"34","k=1","PermutationSamplingSII",3500,0.00295992861139489,0.00280272147177454,0.00311713575101524
"35","k=1","PermutationSamplingSII",5000,0.00210897497193785,0.00197481800958522,0.00224313193429048
"36","k=1","SHAPIQ",50,0.00174576592244116,0.00153726872297362,0.0019542631219087
"37","k=1","SHAPIQ",100,0.0005413827595181,0.000479132051612152,0.000603633467424048
"38","k=1","SHAPIQ",250,0.00022354596789083,0.00020610870332262,0.00024098323245904
"39","k=1","SHAPIQ",500,0.00011455947530958,0.000111465386794052,0.000117653563825108
"40","k=1","SHAPIQ",750,0.00010661506476157,0.000104390458925143,0.000108839670597997
"41","k=1","SHAPIQ",1000,0.00094050843726821,0.00080971116456207,0.00107130570997435
"42","k=1","SHAPIQ",2000,5.05368080933912e-05,4.24070146436953e-05,5.86666015430871e-05
"43","k=1","SHAPIQ",3500,2.04423315717742e-05,1.74804100950542e-05,2.34042530484942e-05
"44","k=1","SHAPIQ",5000,1.06419866622584e-05,9.14059588260776e-06,1.2143377441909e-05
"45","k=1","SVARMIQ",50,0.00081629482440662,0.000765888830664889,0.000866700818148351
"46","k=1","SVARMIQ",100,0.00026781277635741,0.000255068489980624,0.000280557062734196
"47","k=1","SVARMIQ",250,0.00013814076476603,0.00013298349127131,0.00014329803826075
"48","k=1","SVARMIQ",500,0.00010482720021672,0.000102992110062938,0.000106662290370502
"49","k=1","SVARMIQ",750,0.00010173798589001,0.000100465950958177,0.000103010020821843
"50","k=1","SVARMIQ",1000,0.00041134807889309,0.000382524013496408,0.000440172144289771
"51","k=1","SVARMIQ",2000,1.62055481536737e-05,1.5376073243588e-05,1.70350230637595e-05
"52","k=1","SVARMIQ",3500,5.93030901314934e-06,5.63289820013843e-06,6.22771982616024e-06
"53","k=1","SVARMIQ",5000,3.32681679323584e-06,3.13838612830512e-06,3.51524745816656e-06
"54","k=2","KernelSHAPIQ",50,28875511648806,1307.3984375,57751023296304.5
"55","k=2","KernelSHAPIQ",100,22.3771846377936,0.362636030025534,44.3917332455616
"56","k=2","KernelSHAPIQ",250,0.0131534987021089,0.011744449933152,0.0145625474710658
"57","k=2","KernelSHAPIQ",500,0.00150981084795049,0.00143877086184993,0.00158085083405105
"58","k=2","KernelSHAPIQ",750,0.00097827238986964,0.000942913268940234,0.00101363151079905
"59","k=2","KernelSHAPIQ",1000,0.00379845361387944,0.0033459262124472,0.00425098101531168
"60","k=2","KernelSHAPIQ",2000,0.00029656688638215,0.000260759943511841,0.000332373829252459
"61","k=2","KernelSHAPIQ",3500,0.00011991458278845,0.000105101995145686,0.000134727170431214
"62","k=2","KernelSHAPIQ",5000,6.97528430419183e-05,6.09113521199489e-05,7.85943339638878e-05
