"","Facetvar","Approximator","Runtime_mean","RuntimeWithCostPerBudget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=4","KernelSHAPIQ",0.487699971199036,25000.4876999712,0.003997806126171,0.00388935062075395,0.00410626163158805
"2","k=4","KernelSHAPIQ",0.919282236099243,50000.9192822361,0.00753408608058647,0.00686827522565713,0.00819989693551581
"3","k=4","KernelSHAPIQ",2.14504730224609,125002.145047302,0.00814022647831228,0.00722128185358113,0.00905917110304343
"4","k=4","KernelSHAPIQ",4.13430191040039,250004.13430191,0.00466355651955351,0.00419444281098052,0.0051326702281265
"5","k=4","KernelSHAPIQ",5.9348203420639,375005.934820342,0.00338820736151117,0.00302617887622991,0.00375023584679243
"6","k=4","KernelSHAPIQ",7.25805753707886,500007.258057537,43.3228581971725,23.7366945262345,62.9090218681106
"7","k=4","KernelSHAPIQ",7.46048518180847,1000007.46048518,0.0701847308178842,0.0607760778818054,0.0795933837539629
"8","k=4","KernelSHAPIQ",7.83275764465332,1750007.83275764,0.014677199474429,0.0127086530023082,0.0166457459465497
"9","k=4","KernelSHAPIQ",8.17996959209442,2500008.17996959,0.0075321715636693,0.00651658710846979,0.00854775601886881
"10","k=4","PermutationIQ",0.0362711763381958,25000.0362711763,0.0999534580329728,0.0935713654340145,0.106335550631931
"11","k=4","PermutationIQ",0.0785503721237183,50000.0785503721,0.0702862597755536,0.0675820372585414,0.0729904822925658
"12","k=4","PermutationIQ",0.154219408035278,125000.154219408,0.0396844105062393,0.0387290919786024,0.0406397290338763
"13","k=4","PermutationIQ",0.297406363487244,250000.297406363,0.0248670802317939,0.0245079685578443,0.0252261919057435
"14","k=4","PermutationIQ",0.441187496185303,375000.441187496,0.0175459389267845,0.0173224452912928,0.0177694325622763
"15","k=4","PermutationIQ",0.587677621841431,500000.587677622,0.0150001416929776,0.014808642271872,0.0151916411140832
"16","k=4","PermutationIQ",1.16149005889893,1000001.16149006,0.0084071705631633,0.00832005663378689,0.0084942844925397
"17","k=4","PermutationIQ",2.01967689990997,1750002.0196769,0.00553627378236709,0.00549271710206216,0.00557983046267202
"18","k=4","PermutationIQ",2.92411372184753,2500002.92411372,0.00410473936468987,0.00406673356619374,0.004142745163186
"19","k=4","PermutationIQStratified",0.202507019042969,50000.202507019,0.674377162651294,0.619235157145018,0.72951916815757
"20","k=4","PermutationIQStratified",0.300668654441833,125000.300668654,0.190150035974653,0.179361603525688,0.200938468423618
