"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"1","k=1","KernelSHAPIQ",16,0.736,0.724303148862595,0.747696851137405
"2","k=1","KernelSHAPIQ",50,0.748,0.736486033325937,0.759513966674063
"3","k=1","KernelSHAPIQ",100,0.778,0.768399829933479,0.787600170066521
"4","k=1","KernelSHAPIQ",250,0.792,0.78027526598361,0.80372473401639
"5","k=1","KernelSHAPIQ",500,0.836,0.823959252853883,0.848040747146117
"6","k=1","KernelSHAPIQ",750,0.852,0.842004082465979,0.86199591753402
"7","k=1","KernelSHAPIQ",1000,0.786,0.773874802757758,0.798125197242242
"8","k=1","KernelSHAPIQ",2000,0.918,0.908658409871845,0.927341590128155
"9","k=1","KernelSHAPIQ",3500,0.942,0.933873449912384,0.950126550087616
"10","k=1","KernelSHAPIQ",5000,0.944,0.935838367510237,0.952161632489763
"11","k=1","PermutationIQ",16,0.664,0.655543629378886,0.672456370621114
"12","k=1","PermutationIQ",50,0.71,0.699214522235327,0.720785477764672
"13","k=1","PermutationIQ",100,0.738,0.72494126299197,0.75105873700803
"14","k=1","PermutationIQ",250,0.75,0.73884250046299,0.76115749953701
"15","k=1","PermutationIQ",500,0.776,0.764027241805853,0.787972758194147
"16","k=1","PermutationIQ",750,0.774,0.760966291739478,0.787033708260522
"17","k=1","PermutationIQ",1000,0.78,0.76690692658584,0.79309307341416
"18","k=1","PermutationIQ",2000,0.81,0.799599843015314,0.820400156984686
"19","k=1","PermutationIQ",3500,0.85,0.84085267966081,0.85914732033919
"20","k=1","PermutationIQ",5000,0.862,0.851742101102276,0.872257898897724
"21","k=1","PermutationIQStratified",16,0.664,0.655543629378886,0.672456370621114
"22","k=1","PermutationIQStratified",50,0.696,0.685324833318703,0.706675166681297
"23","k=1","PermutationIQStratified",100,0.738,0.726974982067672,0.749025017932328
"24","k=1","PermutationIQStratified",250,0.75,0.736829222203867,0.763170777796133
"25","k=1","PermutationIQStratified",500,0.754,0.744016339880196,0.763983660119804
"26","k=1","PermutationIQStratified",750,0.766,0.75435560921582,0.77764439078418
"27","k=1","PermutationIQStratified",1000,0.774,0.760966291739478,0.787033708260522
"28","k=1","PermutationIQStratified",2000,0.818,0.806682684388378,0.829317315611622
"29","k=1","PermutationIQStratified",3500,0.854,0.843229670385731,0.864770329614269
"30","k=1","PermutationIQStratified",5000,0.846,0.835615553231208,0.856384446768792
"31","k=1","PermutationSamplingSII",16,0.664,0.655543629378886,0.672456370621114
"32","k=1","PermutationSamplingSII",50,0.664,0.655543629378886,0.672456370621114
"33","k=1","PermutationSamplingSII",100,0.664,0.655543629378886,0.672456370621114
"34","k=1","PermutationSamplingSII",250,0.664,0.655543629378886,0.672456370621114
"35","k=1","PermutationSamplingSII",500,0.72,0.707546003018455,0.732453996981545
"36","k=1","PermutationSamplingSII",750,0.712,0.700700731466694,0.723299268533306
"37","k=1","PermutationSamplingSII",1000,0.708,0.694956900330842,0.721043099669158
"38","k=1","PermutationSamplingSII",2000,0.71,0.69884250046299,0.721157499537009
"39","k=1","PermutationSamplingSII",3500,0.732,0.720068221132674,0.743931778867326
"40","k=1","PermutationSamplingSII",5000,0.738,0.728571428571429,0.747428571428571
"41","k=1","SHAPIQ",16,0.728,0.715864708239088,0.740135291760912
"42","k=1","SHAPIQ",50,0.734,0.721347662956866,0.746652337043134
"43","k=1","SHAPIQ",100,0.774,0.761608429461599,0.786391570538401
"44","k=1","SHAPIQ",250,0.808,0.795273681456388,0.820726318543611
"45","k=1","SHAPIQ",500,0.856,0.842857142857143,0.869142857142857
"46","k=1","SHAPIQ",750,0.88,0.867546003018455,0.892453996981545
"47","k=1","SHAPIQ",1000,0.766,0.75367448307993,0.77832551692007
"48","k=1","SHAPIQ",2000,0.896,0.886983009235395,0.905016990764606
"49","k=1","SHAPIQ",3500,0.934,0.924693430014342,0.943306569985659
"50","k=1","SHAPIQ",5000,0.942,0.934392270311032,0.949607729688968
"51","k=1","SVARMIQ",16,0.74,0.727546003018455,0.752453996981545
"52","k=1","SVARMIQ",50,0.762,0.751742101102276,0.772257898897724
"53","k=1","SVARMIQ",100,0.786,0.774567857700718,0.797432142299281
"54","k=1","SVARMIQ",250,0.834,0.820718126515235,0.847281873484765
"55","k=1","SVARMIQ",500,0.876,0.862131815886273,0.889868184113728
"56","k=1","SVARMIQ",750,0.886,0.873219274716374,0.898780725283626
"57","k=1","SVARMIQ",1000,0.78,0.76659881211479,0.79340118788521
"58","k=1","SVARMIQ",2000,0.93,0.921310339242431,0.938689660757569
"59","k=1","SVARMIQ",3500,0.942,0.933385820896182,0.950614179103818
"60","k=1","SVARMIQ",5000,0.952,0.944862859430402,0.959137140569598
"61","k=2","KernelSHAPIQ",16,0.096,0.0823095445134732,0.109690455486527
"62","k=2","KernelSHAPIQ",50,0.132,0.11597960483557,0.14802039516443
"63","k=2","KernelSHAPIQ",100,0.132,0.115477905948799,0.148522094051201
"64","k=2","KernelSHAPIQ",250,0.254,0.235002685474424,0.272997314525576
"65","k=2","KernelSHAPIQ",500,0.464,0.450672109954639,0.477327890045361
"66","k=2","KernelSHAPIQ",750,0.554,0.539654411187848,0.568345588812152
"67","k=2","KernelSHAPIQ",1000,0.25,0.231649667744764,0.268350332255236
"68","k=2","KernelSHAPIQ",2000,0.56,0.537868666593101,0.5821313334069
"69","k=2","KernelSHAPIQ",3500,0.692,0.672867806808248,0.711132193191752
"70","k=2","KernelSHAPIQ",5000,0.762,0.743954705514699,0.780045294485301
"71","k=2","PermutationIQ",16,0.07,0.0581333944815456,0.0818666055184544
"72","k=2","PermutationIQ",50,0.134,0.116712514848679,0.151287485151321
"73","k=2","PermutationIQ",100,0.13,0.114814077410379,0.145185922589621
"74","k=2","PermutationIQ",250,0.164,0.148677614082524,0.179322385917477
"75","k=2","PermutationIQ",500,0.196,0.179106576572463,0.212893423427537
"76","k=2","PermutationIQ",750,0.214,0.197094500351443,0.230905499648557
"77","k=2","PermutationIQ",1000,0.314,0.294410331752661,0.333589668247339
"78","k=2","PermutationIQ",2000,0.35,0.328762758932402,0.371237241067598
"79","k=2","PermutationIQ",3500,0.448,0.429651892162283,0.466348107837717
"80","k=2","PermutationIQ",5000,0.498,0.474527914973096,0.521472085026904
"81","k=2","PermutationIQStratified",16,0.07,0.0581333944815456,0.0818666055184544
"82","k=2","PermutationIQStratified",50,0.09,0.0771428571428572,0.102857142857143
"83","k=2","PermutationIQStratified",100,0.128,0.113420170488945,0.142579829511055
"84","k=2","PermutationIQStratified",250,0.158,0.142857142857143,0.173142857142857
"85","k=2","PermutationIQStratified",500,0.18,0.163837559287165,0.196162440712835
"86","k=2","PermutationIQStratified",750,0.218,0.201916036634243,0.234083963365757
"87","k=2","PermutationIQStratified",1000,0.264,0.245984133976646,0.282015866023354
"88","k=2","PermutationIQStratified",2000,0.338,0.318435350496263,0.357564649503737
"89","k=2","PermutationIQStratified",3500,0.436,0.418212134381402,0.453787865618598
"90","k=2","PermutationIQStratified",5000,0.502,0.479778480736742,0.524221519263258
"91","k=2","PermutationSamplingSII",16,0.128,0.108825186587929,0.147174813412071
"92","k=2","PermutationSamplingSII",50,0.128,0.108825186587929,0.147174813412071
"93","k=2","PermutationSamplingSII",100,0.128,0.108825186587929,0.147174813412071
"94","k=2","PermutationSamplingSII",250,0.128,0.108825186587929,0.147174813412071
"95","k=2","PermutationSamplingSII",500,0.116,0.102795177133381,0.129204822866619
"96","k=2","PermutationSamplingSII",750,0.106,0.0944259262282691,0.117574073771731
"97","k=2","PermutationSamplingSII",1000,0.104,0.0915591193959559,0.116440880604044
"98","k=2","PermutationSamplingSII",2000,0.108,0.0959321645246041,0.120067835475396
"99","k=2","PermutationSamplingSII",3500,0.132,0.115477905948799,0.148522094051201
"100","k=2","PermutationSamplingSII",5000,0.136,0.120946354431635,0.151053645568365
"101","k=2","SHAPIQ",16,0.102,0.0884503934841379,0.115549606515862
"102","k=2","SHAPIQ",50,0.13,0.117794280363832,0.142205719636168
"103","k=2","SHAPIQ",100,0.168,0.152236440886704,0.183763559113296
"104","k=2","SHAPIQ",250,0.308,0.287231106462416,0.328768893537584
"105","k=2","SHAPIQ",500,0.626,0.605237003086829,0.646762996913171
"106","k=2","SHAPIQ",750,0.748,0.731281441327625,0.764718558672375
"107","k=2","SHAPIQ",1000,0.224,0.207949060679785,0.240050939320215
"108","k=2","SHAPIQ",2000,0.58,0.552005831511049,0.607994168488951
"109","k=2","SHAPIQ",3500,0.696,0.674436614555299,0.717563385444701
"110","k=2","SHAPIQ",5000,0.772,0.755087258757773,0.788912741242227
"111","k=2","SVARMIQ",16,0.12,0.107546003018455,0.132453996981545
"112","k=2","SVARMIQ",50,0.156,0.137669697220177,0.174330302779823
"113","k=2","SVARMIQ",100,0.276,0.25413585546319,0.29786414453681
"114","k=2","SVARMIQ",250,0.388,0.364328782654619,0.411671217345381
"115","k=2","SVARMIQ",500,0.736,0.719646756547138,0.752353243452862
"116","k=2","SVARMIQ",750,0.806,0.792779731084275,0.819220268915725
"117","k=2","SVARMIQ",1000,0.3,0.281929841941895,0.318070158058105
"118","k=2","SVARMIQ",2000,0.704,0.685714285714286,0.722285714285714
"119","k=2","SVARMIQ",3500,0.784,0.766074986124162,0.801925013875838
"120","k=2","SVARMIQ",5000,0.848,0.834832321575082,0.861167678424918
"121","k=3","KernelSHAPIQ",16,0.018,0.0118124549063692,0.0241875450936308
"122","k=3","KernelSHAPIQ",50,0.028,0.0204191433363305,0.0355808566636695
"123","k=3","KernelSHAPIQ",100,0.044,0.0348929271711376,0.0531070728288624
"124","k=3","KernelSHAPIQ",250,0.034,0.0261182204433522,0.0418817795566478
"125","k=3","KernelSHAPIQ",500,0.028,0.0215857301941018,0.0344142698058982
"126","k=3","KernelSHAPIQ",750,0.056,0.0468929271711376,0.0651070728288624
"127","k=3","KernelSHAPIQ",1000,0.332,0.315477905948799,0.348522094051201
"128","k=3","KernelSHAPIQ",2000,0.324,0.303484202204553,0.344515797795447
"129","k=3","KernelSHAPIQ",3500,0.48,0.455588560727664,0.504411439272336
"130","k=3","KernelSHAPIQ",5000,0.562,0.542645097652069,0.581354902347931
"131","k=3","PermutationIQ",16,0.04,0.0275460030184552,0.0524539969815448
"132","k=3","PermutationIQ",50,0.02,0.0130014578777623,0.0269985421222377
"133","k=3","PermutationIQ",100,0.03,0.0217934819335171,0.0382065180664829
"134","k=3","PermutationIQ",250,0.052,0.0428571428571429,0.0611428571428571
"135","k=3","PermutationIQ",500,0.074,0.0597686749652431,0.0882313250347569
"136","k=3","PermutationIQ",750,0.094,0.0787711337471584,0.109228866252842
"137","k=3","PermutationIQ",1000,0.118,0.104390279584212,0.131609720415788
"138","k=3","PermutationIQ",2000,0.168,0.153875191892219,0.182124808107781
"139","k=3","PermutationIQ",3500,0.256,0.242857142857143,0.269142857142857
"140","k=3","PermutationIQ",5000,0.286,0.26620307176992,0.30579692823008
"141","k=3","PermutationIQStratified",16,0.04,0.0275460030184552,0.0524539969815448
"142","k=3","PermutationIQStratified",50,0.032,0.023699520544952,0.040300479455048
"143","k=3","PermutationIQStratified",100,0.028,0.0204191433363305,0.0355808566636695
"144","k=3","PermutationIQStratified",250,0.058,0.047662827134214,0.068337172865786
"145","k=3","PermutationIQStratified",500,0.056,0.0422500463822675,0.0697499536177325
"146","k=3","PermutationIQStratified",750,0.072,0.0585866347493652,0.0854133652506349
"147","k=3","PermutationIQStratified",1000,0.096,0.0845857232254639,0.107414276774536
"148","k=3","PermutationIQStratified",2000,0.148,0.132030641585735,0.163969358414265
"149","k=3","PermutationIQStratified",3500,0.262,0.246911147512559,0.277088852487441
"150","k=3","PermutationIQStratified",5000,0.288,0.268279504083729,0.307720495916271
"151","k=3","PermutationSamplingSII",16,0.03,0.0204168515250009,0.0395831484749991
"152","k=3","PermutationSamplingSII",50,0.03,0.0204168515250009,0.0395831484749991
"153","k=3","PermutationSamplingSII",100,0.03,0.0204168515250009,0.0395831484749991
"154","k=3","PermutationSamplingSII",250,0.03,0.0204168515250009,0.0395831484749991
"155","k=3","PermutationSamplingSII",500,0.014,0.00827857588728549,0.0197214241127145
"156","k=3","PermutationSamplingSII",750,0.03,0.0228571428571429,0.0371428571428571
"157","k=3","PermutationSamplingSII",1000,0.018,0.0118124549063692,0.0241875450936308
"158","k=3","PermutationSamplingSII",2000,0.024,0.0172629565013991,0.0307370434986009
"159","k=3","PermutationSamplingSII",3500,0.034,0.0272327318386703,0.0407672681613297
"160","k=3","PermutationSamplingSII",5000,0.056,0.0460368024147642,0.0659631975852358
"161","k=3","SHAPIQ",16,0.012,0.00735769234020803,0.016642307659792
"162","k=3","SHAPIQ",50,0.026,0.0185440066567429,0.0334559933432571
"163","k=3","SHAPIQ",100,0.038,0.0285714285714286,0.0474285714285714
"164","k=3","SHAPIQ",250,0.078,0.0651301649947941,0.090869835005206
"165","k=3","SHAPIQ",500,0.224,0.204296068971924,0.243703931028076
"166","k=3","SHAPIQ",750,0.392,0.370459340771462,0.413540659228538
"167","k=3","SHAPIQ",1000,0.064,0.052657466719269,0.075342533280731
"168","k=3","SHAPIQ",2000,0.346,0.324014847310616,0.367985152689384
"169","k=3","SHAPIQ",3500,0.512,0.48993516048422,0.53406483951578
"170","k=3","SHAPIQ",5000,0.586,0.56296320600537,0.60903679399463
"171","k=3","SVARMIQ",16,0.026,0.0185440066567429,0.0334559933432571
"172","k=3","SVARMIQ",50,0.048,0.0368461592594611,0.0591538407405389
"173","k=3","SVARMIQ",100,0.086,0.072,0.1
"174","k=3","SVARMIQ",250,0.188,0.167668060714677,0.208331939285323
"175","k=3","SVARMIQ",500,0.482,0.462899834384733,0.501100165615267
"176","k=3","SVARMIQ",750,0.608,0.589741091075805,0.626258908924195
"177","k=3","SVARMIQ",1000,0.148,0.132550279046176,0.163449720953824
"178","k=3","SVARMIQ",2000,0.482,0.464693636890391,0.499306363109609
"179","k=3","SVARMIQ",3500,0.668,0.653033370452904,0.682966629547096
"180","k=3","SVARMIQ",5000,0.736,0.722981959142978,0.749018040857022
"181","k=4","KernelSHAPIQ",16,0.01,0.00484921246362288,0.0151507875363771
"182","k=4","KernelSHAPIQ",50,0.014,0.00827857588728549,0.0197214241127145
"183","k=4","KernelSHAPIQ",100,0.012,0.00735769234020803,0.016642307659792
"184","k=4","KernelSHAPIQ",250,0.034,0.0242647285500567,0.0437352714499433
"185","k=4","KernelSHAPIQ",500,0.126,0.110140926758425,0.141859073241575
"186","k=4","KernelSHAPIQ",750,0.18,0.160833703050002,0.199166296949998
"187","k=4","KernelSHAPIQ",1000,0.006,0.00260733083227489,0.00939266916772511
"188","k=4","KernelSHAPIQ",2000,0.026,0.0185440066567429,0.0334559933432571
"189","k=4","KernelSHAPIQ",3500,0.106,0.0915976192444245,0.120402380755575
"190","k=4","KernelSHAPIQ",5000,0.19,0.169746504458917,0.210253495541083
"191","k=4","PermutationIQ",16,0.028,0.0215857301941018,0.0344142698058982
"192","k=4","PermutationIQ",50,0.016,0.00938523605554845,0.0226147639444516
"193","k=4","PermutationIQ",100,0.01,0.00571428571428572,0.0142857142857143
"194","k=4","PermutationIQ",250,0.018,0.0125116077964861,0.0234883922035139
"195","k=4","PermutationIQ",500,0.032,0.0247493842626003,0.0392506157373997
"196","k=4","PermutationIQ",750,0.036,0.025793959371719,0.046206040628281
"197","k=4","PermutationIQ",1000,0.054,0.0453291480540037,0.0626708519459963
"198","k=4","PermutationIQ",2000,0.048,0.0372183072776496,0.0587816927223504
"199","k=4","PermutationIQ",3500,0.12,0.105714285714286,0.134285714285714
"200","k=4","PermutationIQ",5000,0.146,0.132841624068949,0.159158375931051
"201","k=4","PermutationIQStratified",16,0.028,0.0215857301941018,0.0344142698058982
"202","k=4","PermutationIQStratified",50,0.02,0.0136112343500006,0.0263887656499994
"203","k=4","PermutationIQStratified",100,0.01,0.00571428571428572,0.0142857142857143
"204","k=4","PermutationIQStratified",250,0.01,0.00484921246362288,0.0151507875363771
"205","k=4","PermutationIQStratified",500,0.014,0.00827857588728549,0.0197214241127145
"206","k=4","PermutationIQStratified",750,0.02,0.0142857142857143,0.0257142857142857
"207","k=4","PermutationIQStratified",1000,0.052,0.043315037626531,0.0606849623734689
"208","k=4","PermutationIQStratified",2000,0.054,0.0444339034041239,0.0635660965958761
"209","k=4","PermutationIQStratified",3500,0.112,0.0972531566850698,0.12674684331493
"210","k=4","PermutationIQStratified",5000,0.158,0.144571428571429,0.171428571428571
"211","k=4","PermutationSamplingSII",16,0.012,0.00735769234020803,0.016642307659792
"212","k=4","PermutationSamplingSII",50,0.012,0.00735769234020803,0.016642307659792
"213","k=4","PermutationSamplingSII",100,0.012,0.00735769234020803,0.016642307659792
"214","k=4","PermutationSamplingSII",250,0.012,0.00735769234020803,0.016642307659792
"215","k=4","PermutationSamplingSII",500,0.01,0.00571428571428572,0.0142857142857143
"216","k=4","PermutationSamplingSII",750,0.012,0.00735769234020803,0.016642307659792
"217","k=4","PermutationSamplingSII",1000,0.014,0.00827857588728549,0.0197214241127145
"218","k=4","PermutationSamplingSII",2000,0.018,0.0118124549063692,0.0241875450936308
"219","k=4","PermutationSamplingSII",3500,0.014,0.00904304240774358,0.0189569575922564
"220","k=4","PermutationSamplingSII",5000,0.024,0.0166821437286482,0.0313178562713518
"221","k=4","SHAPIQ",16,0.008,0.00318505727247066,0.0128149427275293
"222","k=4","SHAPIQ",50,0.024,0.0142857142857143,0.0337142857142857
"223","k=4","SHAPIQ",100,0.028,0.019898601783567,0.036101398216433
"224","k=4","SHAPIQ",250,0.06,0.0462976242191065,0.0737023757808935
"225","k=4","SHAPIQ",500,0.102,0.0897142857142857,0.114285714285714
"226","k=4","SHAPIQ",750,0.186,0.166831573579749,0.205168426420251
"227","k=4","SHAPIQ",1000,0.006,0.00260733083227489,0.00939266916772511
"228","k=4","SHAPIQ",2000,0.086,0.072,0.1
"229","k=4","SHAPIQ",3500,0.198,0.177498133484674,0.218501866515326
"230","k=4","SHAPIQ",5000,0.32,0.296095427813312,0.343904572186688
"231","k=4","SVARMIQ",16,0.014,0.00904304240774358,0.0189569575922564
"232","k=4","SVARMIQ",50,0.02,0.0136112343500006,0.0263887656499994
"233","k=4","SVARMIQ",100,0.038,0.0259152651528248,0.0500847348471752
"234","k=4","SVARMIQ",250,0.09,0.0756430348269702,0.10435696517303
"235","k=4","SVARMIQ",500,0.174,0.151719780897278,0.196280219102722
"236","k=4","SVARMIQ",750,0.294,0.26594611598792,0.32205388401208
"237","k=4","SVARMIQ",1000,0.084,0.0711079838026532,0.0968920161973468
"238","k=4","SVARMIQ",2000,0.246,0.226789033743984,0.265210966256016
"239","k=4","SVARMIQ",3500,0.374,0.353434524670939,0.394565475329061
"240","k=4","SVARMIQ",5000,0.494,0.473514066548293,0.514485933451707
