"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"1","k=1","KernelSHAPIQ",16,0.746,0.734496673063316,0.757503326936684
"2","k=1","KernelSHAPIQ",50,0.758,0.74618855622366,0.76981144377634
"3","k=1","KernelSHAPIQ",100,0.802,0.789066891088279,0.814933108911722
"4","k=1","KernelSHAPIQ",250,0.822,0.808211510271984,0.835788489728016
"5","k=1","KernelSHAPIQ",500,0.84,0.82690692658584,0.85309307341416
"6","k=1","KernelSHAPIQ",750,0.846,0.831654411187848,0.860345588812152
"7","k=1","KernelSHAPIQ",1000,0.814,0.804960404560254,0.823039595439747
"8","k=1","KernelSHAPIQ",2000,0.928,0.917682588522704,0.938317411477296
"9","k=1","KernelSHAPIQ",3500,0.96,0.951918779643582,0.968081220356418
"10","k=1","KernelSHAPIQ",5000,0.954,0.945329148054004,0.962670851945996
"11","k=1","PermutationIQ",16,0.716,0.703757551265355,0.728242448734645
"12","k=1","PermutationIQ",50,0.836,0.823624909812739,0.848375090187262
"13","k=1","PermutationIQ",100,0.868,0.856415351467021,0.879584648532979
"14","k=1","PermutationIQ",250,0.918,0.908658409871845,0.927341590128155
"15","k=1","PermutationIQ",500,0.932,0.924206753316008,0.939793246683992
"16","k=1","PermutationIQ",750,0.936,0.927074000370392,0.944925999629608
"17","k=1","PermutationIQ",1000,0.946,0.93781340069606,0.95418659930394
"18","k=1","PermutationIQ",2000,0.97,0.96345346329292,0.97654653670708
"19","k=1","PermutationIQ",3500,0.976,0.969262956501399,0.982737043498601
"20","k=1","PermutationIQ",5000,0.978,0.972082195663655,0.983917804336345
"21","k=1","PermutationIQStratified",16,0.716,0.703757551265355,0.728242448734645
"22","k=1","PermutationIQStratified",50,0.724,0.711363803207145,0.736636196792855
"23","k=1","PermutationIQStratified",100,0.848,0.835467593028879,0.860532406971121
"24","k=1","PermutationIQStratified",250,0.908,0.899037493062081,0.916962506937919
"25","k=1","PermutationIQStratified",500,0.926,0.918015320792867,0.933984679207133
"26","k=1","PermutationIQStratified",750,0.932,0.923221547716722,0.940778452283278
"27","k=1","PermutationIQStratified",1000,0.944,0.934892927171138,0.953107072828862
"28","k=1","PermutationIQStratified",2000,0.966,0.95923273183867,0.97276726816133
"29","k=1","PermutationIQStratified",3500,0.972,0.964978168155746,0.979021831844254
"30","k=1","PermutationIQStratified",5000,0.98,0.974285714285714,0.985714285714286
"31","k=1","PermutationSamplingSII",16,0.716,0.703757551265355,0.728242448734645
"32","k=1","PermutationSamplingSII",50,0.716,0.703757551265355,0.728242448734645
"33","k=1","PermutationSamplingSII",100,0.716,0.703757551265355,0.728242448734645
"34","k=1","PermutationSamplingSII",250,0.716,0.703757551265355,0.728242448734645
"35","k=1","PermutationSamplingSII",500,0.828,0.815864708239088,0.840135291760912
"36","k=1","PermutationSamplingSII",750,0.826,0.813608429461599,0.838391570538401
"37","k=1","PermutationSamplingSII",1000,0.818,0.805003925239378,0.830996074760622
"38","k=1","PermutationSamplingSII",2000,0.856,0.844514427861576,0.867485572138424
"39","k=1","PermutationSamplingSII",3500,0.884,0.873955202382145,0.894044797617855
"40","k=1","PermutationSamplingSII",5000,0.898,0.8871240763939,0.9088759236061
"41","k=1","SHAPIQ",16,0.708,0.694956900330842,0.721043099669158
"42","k=1","SHAPIQ",50,0.736,0.722672109954639,0.749327890045361
"43","k=1","SHAPIQ",100,0.766,0.752117107870564,0.779882892129436
"44","k=1","SHAPIQ",250,0.794,0.781740892598329,0.806259107401671
"45","k=1","SHAPIQ",500,0.806,0.792779731084275,0.819220268915725
"46","k=1","SHAPIQ",750,0.812,0.798405283139005,0.825594716860995
"47","k=1","SHAPIQ",1000,0.778,0.765451319282287,0.790548680717713
"48","k=1","SHAPIQ",2000,0.898,0.884152433353083,0.911847566646917
"49","k=1","SHAPIQ",3500,0.918,0.906682684388378,0.929317315611622
"50","k=1","SHAPIQ",5000,0.93,0.918842500462991,0.94115749953701
"51","k=1","SVARMIQ",16,0.722,0.710827877259419,0.733172122740581
"52","k=1","SVARMIQ",50,0.752,0.740136834575985,0.763863165424015
"53","k=1","SVARMIQ",100,0.784,0.771428571428571,0.796571428571429
"54","k=1","SVARMIQ",250,0.816,0.802190804601606,0.829809195398394
"55","k=1","SVARMIQ",500,0.816,0.801898328366568,0.830101671633432
"56","k=1","SVARMIQ",750,0.822,0.807074333843876,0.836925666156125
"57","k=1","SVARMIQ",1000,0.802,0.788755054872572,0.815244945127428
"58","k=1","SVARMIQ",2000,0.922,0.912399829933479,0.931600170066521
"59","k=1","SVARMIQ",3500,0.95,0.94085267966081,0.95914732033919
"60","k=1","SVARMIQ",5000,0.952,0.942421111649006,0.961578888350994
"61","k=2","KernelSHAPIQ",16,0.15,0.131210076517192,0.168789923482808
"62","k=2","KernelSHAPIQ",50,0.096,0.0845857232254639,0.107414276774536
"63","k=2","KernelSHAPIQ",100,0.192,0.173299350660624,0.210700649339376
"64","k=2","KernelSHAPIQ",250,0.488,0.464328782654619,0.511671217345381
"65","k=2","KernelSHAPIQ",500,0.702,0.68052576294387,0.72347423705613
"66","k=2","KernelSHAPIQ",750,0.744,0.725448362193431,0.762551637806569
"67","k=2","KernelSHAPIQ",1000,0.602,0.576208053780377,0.627791946219623
"68","k=2","KernelSHAPIQ",2000,0.896,0.882919402123132,0.909080597876868
"69","k=2","KernelSHAPIQ",3500,0.92,0.908571428571429,0.931428571428571
"70","k=2","KernelSHAPIQ",5000,0.944,0.935838367510237,0.952161632489763
"71","k=2","PermutationIQ",16,0.092,0.0777600733778547,0.106239926622145
"72","k=2","PermutationIQ",50,0.338,0.316449868602134,0.359550131397866
"73","k=2","PermutationIQ",100,0.48,0.46,0.5
"74","k=2","PermutationIQ",250,0.59,0.569949044503403,0.610050955496597
"75","k=2","PermutationIQ",500,0.638,0.619288440765677,0.656711559234323
"76","k=2","PermutationIQ",750,0.7,0.683340137443299,0.716659862556701
"77","k=2","PermutationIQ",1000,0.716,0.699252170411711,0.732747829588289
"78","k=2","PermutationIQ",2000,0.77,0.755930203140291,0.784069796859709
"79","k=2","PermutationIQ",3500,0.828,0.812603207331077,0.843396792668923
"80","k=2","PermutationIQ",5000,0.864,0.852657466719269,0.875342533280731
"81","k=2","PermutationIQStratified",16,0.092,0.0777600733778547,0.106239926622145
"82","k=2","PermutationIQStratified",50,0.102,0.0897142857142857,0.114285714285714
"83","k=2","PermutationIQStratified",100,0.302,0.278702456992119,0.325297543007881
"84","k=2","PermutationIQStratified",250,0.512,0.492279504083729,0.531720495916271
"85","k=2","PermutationIQStratified",500,0.594,0.575175352674252,0.612824647325748
"86","k=2","PermutationIQStratified",750,0.664,0.646212134381402,0.681787865618598
"87","k=2","PermutationIQStratified",1000,0.688,0.670705433199518,0.705294566800482
"88","k=2","PermutationIQStratified",2000,0.772,0.757142857142857,0.786857142857143
"89","k=2","PermutationIQStratified",3500,0.832,0.816236440886704,0.847763559113296
"90","k=2","PermutationIQStratified",5000,0.858,0.84618855622366,0.86981144377634
"91","k=2","PermutationSamplingSII",16,0.1,0.0869069265858405,0.11309307341416
"92","k=2","PermutationSamplingSII",50,0.1,0.0869069265858405,0.11309307341416
"93","k=2","PermutationSamplingSII",100,0.1,0.0869069265858405,0.11309307341416
"94","k=2","PermutationSamplingSII",250,0.1,0.0869069265858405,0.11309307341416
"95","k=2","PermutationSamplingSII",500,0.148,0.133364287457296,0.162635712542704
"96","k=2","PermutationSamplingSII",750,0.222,0.208211510271984,0.235788489728016
"97","k=2","PermutationSamplingSII",1000,0.176,0.161275315740886,0.190724684259114
