"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=1","KernelSHAPIQ",50,0.00648091974759958,0.00536100972660161,0.00760082976859755
"2","k=1","KernelSHAPIQ",100,0.0025180835693278,0.00221445037790901,0.00282171676074659
"3","k=1","KernelSHAPIQ",250,0.0013699487562216,0.00120773666765873,0.00153216084478447
"4","k=1","KernelSHAPIQ",500,0.00128892963723086,0.00110039003600126,0.00147746923846046
"5","k=1","KernelSHAPIQ",750,0.00116024431713808,0.00098768105252413,0.00133280758175203
"6","k=1","KernelSHAPIQ",1000,0.00111478330789281,0.00095338492393204,0.00127618169185358
"7","k=1","KernelSHAPIQ",2000,0.00018259052839999,0.000163361005139995,0.000201820051659985
"8","k=1","KernelSHAPIQ",3500,4.79612706026135e-05,4.28881726757557e-05,5.30343685294712e-05
"9","k=1","KernelSHAPIQ",5000,3.08073628858024e-05,2.70228612364161e-05,3.45918645351887e-05
"10","k=1","PermutationIQ",50,0.00696988234590699,0.00616166064617028,0.0077781040456437
"11","k=1","PermutationIQ",100,0.00315950510420461,0.0027656678168626,0.00355334239154662
"12","k=1","PermutationIQ",250,0.00116280125289746,0.00102701477840982,0.0012985877273851
"13","k=1","PermutationIQ",500,0.00071609940088498,0.00060446918579054,0.00082772961597942
"14","k=1","PermutationIQ",750,0.00038877933581487,0.000346188115855147,0.000431370555774593
"15","k=1","PermutationIQ",1000,0.00030119188645303,0.000271237868618529,0.000331145904287531
"16","k=1","PermutationIQ",2000,0.00014350684291447,0.000125539547855116,0.000161474137973824
"17","k=1","PermutationIQ",3500,8.4815922386376e-05,7.63175530917862e-05,9.33142916809657e-05
"18","k=1","PermutationIQ",5000,6.60503924989225e-05,5.82802399090871e-05,7.3820545088758e-05
"19","k=1","PermutationIQStratified",250,0.00122299171515057,0.00109685491313868,0.00134912851716246
"20","k=1","PermutationIQStratified",500,0.00072225881583588,0.00061762813400248,0.00082688949766928
"21","k=1","PermutationIQStratified",750,0.00040930738979832,0.000359984766577619,0.000458630013019021
"22","k=1","PermutationIQStratified",1000,0.00033132213446091,0.000286570693942485,0.000376073574979335
"23","k=1","PermutationIQStratified",2000,0.00011992363814312,0.000107816764528722,0.000132030511757518
"24","k=1","PermutationIQStratified",3500,5.98162260376373e-05,5.46318815792658e-05,6.50005704960089e-05
"25","k=1","PermutationIQStratified",5000,4.58149888832945e-05,4.07360497208744e-05,5.08939280457146e-05
