"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=1","KernelSHAPIQ",50,0.00115516298002118,0.00078312643603891,0.00152719952400345
"2","k=1","KernelSHAPIQ",100,0.00031999476379308,0.000250758338414027,0.000389231189172133
"3","k=1","KernelSHAPIQ",250,0.00014518388252609,0.000103502326373464,0.000186865438678716
"4","k=1","KernelSHAPIQ",500,5.18020973403722e-05,4.313498215998e-05,6.04692125207645e-05
"5","k=1","KernelSHAPIQ",750,5.1981256820252e-05,4.29211230266922e-05,6.10413906138118e-05
"6","k=1","KernelSHAPIQ",1000,0.00020663056337524,0.000153312672102841,0.000259948454647639
"7","k=1","KernelSHAPIQ",2000,1.3190831310498e-05,9.46009962466603e-06,1.692156299633e-05
"8","k=1","KernelSHAPIQ",3500,4.89805547157135e-06,3.63890833318829e-06,6.15720260995442e-06
"9","k=1","KernelSHAPIQ",5000,2.77372643030931e-06,2.02996417342324e-06,3.51748868719538e-06
"10","k=1","PermutationIQ",50,0.00054285376317006,0.00043320647670427,0.00065250104963585
"11","k=1","PermutationIQ",100,0.00046855270493906,0.00031967129534504,0.00061743411453308
"12","k=1","PermutationIQ",250,9.12288778939412e-05,6.63097879982711e-05,0.000116147967789611
"13","k=1","PermutationIQ",500,5.86813196765204e-05,4.48602230040355e-05,7.25024163490053e-05
"14","k=1","PermutationIQ",750,4.51767575129299e-05,3.21109712398661e-05,5.82425437859938e-05
"15","k=1","PermutationIQ",1000,3.30299043015625e-05,2.14581307657496e-05,4.46016778373755e-05
"16","k=1","PermutationIQ",2000,1.70606949220537e-05,1.24052633574763e-05,2.17161264866311e-05
"17","k=1","PermutationIQ",3500,9.05631900810683e-06,6.8529719471502e-06,1.12596660690635e-05
"18","k=1","PermutationIQ",5000,5.89638538150419e-06,4.60642420836477e-06,7.1863465546436e-06
"19","k=1","PermutationIQStratified",100,2.47905202503305e-05,8.64979069005334e-06,4.09312498106076e-05
"20","k=1","PermutationIQStratified",250,9.6069236448918e-05,7.57694149385294e-05,0.000116369057959306
"21","k=1","PermutationIQStratified",500,5.53721735229521e-05,4.25647723330275e-05,6.81795747128768e-05
"22","k=1","PermutationIQStratified",750,2.90641337861373e-05,2.17796263840437e-05,3.6348641188231e-05
"23","k=1","PermutationIQStratified",1000,1.61708171280663e-05,1.2712337300981e-05,1.96292969551517e-05
"24","k=1","PermutationIQStratified",2000,8.73011024213731e-06,7.01529364656466e-06,1.044492683771e-05
"25","k=1","PermutationIQStratified",3500,4.59096347474137e-06,3.63716291097596e-06,5.54476403850678e-06
"26","k=1","PermutationIQStratified",5000,3.01132195605135e-06,2.35391149866979e-06,3.6687324134329e-06
"27","k=1","PermutationSamplingSII",50,0.00546735800465979,0.00352568460137516,0.00740903140794442
"28","k=1","PermutationSamplingSII",100,0.00546735800465979,0.00352568460137516,0.00740903140794442
"29","k=1","PermutationSamplingSII",250,0.00546735800465979,0.00352568460137516,0.00740903140794442
"30","k=1","PermutationSamplingSII",500,0.00221318385184327,0.00168733472604871,0.00273903297763783
"31","k=1","PermutationSamplingSII",750,0.00117830832613987,0.0009315019726363,0.00142511467964344
"32","k=1","PermutationSamplingSII",1000,0.00149278264549498,0.00105174866971876,0.0019338166212712
"33","k=1","PermutationSamplingSII",2000,0.00075008515669991,0.00049095405669093,0.00100921625670889
"34","k=1","PermutationSamplingSII",3500,0.00023523875303845,0.000187232257953673,0.000283245248123227
"35","k=1","PermutationSamplingSII",5000,0.00018169707006298,0.000127363994916574,0.000236030145209386
"36","k=1","SHAPIQ",50,0.00300299705046251,0.00204642893488391,0.00395956516604111
"37","k=1","SHAPIQ",100,0.00170609326129028,0.0010660635493853,0.00234612297319526
"38","k=1","SHAPIQ",250,0.00127342591282076,0.00078924927591389,0.00175760254972763
"39","k=1","SHAPIQ",500,0.0013402224684024,0.00078385839692572,0.00189658653987908
"40","k=1","SHAPIQ",750,0.00130062327854854,0.000766182124443,0.00183506443265408
"41","k=1","SHAPIQ",1000,0.00058810016065591,0.00036157942103014,0.00081462090028168
"42","k=1","SHAPIQ",2000,3.45349134131148e-05,2.05953249486549e-05,4.84745018775746e-05
"43","k=1","SHAPIQ",3500,1.39293178434052e-05,8.80872844587501e-06,1.90499072409354e-05
"44","k=1","SHAPIQ",5000,8.81762990325971e-06,5.3445274884596e-06,1.22907323180598e-05
"45","k=1","SVARMIQ",50,0.00282144717922115,0.00184855691972292,0.00379433743871938
"46","k=1","SVARMIQ",100,0.00147770200276319,0.00089715252766341,0.00205825147786297
"47","k=1","SVARMIQ",250,0.00131692923397246,0.00077801530131155,0.00185584316663337
"48","k=1","SVARMIQ",500,0.00129305171826373,0.00076095599518356,0.0018251474413439
"49","k=1","SVARMIQ",750,0.00129475060768188,0.00076231378303956,0.0018271874323242
"50","k=1","SVARMIQ",1000,0.00031624624785799,0.000220749172992433,0.000411743322723547
"51","k=1","SVARMIQ",2000,1.72615915433778e-05,9.80116157361901e-06,2.47220215131366e-05
"52","k=1","SVARMIQ",3500,6.40136748074921e-06,3.97471880193303e-06,8.82801615956538e-06
"53","k=1","SVARMIQ",5000,4.20517669271616e-06,2.67252104948734e-06,5.73783233594499e-06
"54","k=2","KernelSHAPIQ",50,6601624917481.14,22.0537109375,13203249834940.2
"55","k=2","KernelSHAPIQ",100,0.0160565421146261,0.0103735030762016,0.0217395811530506
"56","k=2","KernelSHAPIQ",250,0.00017504736634539,0.000140898071726244,0.000209196660964537
"57","k=2","KernelSHAPIQ",500,2.20140689835868e-05,1.81430279675986e-05,2.58851099995749e-05
"58","k=2","KernelSHAPIQ",750,1.60007631204712e-05,1.28689949071065e-05,1.91325313338359e-05
"59","k=2","KernelSHAPIQ",1000,8.3085468015776e-05,6.70243751602512e-05,9.91465608713008e-05
"60","k=2","KernelSHAPIQ",2000,4.0275273372989e-06,3.31965371866604e-06,4.73540095593177e-06
"61","k=2","KernelSHAPIQ",3500,1.55281281297565e-06,1.29648889653481e-06,1.80913672941648e-06
"62","k=2","KernelSHAPIQ",5000,8.66171702500619e-07,7.19547963122133e-07,1.01279544187911e-06
"63","k=2","PermutationIQ",50,0.0004429894339517,0.000356704060855568,0.000529274807047832
"64","k=2","PermutationIQ",100,0.00024451015441148,0.0001998202043409,0.00028920010448206
"65","k=2","PermutationIQ",250,0.00011860674302115,9.96095201870536e-05,0.000137603965855246
"66","k=2","PermutationIQ",500,6.91486883425002e-05,5.72040630782402e-05,8.10933136067602e-05
"67","k=2","PermutationIQ",750,4.98119455272577e-05,4.05730636757362e-05,5.90508273787792e-05
"68","k=2","PermutationIQ",1000,3.47735612903342e-05,2.87390555778299e-05,4.08080670028384e-05
"69","k=2","PermutationIQ",2000,1.63671990190306e-05,1.33108499174554e-05,1.94235481206059e-05
"70","k=2","PermutationIQ",3500,1.08659418867577e-05,8.86883358276539e-06,1.286305019075e-05
"71","k=2","PermutationIQ",5000,6.83777973029116e-06,5.50633091720739e-06,8.16922854337493e-06
"72","k=2","PermutationIQStratified",100,0.00233775672362877,0.00132666314535812,0.00334885030189942
"73","k=2","PermutationIQStratified",250,0.00028363617177263,0.000233868602836488,0.000333403740708772
"74","k=2","PermutationIQStratified",500,9.58727236449143e-05,7.87708484696138e-05,0.000112974598820215
"75","k=2","PermutationIQStratified",750,6.41329464303237e-05,5.26161003258847e-05,7.56497925347628e-05
"76","k=2","PermutationIQStratified",1000,5.02224352267588e-05,4.10761576805861e-05,5.93687127729315e-05
"77","k=2","PermutationIQStratified",2000,1.89415057906193e-05,1.53337070321675e-05,2.25493045490712e-05
"78","k=2","PermutationIQStratified",3500,1.12915204466977e-05,9.39045772166921e-06,1.31925831717262e-05
