"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"1","k=1","KernelSHAPIQ",16,0.756,0.743171460388203,0.768828539611796
"2","k=1","KernelSHAPIQ",50,0.782,0.771428571428571,0.792571428571429
"3","k=1","KernelSHAPIQ",100,0.806,0.794425926228269,0.817574073771731
"4","k=1","KernelSHAPIQ",250,0.86,0.847546003018455,0.872453996981545
"5","k=1","KernelSHAPIQ",500,0.88,0.867546003018455,0.892453996981545
"6","k=1","KernelSHAPIQ",750,0.892,0.879598551763308,0.904401448236692
"7","k=1","KernelSHAPIQ",1000,0.84,0.827222468700001,0.852777531299999
"8","k=1","KernelSHAPIQ",2000,0.904,0.893714285714286,0.914285714285714
"9","k=1","KernelSHAPIQ",3500,0.914,0.904098443742192,0.923901556257808
"10","k=1","KernelSHAPIQ",5000,0.93,0.92085267966081,0.93914732033919
"11","k=1","PermutationIQ",16,0.742,0.733873449912384,0.750126550087616
"12","k=1","PermutationIQ",50,0.964,0.957142857142857,0.970857142857143
"13","k=1","PermutationIQ",100,0.962,0.955065907943136,0.968934092056864
"14","k=1","PermutationIQ",250,0.96,0.953001457877762,0.966998542122238
"15","k=1","PermutationIQ",500,0.958,0.950949164183284,0.965050835816716
"16","k=1","PermutationIQ",750,0.96,0.953001457877762,0.966998542122238
"17","k=1","PermutationIQ",1000,0.966,0.95923273183867,0.97276726816133
"18","k=1","PermutationIQ",2000,0.974,0.96773379651444,0.98026620348556
"19","k=1","PermutationIQ",3500,0.974,0.96773379651444,0.98026620348556
"20","k=1","PermutationIQ",5000,0.974,0.96773379651444,0.98026620348556
"21","k=1","PermutationIQStratified",16,0.742,0.733873449912384,0.750126550087616
"22","k=1","PermutationIQStratified",50,0.716,0.704443572333625,0.727556427666375
"23","k=1","PermutationIQStratified",100,0.916,0.908248765733571,0.923751234266429
"24","k=1","PermutationIQStratified",250,0.96,0.952440710539815,0.967559289460185
"25","k=1","PermutationIQStratified",500,0.964,0.957142857142857,0.970857142857143
"26","k=1","PermutationIQStratified",750,0.962,0.955065907943136,0.968934092056864
"27","k=1","PermutationIQStratified",1000,0.968,0.96133605497732,0.97466394502268
"28","k=1","PermutationIQStratified",2000,0.974,0.96773379651444,0.98026620348556
"29","k=1","PermutationIQStratified",3500,0.976,0.969898812427411,0.982101187572589
"30","k=1","PermutationIQStratified",5000,0.976,0.969898812427411,0.982101187572589
"31","k=1","PermutationSamplingSII",16,0.742,0.733873449912384,0.750126550087616
"32","k=1","PermutationSamplingSII",50,0.742,0.733873449912384,0.750126550087616
"33","k=1","PermutationSamplingSII",100,0.742,0.733873449912384,0.750126550087616
"34","k=1","PermutationSamplingSII",250,0.742,0.733873449912384,0.750126550087616
"35","k=1","PermutationSamplingSII",500,0.954,0.946328159095944,0.961671840904056
"36","k=1","PermutationSamplingSII",750,0.952,0.944862859430402,0.959137140569598
"37","k=1","PermutationSamplingSII",1000,0.952,0.944312214830244,0.959687785169756
"38","k=1","PermutationSamplingSII",2000,0.954,0.946328159095944,0.961671840904056
"39","k=1","PermutationSamplingSII",3500,0.958,0.950392270311032,0.965607729688968
"40","k=1","PermutationSamplingSII",5000,0.958,0.950949164183284,0.965050835816716
"41","k=1","SHAPIQ",16,0.736,0.725793959371719,0.746206040628281
"42","k=1","SHAPIQ",50,0.756,0.742857142857143,0.769142857142857
"43","k=1","SHAPIQ",100,0.772,0.760205847176828,0.783794152823172
"44","k=1","SHAPIQ",250,0.812,0.799337988682194,0.824662011317806
"45","k=1","SHAPIQ",500,0.822,0.808211510271984,0.835788489728016
"46","k=1","SHAPIQ",750,0.832,0.818465463677341,0.84553453632266
"47","k=1","SHAPIQ",1000,0.814,0.802567857700719,0.825432142299282
"48","k=1","SHAPIQ",2000,0.874,0.863773982761044,0.884226017238956
"49","k=1","SHAPIQ",3500,0.902,0.889066891088279,0.914933108911722
"50","k=1","SHAPIQ",5000,0.926,0.914639488370245,0.937360511629755
"51","k=1","SVARMIQ",16,0.734,0.720414293225179,0.747585706774822
"52","k=1","SVARMIQ",50,0.762,0.752148034485962,0.771851965514038
"53","k=1","SVARMIQ",100,0.78,0.76690692658584,0.79309307341416
"54","k=1","SVARMIQ",250,0.816,0.803757551265355,0.828242448734645
"55","k=1","SVARMIQ",500,0.824,0.810131815886272,0.837868184113728
"56","k=1","SVARMIQ",750,0.832,0.817875191892219,0.846124808107781
"57","k=1","SVARMIQ",1000,0.794,0.780779731084275,0.807220268915725
"58","k=1","SVARMIQ",2000,0.894,0.882425926228269,0.905574073771731
"59","k=1","SVARMIQ",3500,0.912,0.901447894107075,0.922552105892925
"60","k=1","SVARMIQ",5000,0.924,0.913097837698092,0.934902162301908
"61","k=2","KernelSHAPIQ",16,0.14,0.12170535932162,0.15829464067838
