"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"1","k=1","KernelSHAPIQ",13,0.862,0.853974530339892,0.870025469660108
"2","k=1","KernelSHAPIQ",50,0.866,0.858118220443352,0.873881779556648
"3","k=1","KernelSHAPIQ",100,0.858,0.849385820896182,0.866614179103818
"4","k=1","KernelSHAPIQ",200,0.878,0.868834848610088,0.887165151389912
"5","k=1","KernelSHAPIQ",350,0.882,0.874076900214936,0.889923099785064
"6","k=1","KernelSHAPIQ",500,0.896,0.887447640258803,0.904552359741198
"7","k=1","KernelSHAPIQ",750,0.882,0.871821992496825,0.892178007503175
"8","k=1","KernelSHAPIQ",1000,0.912,0.903601749453315,0.920398250546685
"9","k=1","PermutationIQ",13,0.8,0.8,0.8
"10","k=1","PermutationIQ",50,0.958,0.949385820896182,0.966614179103818
"11","k=1","PermutationIQ",100,0.958,0.949385820896182,0.966614179103818
"12","k=1","PermutationIQ",200,0.96,0.951428571428571,0.968571428571429
"13","k=1","PermutationIQ",350,0.96,0.951428571428571,0.968571428571429
"14","k=1","PermutationIQ",500,0.962,0.9534811134195,0.9705188865805
"15","k=1","PermutationIQ",750,0.96,0.951428571428571,0.968571428571429
"16","k=1","PermutationIQ",1000,0.962,0.9534811134195,0.9705188865805
"17","k=1","PermutationIQStratified",13,0.8,0.8,0.8
"18","k=1","PermutationIQStratified",50,0.878,0.868834848610088,0.887165151389912
"19","k=1","PermutationIQStratified",100,0.954,0.94581340069606,0.96218659930394
"20","k=1","PermutationIQStratified",200,0.96,0.951428571428571,0.968571428571429
"21","k=1","PermutationIQStratified",350,0.96,0.951428571428571,0.968571428571429
"22","k=1","PermutationIQStratified",500,0.962,0.9534811134195,0.9705188865805
"23","k=1","PermutationIQStratified",750,0.962,0.9534811134195,0.9705188865805
"24","k=1","PermutationIQStratified",1000,0.958,0.949385820896182,0.966614179103818
"25","k=1","PermutationSamplingSII",13,0.8,0.8,0.8
"26","k=1","PermutationSamplingSII",50,0.8,0.8,0.8
"27","k=1","PermutationSamplingSII",100,0.8,0.8,0.8
"28","k=1","PermutationSamplingSII",200,0.8,0.8,0.8
"29","k=1","PermutationSamplingSII",350,0.954,0.945329148054004,0.962670851945996
"30","k=1","PermutationSamplingSII",500,0.946,0.936870545537902,0.955129454462097
"31","k=1","PermutationSamplingSII",750,0.948,0.939315037626531,0.956684962373469
"32","k=1","PermutationSamplingSII",1000,0.952,0.943315037626531,0.960684962373469
"33","k=1","SHAPIQ",13,0.834,0.826654308495896,0.841345691504104
"34","k=1","SHAPIQ",50,0.854,0.846880036688927,0.861119963311073
"35","k=1","SHAPIQ",100,0.84,0.833001457877762,0.846998542122238
"36","k=1","SHAPIQ",200,0.862,0.8534811134195,0.8705188865805
"37","k=1","SHAPIQ",350,0.832,0.82533605497732,0.83866394502268
"38","k=1","SHAPIQ",500,0.854,0.845329148054004,0.862670851945996
"39","k=1","SHAPIQ",750,0.88,0.871918779643582,0.888081220356418
"40","k=1","SHAPIQ",1000,0.884,0.876248765733571,0.891751234266429
"41","k=1","SVARMIQ",13,0.842,0.834392270311032,0.849607729688968
"42","k=1","SVARMIQ",50,0.844,0.836354806765566,0.851645193234434
"43","k=1","SVARMIQ",100,0.858,0.850392270311032,0.865607729688968
"44","k=1","SVARMIQ",200,0.858,0.849385820896182,0.866614179103818
"45","k=1","SVARMIQ",350,0.84,0.832440710539815,0.847559289460185
"46","k=1","SVARMIQ",500,0.832,0.824206753316008,0.839793246683992
"47","k=1","SVARMIQ",750,0.874,0.86460612444413,0.883393875555871
"48","k=1","SVARMIQ",1000,0.898,0.889674970123238,0.906325029876762
"49","k=2","KernelSHAPIQ",13,0.174,0.154038813171762,0.193961186828238
"50","k=2","KernelSHAPIQ",50,0.188,0.168487575909756,0.207512424090244
"51","k=2","KernelSHAPIQ",100,0.402,0.38231057468112,0.42168942531888
"52","k=2","KernelSHAPIQ",200,0.75,0.734547637390869,0.765452362609131
"53","k=2","KernelSHAPIQ",350,0.894,0.882784122042063,0.905215877957937
"54","k=2","KernelSHAPIQ",500,0.914,0.903305732987307,0.924694267012693
"55","k=2","KernelSHAPIQ",750,0.906,0.893412348130337,0.918587651869663
"56","k=2","KernelSHAPIQ",1000,0.942,0.932924354186132,0.951075645813868
"57","k=2","PermutationIQ",13,0.082,0.0706826843883781,0.0933173156116219
"58","k=2","PermutationIQ",50,0.546,0.524579048974027,0.567420951025973
"59","k=2","PermutationIQ",100,0.6,0.580621914333928,0.619378085666072
"60","k=2","PermutationIQ",200,0.656,0.637669697220177,0.674330302779823
"61","k=2","PermutationIQ",350,0.732,0.71597960483557,0.74802039516443
"62","k=2","PermutationIQ",500,0.756,0.743493675069577,0.768506324930422
"63","k=2","PermutationIQ",750,0.776,0.762733500838578,0.789266499161422
"64","k=2","PermutationIQ",1000,0.796,0.782919402123132,0.809080597876868
"65","k=2","PermutationIQStratified",13,0.082,0.0706826843883781,0.0933173156116219
"66","k=2","PermutationIQStratified",50,0.148,0.132288311903009,0.163711688096991
"67","k=2","PermutationIQStratified",100,0.524,0.503090086327392,0.544909913672608
"68","k=2","PermutationIQStratified",200,0.616,0.598304157066055,0.633695842933945
"69","k=2","PermutationIQStratified",350,0.69,0.673524910579042,0.706475089420958
"70","k=2","PermutationIQStratified",500,0.736,0.722981959142978,0.749018040857022
"71","k=2","PermutationIQStratified",750,0.756,0.742857142857143,0.769142857142857
"72","k=2","PermutationIQStratified",1000,0.792,0.778956900330842,0.805043099669158
"73","k=2","PermutationSamplingSII",13,0.076,0.0654788842059875,0.0865211157940126
"74","k=2","PermutationSamplingSII",50,0.076,0.0654788842059875,0.0865211157940126
"75","k=2","PermutationSamplingSII",100,0.076,0.0654788842059875,0.0865211157940126
"76","k=2","PermutationSamplingSII",200,0.076,0.0654788842059875,0.0865211157940126
"77","k=2","PermutationSamplingSII",350,0.196,0.181725718860804,0.210274281139196
"78","k=2","PermutationSamplingSII",500,0.19,0.173279000127543,0.206720999872457
"79","k=2","PermutationSamplingSII",750,0.304,0.28759691417782,0.32040308582218
"80","k=2","PermutationSamplingSII",1000,0.388,0.370705433199518,0.405294566800482
"81","k=2","SHAPIQ",13,0.182,0.161260606349761,0.202739393650239
"82","k=2","SHAPIQ",50,0.214,0.197835034103068,0.230164965896932
"83","k=2","SHAPIQ",100,0.254,0.232579048974027,0.275420951025973
"84","k=2","SHAPIQ",200,0.276,0.256714814822073,0.295285185177927
"85","k=2","SHAPIQ",350,0.438,0.416074337093772,0.459925662906228
"86","k=2","SHAPIQ",500,0.54,0.52,0.56
"87","k=2","SHAPIQ",750,0.404,0.378772868508978,0.429227131491022
"88","k=2","SHAPIQ",1000,0.544,0.517633664011293,0.570366335988707
"89","k=2","SVARMIQ",13,0.13,0.113036654161374,0.146963345838626
"90","k=2","SVARMIQ",50,0.232,0.21383072789076,0.25016927210924
"91","k=2","SVARMIQ",100,0.292,0.273966018470789,0.310033981529211
"92","k=2","SVARMIQ",200,0.332,0.311309866296878,0.352690133703122
"93","k=2","SVARMIQ",350,0.58,0.562387388562946,0.597612611437054
"94","k=2","SVARMIQ",500,0.66,0.639199686030627,0.680800313969373
"95","k=2","SVARMIQ",750,0.494,0.472163875652245,0.515836124347755
"96","k=2","SVARMIQ",1000,0.654,0.634368704701369,0.673631295298631
"97","k=3","KernelSHAPIQ",13,0.076,0.0627335008385784,0.0892664991614216
"98","k=3","KernelSHAPIQ",50,0.074,0.0622857142857143,0.0857142857142857
"99","k=3","KernelSHAPIQ",100,0.076,0.0624293233290995,0.0895706766709005
"100","k=3","KernelSHAPIQ",200,0.062,0.0495821063930853,0.0744178936069147
"101","k=3","KernelSHAPIQ",350,0.084,0.0693308598251504,0.0986691401748496
