"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","k=1","KernelSHAPIQ",50,0.222129132450047,0.207372994887189,0.236885270012905
"2","k=1","KernelSHAPIQ",100,0.0677141001665481,0.0642702642451298,0.0711579360879663
"3","k=1","KernelSHAPIQ",250,0.0199682605598803,0.0188270708557285,0.021109450264032
"4","k=1","KernelSHAPIQ",500,0.00761053510459374,0.00715729267203461,0.00806377753715287
"5","k=1","KernelSHAPIQ",750,0.00481055055443428,0.00463005245822513,0.00499104865064343
"6","k=1","KernelSHAPIQ",1000,0.0833968758872743,0.0799439119619282,0.0868498398126204
"7","k=1","KernelSHAPIQ",2000,0.00517714156387045,0.0049147919054565,0.0054394912222844
"8","k=1","KernelSHAPIQ",3500,0.00200792164271416,0.00189037957312758,0.00212546371230074
"9","k=1","KernelSHAPIQ",5000,0.00108982883615888,0.00102741612187428,0.00115224155044348
"10","k=1","PermutationIQ",50,0.0835254713873922,0.0778419786451756,0.0892089641296088
"11","k=1","PermutationIQ",100,0.0345553140405501,0.0319582372368757,0.0371523908442244
"12","k=1","PermutationIQ",250,0.0156127125314061,0.0140874330021326,0.0171379920606797
"13","k=1","PermutationIQ",500,0.00698257474412928,0.00644611480727196,0.0075190346809866
"14","k=1","PermutationIQ",750,0.00462597802829696,0.0041877943891013,0.00506416166749262
"15","k=1","PermutationIQ",1000,0.00381715893658182,0.0035152131089482,0.00411910476421544
"16","k=1","PermutationIQ",2000,0.00179167062370721,0.00163660029470348,0.00194674095271094
"17","k=1","PermutationIQ",3500,0.00120046685373234,0.00109850247281657,0.00130243123464811
"18","k=1","PermutationIQ",5000,0.00068757467043526,0.000632873027265094,0.000742276313605426
"19","k=1","PermutationIQStratified",100,0.0569236854143636,0.0446300800757019,0.0692172907530253
"20","k=1","PermutationIQStratified",250,0.0112733439735507,0.0101383495574313,0.0124083383896701
"21","k=1","PermutationIQStratified",500,0.00351721010863289,0.00324590736807766,0.00378851284918812
"22","k=1","PermutationIQStratified",750,0.00171887183597821,0.00154165793998801,0.00189608573196841
"23","k=1","PermutationIQStratified",1000,0.00102607574355866,0.000934543679058161,0.00111760780805916
"24","k=1","PermutationIQStratified",2000,0.00042153233430829,0.000381442600601586,0.000461622068014994
"25","k=1","PermutationIQStratified",3500,0.00023673174682095,0.000211478955924224,0.000261984537717676
"26","k=1","PermutationIQStratified",5000,0.00017762052644175,0.000161192155989017,0.000194048896894483
"27","k=1","PermutationSamplingSII",50,0.460700800691442,0.460700800691442,0.460700800691442
"28","k=1","PermutationSamplingSII",100,0.460700800691442,0.460700800691442,0.460700800691442
"29","k=1","PermutationSamplingSII",250,0.460700800691442,0.460700800691442,0.460700800691442
"30","k=1","PermutationSamplingSII",500,0.251251733795959,0.246742521559699,0.255760946032219
"31","k=1","PermutationSamplingSII",750,0.131276295340854,0.122795866417906,0.139756724263803
"32","k=1","PermutationSamplingSII",1000,0.127881035338967,0.12123876376965,0.134523306908284
"33","k=1","PermutationSamplingSII",2000,0.0499352239940831,0.0461254852802352,0.053744962707931
"34","k=1","PermutationSamplingSII",3500,0.0284497143104026,0.0259683138423576,0.0309311147784476
"35","k=1","PermutationSamplingSII",5000,0.0161628934903835,0.0144922718161412,0.0178335151646258
"36","k=1","SHAPIQ",50,0.627768403910854,0.598230403847036,0.657306403974673
"37","k=1","SHAPIQ",100,0.166950026896129,0.158668016706286,0.175232037085971
"38","k=1","SHAPIQ",250,0.0713148418060122,0.067916871434338,0.0747128121776865
"39","k=1","SHAPIQ",500,0.041893808490132,0.0411323544509856,0.0426552625292783
"40","k=1","SHAPIQ",750,0.0406047082206093,0.0400571350543874,0.0411522813868312
"41","k=1","SHAPIQ",1000,0.109412835699277,0.102997725813382,0.115827945585171
"42","k=1","SHAPIQ",2000,0.00594843449261521,0.0055931535573969,0.00630371542783352
"43","k=1","SHAPIQ",3500,0.00220204975657952,0.0021006512159625,0.00230344829719654
"44","k=1","SHAPIQ",5000,0.00109314426936297,0.00103382850362859,0.00115246003509735
"45","k=1","SVARMIQ",50,0.35227269150052,0.337123785120185,0.367421597880855
"46","k=1","SVARMIQ",100,0.0525945723833705,0.0500964830142547,0.0550926617524864
"47","k=1","SVARMIQ",250,0.0401975527414707,0.0395879898570956,0.0408071156258457
"48","k=1","SVARMIQ",500,0.0387254140500882,0.0384851715161964,0.03896565658398
"49","k=1","SVARMIQ",750,0.0393651945123423,0.0392198162500955,0.0395105727745891
"50","k=1","SVARMIQ",1000,0.0208491599142409,0.0195464790596363,0.0221518407688456
"51","k=1","SVARMIQ",2000,0.00059602116957402,0.000562198108723351,0.000629844230424689
"52","k=1","SVARMIQ",3500,0.00020582710308754,0.000194477477254701,0.000217176728920379
"53","k=1","SVARMIQ",5000,0.00013667311020477,0.00012878412134827,0.00014456209906127
"54","k=2","KernelSHAPIQ",50,137562561659780,280340.75,275125123039219
"55","k=2","KernelSHAPIQ",100,39.4601877074753,2.08378643034379,76.8365889846068
"56","k=2","KernelSHAPIQ",250,0.0165018585149111,0.0158197343356675,0.0171839826941546
"57","k=2","KernelSHAPIQ",500,0.00128332937856144,0.00123506511762869,0.00133159363949419
"58","k=2","KernelSHAPIQ",750,0.00078627020306021,0.000763808576635393,0.000808731829485027
"59","k=2","KernelSHAPIQ",1000,0.0152683356673346,0.014678002899687,0.0158586684349822
"60","k=2","KernelSHAPIQ",2000,0.00035806404114655,0.000348217935942334,0.000367910146350766
"61","k=2","KernelSHAPIQ",3500,0.00011104279933274,0.000108773322796564,0.000113312275868916
"62","k=2","KernelSHAPIQ",5000,6.46749138872691e-05,6.27367239781153e-05,6.66131037964229e-05
"63","k=2","PermutationIQ",50,0.254460253763724,0.243002297640741,0.265918209886706
"64","k=2","PermutationIQ",100,0.125148020228946,0.119675709394743,0.130620331063149
"65","k=2","PermutationIQ",250,0.0625155128030867,0.0601658022985963,0.0648652233075771
"66","k=2","PermutationIQ",500,0.0324292747563911,0.0312609206692698,0.0335976288435125
"67","k=2","PermutationIQ",750,0.0217158383851106,0.0207370081878348,0.0226946685823864
"68","k=2","PermutationIQ",1000,0.0167856852989309,0.0160721810839261,0.0174991895139357
"69","k=2","PermutationIQ",2000,0.00776828996110181,0.00749677539442104,0.00803980452778258
"70","k=2","PermutationIQ",3500,0.00443911361023586,0.00425992056275881,0.00461830665771291
"71","k=2","PermutationIQ",5000,0.00289940612713026,0.00278167335292405,0.00301713890133647
"72","k=2","PermutationIQStratified",100,0.577440817323548,0.504805278521709,0.650076356125388
"73","k=2","PermutationIQStratified",250,0.129065241825861,0.123186229641035,0.134944254010688
"74","k=2","PermutationIQStratified",500,0.0605311578012014,0.0578993926697364,0.0631629229326664
"75","k=2","PermutationIQStratified",750,0.0352362101237427,0.033804376795725,0.0366680434517603
"76","k=2","PermutationIQStratified",1000,0.0264783462434488,0.0253088425930703,0.0276478498938274
"77","k=2","PermutationIQStratified",2000,0.0101458169291031,0.00976751879413991,0.0105241150640663
"78","k=2","PermutationIQStratified",3500,0.00553963221833719,0.00531731572912022,0.00576194870755416
"79","k=2","PermutationIQStratified",5000,0.00339460185667444,0.0032464733611077,0.00354273035224118
"80","k=2","PermutationSamplingSII",50,0.0300332919679765,0.0300332919679765,0.0300332919679765
"81","k=2","PermutationSamplingSII",100,0.0300332919679765,0.0300332919679765,0.0300332919679765
"82","k=2","PermutationSamplingSII",250,0.0300332919679765,0.0300332919679765,0.0300332919679765
"83","k=2","PermutationSamplingSII",500,0.0274022485649033,0.026645029094174,0.0281594680356326
"84","k=2","PermutationSamplingSII",750,0.027227423516203,0.0264635063227765,0.0279913407096294
"85","k=2","PermutationSamplingSII",1000,0.0241285607977705,0.0231122043788158,0.0251449172167253
"86","k=2","PermutationSamplingSII",2000,0.0201862396664579,0.019047695429217,0.0213247839036988
"87","k=2","PermutationSamplingSII",3500,0.0154145754787245,0.0145746461668985,0.0162545047905504
"88","k=2","PermutationSamplingSII",5000,0.0113366693890196,0.0106140531198933,0.0120592856581459
"89","k=2","SHAPIQ",50,4.21395843545169,4.0429456919734,4.38497117892998
"90","k=2","SHAPIQ",100,1.65200223192895,1.59947228424416,1.70453217961373
"91","k=2","SHAPIQ",250,0.4322376278448,0.421066286698357,0.443408968991242
"92","k=2","SHAPIQ",500,0.0391194953986438,0.0381722368786936,0.040066753918594
"93","k=2","SHAPIQ",750,0.0189156209470481,0.0185221571883383,0.019309084705758
"94","k=2","SHAPIQ",1000,0.605510506569214,0.585240920990837,0.625780092147591
"95","k=2","SHAPIQ",2000,0.0301047518792349,0.0293551640012186,0.0308543397572512
"96","k=2","SHAPIQ",3500,0.011731460969289,0.0114741091660306,0.0119888127725474
"97","k=2","SHAPIQ",5000,0.00674715034559092,0.00659321239087379,0.00690108830030805
"98","k=2","SVARMIQ",50,0.417397712969744,0.400040862843221,0.434754563096267
"99","k=2","SVARMIQ",100,0.373663054113523,0.366198557995702,0.381127550231344
"100","k=2","SVARMIQ",250,0.145917348490227,0.143805144852893,0.148029552127562
"101","k=2","SVARMIQ",500,0.00802029336797255,0.00790069337911377,0.00813989335683133
"102","k=2","SVARMIQ",750,0.00713610262330937,0.00709213812708126,0.00718006711953748
"103","k=2","SVARMIQ",1000,0.178251493420486,0.174061174358044,0.182441812482927
"104","k=2","SVARMIQ",2000,0.00269872349050617,0.00263672198223186,0.00276072499878048
"105","k=2","SVARMIQ",3500,0.00102520439661603,0.000999719428681852,0.00105068936455021
"106","k=2","SVARMIQ",5000,0.00058202344865613,0.000569761720566976,0.000594285176745284
"107","k=3","KernelSHAPIQ",50,0.319975195301057,0.12936024739539,0.510590143206724
"108","k=3","KernelSHAPIQ",100,422.616369372244,23.1327808500849,822.099957894404
"109","k=3","KernelSHAPIQ",250,178.761640135328,110.443263350467,247.080016920189
"110","k=3","KernelSHAPIQ",500,4.81408573157362,0.527604952080413,9.10056651106682
"111","k=3","KernelSHAPIQ",750,0.0352294008347374,0.0329852478993109,0.0374735537701639
"112","k=3","KernelSHAPIQ",1000,0.00333660709098505,0.00319779238923072,0.00347542179273938
"113","k=3","KernelSHAPIQ",2000,0.00188822400483074,0.00184815804801295,0.00192828996164853
"114","k=3","KernelSHAPIQ",3500,0.00061212585586023,0.000602880270408389,0.000621371441312071
"115","k=3","KernelSHAPIQ",5000,0.000333277356801,0.000327313806059618,0.000339240907542382
"116","k=3","PermutationIQ",50,0.47991769159625,0.460534585916435,0.499300797276065
"117","k=3","PermutationIQ",100,0.178105183384253,0.172257261597137,0.183953105171369
"118","k=3","PermutationIQ",250,0.0771110933161655,0.0748653400513477,0.0793568465809833
"119","k=3","PermutationIQ",500,0.0421639823857268,0.0412302586333969,0.0430977061380566
"120","k=3","PermutationIQ",750,0.029696250972266,0.0291655668439647,0.0302269351005673
"121","k=3","PermutationIQ",1000,0.0249348818839662,0.0243278370330306,0.0255419267349019
"122","k=3","PermutationIQ",2000,0.0147616577899209,0.0144315629044965,0.0150917526753454
"123","k=3","PermutationIQ",3500,0.00952188269975258,0.009329998638869,0.00971376676063616
"124","k=3","PermutationIQ",5000,0.00691774869370953,0.00677707855390085,0.00705841883351821
"125","k=3","PermutationIQStratified",100,3.3310431313862,2.92301049052141,3.739075772251
"126","k=3","PermutationIQStratified",250,0.49224896680144,0.46221607316394,0.52228186043894
"127","k=3","PermutationIQStratified",500,0.144890594833435,0.137296028329632,0.152485161337238
"128","k=3","PermutationIQStratified",750,0.0617992044967452,0.0593656822304876,0.0642327267630028
"129","k=3","PermutationIQStratified",1000,0.0426451645011138,0.0409624471615333,0.0443278818406943
"130","k=3","PermutationIQStratified",2000,0.017590769591167,0.0171514411941479,0.0180300979881862
"131","k=3","PermutationIQStratified",3500,0.0106152047600981,0.0103918588543729,0.0108385506658233
"132","k=3","PermutationIQStratified",5000,0.00742488441142233,0.00725413103283355,0.00759563779001111
"133","k=3","PermutationSamplingSII",50,0.00207808672664963,0.00207808672664963,0.00207808672664963
"134","k=3","PermutationSamplingSII",100,0.00207808672664963,0.00207808672664963,0.00207808672664963
"135","k=3","PermutationSamplingSII",250,0.00207808672664963,0.00207808672664963,0.00207808672664963
"136","k=3","PermutationSamplingSII",500,0.00219566832112259,0.00216327065968445,0.00222806598256073
"137","k=3","PermutationSamplingSII",750,0.00246029428348675,0.00240005670826508,0.00252053185870842
"138","k=3","PermutationSamplingSII",1000,0.0025547403082746,0.00246059543449933,0.00264888518204987
"139","k=3","PermutationSamplingSII",2000,0.00289942830635888,0.00280071515395459,0.00299814145876317
"140","k=3","PermutationSamplingSII",3500,0.00335105807623739,0.00323340676630892,0.00346870938616586
"141","k=3","PermutationSamplingSII",5000,0.0039709290219719,0.00379334422409965,0.00414851381984415
"142","k=3","SHAPIQ",50,19.4116491821265,18.5682522100937,20.2550461541593
"143","k=3","SHAPIQ",100,8.59079494101819,8.3946183881659,8.78697149387048
"144","k=3","SHAPIQ",250,2.28593465813763,2.2528975016768,2.31897181459846
"145","k=3","SHAPIQ",500,0.455183872927509,0.449792358903068,0.460575386951949
"146","k=3","SHAPIQ",750,0.168017850072558,0.165883648035082,0.170152052110034
"147","k=3","SHAPIQ",1000,3.81553335223762,3.70498893862322,3.92607776585202
"148","k=3","SHAPIQ",2000,0.195378626260321,0.192658697744321,0.198098554776321
"149","k=3","SHAPIQ",3500,0.0744913595576507,0.0736531089908243,0.075329610124477
"150","k=3","SHAPIQ",5000,0.0435709762441153,0.0430017647469554,0.0441401877412752
"151","k=3","SVARMIQ",50,0.718489589869345,0.697665684640555,0.739313495098134
"152","k=3","SVARMIQ",100,1.94589469564863,1.91062065095989,1.98116874033738
"153","k=3","SVARMIQ",250,0.520676921810239,0.509770919462016,0.531582924158462
"154","k=3","SVARMIQ",500,0.10070495045239,0.100031952948691,0.101377947956089
"155","k=3","SVARMIQ",750,0.0440508217161446,0.043587463679444,0.0445141797528452
"156","k=3","SVARMIQ",1000,0.488007019155185,0.4787097438432,0.497304294467169
"157","k=3","SVARMIQ",2000,0.0306017614116483,0.0300488008210915,0.0311547220022051
"158","k=3","SVARMIQ",3500,0.00576368227669609,0.00565587951027533,0.00587148504311685
"159","k=3","SVARMIQ",5000,0.00292360867997177,0.00288215610605936,0.00296506125388418
"160","k=4","KernelSHAPIQ",50,0.00211363115420715,0.00189833829341432,0.00232892401499998
"161","k=4","KernelSHAPIQ",100,0.00306317700739933,0.00288892746066689,0.00323742655413177
"162","k=4","KernelSHAPIQ",250,0.00165535908857834,0.00160947367902169,0.00170124449813499
"163","k=4","KernelSHAPIQ",500,0.00145365097268044,0.00143524894106362,0.00147205300429726
"164","k=4","KernelSHAPIQ",750,0.00152028297478224,0.00149760751953656,0.00154295843002792
"165","k=4","KernelSHAPIQ",1000,15.0982279765082,8.82691330273763,21.3695426502788
"166","k=4","KernelSHAPIQ",2000,0.0380432167477118,0.0373425178703601,0.0387439156250635
"167","k=4","KernelSHAPIQ",3500,0.00729871258293686,0.00720433767952549,0.00739308748634823
"168","k=4","KernelSHAPIQ",5000,0.00356818599738061,0.00353383614391178,0.00360253585084944
"169","k=4","PermutationIQ",50,0.92643375607853,0.884216345314735,0.968651166842324
"170","k=4","PermutationIQ",100,0.350545577722714,0.342108829826067,0.358982325619361
"171","k=4","PermutationIQ",250,0.170785943310131,0.167191993933096,0.174379892687167
"172","k=4","PermutationIQ",500,0.102557776785175,0.101028283660222,0.104087269910129
"173","k=4","PermutationIQ",750,0.0727625791908812,0.0718635207472432,0.0736616376345191
"174","k=4","PermutationIQ",1000,0.0595177676560421,0.0585609298893653,0.0604746054227189
"175","k=4","PermutationIQ",2000,0.0343115265975119,0.0339274927026236,0.0346955604924002
"176","k=4","PermutationIQ",3500,0.0212048310346604,0.0209859362484956,0.0214237258208253
"177","k=4","PermutationIQ",5000,0.0152976873688439,0.015125128138117,0.0154702465995707
"178","k=4","PermutationIQStratified",100,16.4096559947694,14.62516074932,18.1941512402188
"179","k=4","PermutationIQStratified",250,2.06381931573918,1.88041748343045,2.24722114804791
"180","k=4","PermutationIQStratified",500,0.470403580347863,0.448404433155644,0.492402727540081
"181","k=4","PermutationIQStratified",750,0.196299951111273,0.184152360411031,0.208447541811514
"182","k=4","PermutationIQStratified",1000,0.114121852948298,0.107044538518691,0.121199167377904
"183","k=4","PermutationIQStratified",2000,0.0436028607841578,0.0409462340712203,0.0462594874970953
"184","k=4","PermutationIQStratified",3500,0.0232413655686103,0.0229989125878962,0.0234838185493245
"185","k=4","PermutationIQStratified",5000,0.0164356576978074,0.0162387992077467,0.0166325161878682
"186","k=4","PermutationSamplingSII",50,0.00087982737158902,0.00087982737158902,0.00087982737158902
"187","k=4","PermutationSamplingSII",100,0.00087982737158902,0.00087982737158902,0.00087982737158902
"188","k=4","PermutationSamplingSII",250,0.00087982737158902,0.00087982737158902,0.00087982737158902
"189","k=4","PermutationSamplingSII",500,0.00093416127802407,0.000923138585104196,0.000945183970943944
"190","k=4","PermutationSamplingSII",750,0.00104162897130356,0.0010208645936123,0.00106239334899482
"191","k=4","PermutationSamplingSII",1000,0.00112337012783418,0.00109292703255679,0.00115381322311157
"192","k=4","PermutationSamplingSII",2000,0.00130675708257684,0.00126908263762422,0.00134443152752946
"193","k=4","PermutationSamplingSII",3500,0.00161042011029952,0.00156477741580949,0.00165606280478955
"194","k=4","PermutationSamplingSII",5000,0.00200403096644299,0.00193587411225547,0.00207218782063051
"195","k=4","SHAPIQ",50,60.4074729287939,57.4652706659783,63.3496751916094
"196","k=4","SHAPIQ",100,28.0941429769074,27.4315772720205,28.7567086817943
"197","k=4","SHAPIQ",250,7.54380153086528,7.42841493674185,7.6591881249887
"198","k=4","SHAPIQ",500,1.90311503228558,1.8822726955677,1.92395736900346
"199","k=4","SHAPIQ",750,0.697846948039386,0.689101041431639,0.706592854647133
"200","k=4","SHAPIQ",1000,35.0512776197864,33.8076945523072,36.2948606872656
"201","k=4","SHAPIQ",2000,1.68974001377612,1.67284706605893,1.70663296149331
"202","k=4","SHAPIQ",3500,0.655883074162243,0.650037930659869,0.661728217664617
"203","k=4","SHAPIQ",5000,0.381097010328057,0.378157881829644,0.38403613882647
"204","k=4","SVARMIQ",50,1.68709784555836,1.61385278856736,1.76034290254936
"205","k=4","SVARMIQ",100,5.36143196281935,5.28096040948203,5.44190351615667
"206","k=4","SVARMIQ",250,0.890755021983982,0.871208736954114,0.91030130701385
"207","k=4","SVARMIQ",500,1.46955035079484,1.4604585400828,1.47864216150689
"208","k=4","SVARMIQ",750,0.390977439406174,0.385670220114056,0.396284658698292
"209","k=4","SVARMIQ",1000,1.08381673505012,1.0653854575969,1.10224801250335
"210","k=4","SVARMIQ",2000,0.239519607969608,0.237348507914401,0.241690708024816
"211","k=4","SVARMIQ",3500,0.151814061602071,0.150914543631141,0.152713579573001
"212","k=4","SVARMIQ",5000,0.0877751908321177,0.0873492249038685,0.0882011567603668
