"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"1","k=1","KernelSHAPIQ",16,0.75,0.737142857142857,0.762857142857143
"2","k=1","KernelSHAPIQ",50,0.806,0.794078487974271,0.817921512025729
"3","k=1","KernelSHAPIQ",100,0.872,0.863409544926644,0.880590455073356
"4","k=1","KernelSHAPIQ",250,0.946,0.93781340069606,0.95418659930394
"5","k=1","KernelSHAPIQ",500,0.986,0.981043042407744,0.990956957592256
"6","k=1","KernelSHAPIQ",750,0.996,0.993200583151105,0.998799416848895
"7","k=1","KernelSHAPIQ",1000,0.872,0.861682588522704,0.882317411477296
"8","k=1","KernelSHAPIQ",2000,0.978,0.972082195663655,0.983917804336345
"9","k=1","KernelSHAPIQ",3500,0.988,0.983357692340208,0.992642307659792
"10","k=1","KernelSHAPIQ",5000,1,1,1
"11","k=1","PermutationIQ",16,0.8,0.8,0.8
"12","k=1","PermutationIQ",50,0.894,0.885714285714286,0.902285714285714
"13","k=1","PermutationIQ",100,0.958,0.950949164183284,0.965050835816716
"14","k=1","PermutationIQ",250,0.99,0.985714285714286,0.994285714285714
"15","k=1","PermutationIQ",500,0.998,0.996,1
"16","k=1","PermutationIQ",750,0.998,0.996,1
"17","k=1","PermutationIQ",1000,1,1,1
"18","k=1","PermutationIQ",2000,1,1,1
"19","k=1","PermutationIQ",3500,1,1,1
"20","k=1","PermutationIQ",5000,1,1,1
"21","k=1","PermutationIQStratified",16,0.8,0.8,0.8
"22","k=1","PermutationIQStratified",50,0.748,0.73721830727765,0.75878169272235
"23","k=1","PermutationIQStratified",100,0.918,0.907821992496825,0.928178007503175
"24","k=1","PermutationIQStratified",250,0.998,0.996,1
"25","k=1","PermutationIQStratified",500,1,1,1
"26","k=1","PermutationIQStratified",750,1,1,1
"27","k=1","PermutationIQStratified",1000,1,1,1
"28","k=1","PermutationIQStratified",2000,1,1,1
"29","k=1","PermutationIQStratified",3500,1,1,1
"30","k=1","PermutationIQStratified",5000,1,1,1
"31","k=1","PermutationSamplingSII",16,0.8,0.8,0.8
"32","k=1","PermutationSamplingSII",50,0.8,0.8,0.8
"33","k=1","PermutationSamplingSII",100,0.8,0.8,0.8
"34","k=1","PermutationSamplingSII",250,0.8,0.8,0.8
"35","k=1","PermutationSamplingSII",500,0.782,0.771821992496825,0.792178007503175
"36","k=1","PermutationSamplingSII",750,0.858,0.847662827134214,0.868337172865786
"37","k=1","PermutationSamplingSII",1000,0.864,0.853401578862291,0.874598421137709
"38","k=1","PermutationSamplingSII",2000,0.936,0.927074000370392,0.944925999629608
"39","k=1","PermutationSamplingSII",3500,0.97,0.96345346329292,0.97654653670708
"40","k=1","PermutationSamplingSII",5000,0.988,0.983357692340208,0.992642307659792
"41","k=1","SHAPIQ",16,0.712,0.701447894107075,0.722552105892925
"42","k=1","SHAPIQ",50,0.726,0.714639488370245,0.737360511629755
"43","k=1","SHAPIQ",100,0.778,0.76758415649511,0.78841584350489
"44","k=1","SHAPIQ",250,0.83,0.818482488931002,0.841517511068998
"45","k=1","SHAPIQ",500,0.938,0.929974530339892,0.946025469660107
"46","k=1","SHAPIQ",750,0.962,0.955065907943136,0.968934092056864
"47","k=1","SHAPIQ",1000,0.834,0.82235560921582,0.84564439078418
"48","k=1","SHAPIQ",2000,0.974,0.96773379651444,0.98026620348556
"49","k=1","SHAPIQ",3500,0.988,0.983357692340208,0.992642307659792
"50","k=1","SHAPIQ",5000,0.998,0.996,1
"51","k=1","SVARMIQ",16,0.752,0.742004082465979,0.761995917534021
"52","k=1","SVARMIQ",50,0.76,0.747222468700001,0.772777531299999
"53","k=1","SVARMIQ",100,0.942,0.934392270311032,0.949607729688968
"54","k=1","SVARMIQ",250,0.99,0.985714285714286,0.994285714285714
"55","k=1","SVARMIQ",500,1,1,1
"56","k=1","SVARMIQ",750,1,1,1
"57","k=1","SVARMIQ",1000,0.916,0.9077389529744,0.924261047025601
"58","k=1","SVARMIQ",2000,1,1,1
"59","k=1","SVARMIQ",3500,1,1,1
"60","k=1","SVARMIQ",5000,1,1,1
"61","k=2","KernelSHAPIQ",16,0.102,0.0878607508209616,0.116139249179038
"62","k=2","KernelSHAPIQ",50,0.146,0.127658567033481,0.164341432966519
"63","k=2","KernelSHAPIQ",100,0.142,0.127129127223231,0.156870872776769
"64","k=2","KernelSHAPIQ",250,0.56,0.545714285714286,0.574285714285714
"65","k=2","KernelSHAPIQ",500,0.9,0.891428571428571,0.908571428571429
"66","k=2","KernelSHAPIQ",750,0.9,0.892440710539815,0.907559289460185
"67","k=2","KernelSHAPIQ",1000,0.548,0.529212248888259,0.566787751111741
"68","k=2","KernelSHAPIQ",2000,0.92,0.911918779643582,0.928081220356418
"69","k=2","KernelSHAPIQ",3500,0.944,0.936908757916577,0.951091242083423
"70","k=2","KernelSHAPIQ",5000,0.956,0.948908757916577,0.963091242083423
"71","k=2","PermutationIQ",16,0,0,0
"72","k=2","PermutationIQ",50,0.282,0.264693636890391,0.299306363109609
"73","k=2","PermutationIQ",100,0.38,0.366297624219106,0.393702375780894
"74","k=2","PermutationIQ",250,0.444,0.429109926604805,0.458890073395195
"75","k=2","PermutationIQ",500,0.552,0.537088013313486,0.566911986686514
"76","k=2","PermutationIQ",750,0.564,0.547154968030876,0.580845031969124
"77","k=2","PermutationIQ",1000,0.602,0.588152433353083,0.615847566646917
"78","k=2","PermutationIQ",2000,0.652,0.637933104428467,0.666066895571533
"79","k=2","PermutationIQ",3500,0.72,0.705431372818306,0.734568627181694
"80","k=2","PermutationIQ",5000,0.758,0.74618855622366,0.76981144377634
"81","k=2","PermutationIQStratified",16,0,0,0
"82","k=2","PermutationIQStratified",50,0.06,0.049309550323503,0.070690449676497
"83","k=2","PermutationIQStratified",100,0.192,0.176924678904831,0.207075321095169
"84","k=2","PermutationIQStratified",250,0.344,0.328838286672661,0.359161713327339
"85","k=2","PermutationIQStratified",500,0.476,0.459949060679785,0.492050939320215
"86","k=2","PermutationIQStratified",750,0.484,0.465625216924785,0.502374783075215
"87","k=2","PermutationIQStratified",1000,0.56,0.545153850220838,0.574846149779162
"88","k=2","PermutationIQStratified",2000,0.618,0.603239324167898,0.632760675832102
"89","k=2","PermutationIQStratified",3500,0.694,0.679883863626245,0.708116136373755
"90","k=2","PermutationIQStratified",5000,0.734,0.722711573562778,0.745288426437222
"91","k=2","PermutationSamplingSII",16,0.1,0.1,0.1
"92","k=2","PermutationSamplingSII",50,0.1,0.1,0.1
"93","k=2","PermutationSamplingSII",100,0.1,0.1,0.1
"94","k=2","PermutationSamplingSII",250,0.1,0.1,0.1
"95","k=2","PermutationSamplingSII",500,0.132,0.119730908255095,0.144269091744905
"96","k=2","PermutationSamplingSII",750,0.208,0.191379383346001,0.224620616653999
"97","k=2","PermutationSamplingSII",1000,0.242,0.226857142857143,0.257142857142857
"98","k=2","PermutationSamplingSII",2000,0.432,0.414285714285714,0.449714285714286
"99","k=2","PermutationSamplingSII",3500,0.55,0.532329547318781,0.567670452681219
"100","k=2","PermutationSamplingSII",5000,0.592,0.57719790417487,0.60680209582513
"101","k=2","SHAPIQ",16,0.078,0.0651301649947941,0.090869835005206
"102","k=2","SHAPIQ",50,0.098,0.0863977482832875,0.109602251716713
"103","k=2","SHAPIQ",100,0.09,0.0768292222038673,0.103170777796133
"104","k=2","SHAPIQ",250,0.12,0.107546003018455,0.132453996981545
"105","k=2","SHAPIQ",500,0.31,0.293279000127543,0.326720999872457
"106","k=2","SHAPIQ",750,0.456,0.439058323336716,0.472941676663284
"107","k=2","SHAPIQ",1000,0.152,0.137364287457296,0.166635712542704
"108","k=2","SHAPIQ",2000,0.428,0.411827460916474,0.444172539083526
"109","k=2","SHAPIQ",3500,0.6,0.582620678484862,0.617379321515138
"110","k=2","SHAPIQ",5000,0.686,0.672294645765473,0.699705354234527
"111","k=2","SVARMIQ",16,0.08,0.0689343332965502,0.0910656667034498
"112","k=2","SVARMIQ",50,0.14,0.124092101820486,0.155907898179514
"113","k=2","SVARMIQ",100,0,0,0
"114","k=2","SVARMIQ",250,0.044,0.0353527165997591,0.0526472834002409
"115","k=2","SVARMIQ",500,0.72,0.707878169465373,0.732121830534627
"116","k=2","SVARMIQ",750,0.802,0.794180610180912,0.809819389819088
"117","k=2","SVARMIQ",1000,0.148,0.132550279046176,0.163449720953824
"118","k=2","SVARMIQ",2000,0.802,0.79075504648334,0.81324495351666
"119","k=2","SVARMIQ",3500,0.876,0.865874259916189,0.886125740083811
"120","k=2","SVARMIQ",5000,0.898,0.889198330399572,0.906801669600428
"121","k=3","KernelSHAPIQ",16,0.018,0.0125116077964861,0.0234883922035139
"122","k=3","KernelSHAPIQ",50,0.042,0.0274061796695747,0.0565938203304253
"123","k=3","KernelSHAPIQ",100,0.014,0.00904304240774358,0.0189569575922564
"124","k=3","KernelSHAPIQ",250,0.018,0.0125116077964861,0.0234883922035139
"125","k=3","KernelSHAPIQ",500,0.118,0.105321881295809,0.130678118704191
"126","k=3","KernelSHAPIQ",750,0.192,0.176392571104288,0.207607428895712
"127","k=3","KernelSHAPIQ",1000,0.744,0.729109926604805,0.758890073395195
"128","k=3","KernelSHAPIQ",2000,0.792,0.779932164524604,0.804067835475396
"129","k=3","KernelSHAPIQ",3500,0.9,0.889698424927246,0.910301575072754
"130","k=3","KernelSHAPIQ",5000,0.956,0.948354806765566,0.963645193234434
"131","k=3","PermutationIQ",16,0,0,0
"132","k=3","PermutationIQ",50,0.082,0.0680936074015566,0.0959063925984434
"133","k=3","PermutationIQ",100,0.078,0.0683998299334792,0.0876001700665208
"134","k=3","PermutationIQ",250,0.16,0.143837559287165,0.176162440712835
"135","k=3","PermutationIQ",500,0.254,0.23416187961504,0.27383812038496
"136","k=3","PermutationIQ",750,0.316,0.295325654268428,0.336674345731572
"137","k=3","PermutationIQ",1000,0.344,0.324379103184698,0.363620896815302
"138","k=3","PermutationIQ",2000,0.444,0.41939537126673,0.46860462873327
"139","k=3","PermutationIQ",3500,0.496,0.476008164931959,0.515991835068041
"140","k=3","PermutationIQ",5000,0.516,0.499252170411711,0.532747829588289
"141","k=3","PermutationIQStratified",16,0,0,0
"142","k=3","PermutationIQStratified",50,0.006,0.00260733083227489,0.00939266916772511
"143","k=3","PermutationIQStratified",100,0.07,0.0584824889310021,0.0815175110689979
"144","k=3","PermutationIQStratified",250,0.078,0.065451319282287,0.090548680717713
"145","k=3","PermutationIQStratified",500,0.152,0.136550279046176,0.167449720953824
"146","k=3","PermutationIQStratified",750,0.21,0.193279000127543,0.226720999872457
"147","k=3","PermutationIQStratified",1000,0.26,0.245431372818306,0.274568627181694
