"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","K=(0, 1)","inverse_variance_weighting",50,0.0324775638319831,0.0271587995480662,0.0377963281159
"2","K=(0, 1)","inverse_variance_weighting",100,0.0251586322789292,0.0216180997577129,0.0286991648001455
"3","K=(0, 1)","inverse_variance_weighting",250,0.0168715475192925,0.0149360884708806,0.0188070065677043
"4","K=(0, 1)","inverse_variance_weighting",500,0.0185993634894326,0.0169368206493425,0.0202619063295227
"5","K=(0, 1)","inverse_variance_weighting",750,0.0156612446055556,0.0144912154785073,0.0168312737326038
"6","K=(0, 1)","inverse_variance_weighting",1000,0.0158329760758108,0.0147770495754415,0.01688890257618
"7","K=(0, 1)","inverse_variance_weighting",2000,0.0138772896909898,0.0131514845998434,0.0146030947821363
"8","K=(0, 1)","inverse_variance_weighting",3500,0.0141987722832956,0.0136624968327463,0.0147350477338449
"9","K=(0, 1)","inverse_variance_weighting",5000,0.0145075555558759,0.0140285687273641,0.0149865423843877
"10","K=(0, 1)","inverse_variance_weighting",7500,0.013393790174512,0.0130789806011849,0.0137085997478392
"11","K=(0, 1)","inverse_variance_weighting",10000,0.0141929692413216,0.0139271400553656,0.0144587984272776
"12","K=(0, 1)","inverse_variance_weighting_optimal",50,0.0336834807516831,0.028485308721284,0.0388816527820822
"13","K=(0, 1)","inverse_variance_weighting_optimal",100,0.0316483363239817,0.0268752026391313,0.0364214700088321
"14","K=(0, 1)","inverse_variance_weighting_optimal",250,0.0178927446015276,0.0155471877263094,0.0202383014767457
"15","K=(0, 1)","inverse_variance_weighting_optimal",500,0.0201379491343119,0.0182534062381575,0.0220224920304664
"16","K=(0, 1)","inverse_variance_weighting_optimal",750,0.0157061972164743,0.0144317983547064,0.0169805960782422
"17","K=(0, 1)","inverse_variance_weighting_optimal",1000,0.015441573791262,0.0143708782883844,0.0165122692941395
"18","K=(0, 1)","inverse_variance_weighting_optimal",2000,0.0136870930759017,0.0129969868853923,0.0143771992664112
"19","K=(0, 1)","inverse_variance_weighting_optimal",3500,0.0142321494617728,0.0136880865089678,0.0147762124145777
"20","K=(0, 1)","inverse_variance_weighting_optimal",5000,0.0144952532151331,0.013993043730741,0.0149974626995252
"21","K=(0, 1)","inverse_variance_weighting_optimal",7500,0.0133331574729939,0.0130192298077907,0.0136470851381971
"22","K=(0, 1)","inverse_variance_weighting_optimal",10000,0.0141675324396851,0.0139048261946804,0.0144302386846898
"23","K=(0, 1)","mean",50,0.0354192827688633,0.0299769508327224,0.0408616147050042
"24","K=(0, 1)","mean",100,0.0316933527610951,0.0269569360270335,0.0364297694951567
"25","K=(0, 1)","mean",250,0.0175573380168558,0.0152981184650757,0.0198165575686359
"26","K=(0, 1)","mean",500,0.0197226139935576,0.0179024168332119,0.0215428111539032
"27","K=(0, 1)","mean",750,0.0157532868820727,0.0144624936583647,0.0170440801057807
"28","K=(0, 1)","mean",1000,0.0154578828163048,0.0143845120141435,0.0165312536184661
"29","K=(0, 1)","mean",2000,0.0136007173302596,0.0129076321261385,0.0142938025343808
"30","K=(0, 1)","mean",3500,0.0142641201937386,0.013706672497663,0.0148215678898141
"31","K=(0, 1)","mean",5000,0.0144729489622377,0.0139722875686115,0.0149736103558638
"32","K=(0, 1)","mean",7500,0.0133376951684312,0.0130145497801753,0.0136608405566872
"33","K=(0, 1)","mean",10000,0.0142065692143243,0.0139443574485698,0.0144687809800788
"34","K=(0, 1)","player_0",50,0.0555061121362755,0.0444570392681667,0.0665551850043842
"35","K=(0, 1)","player_0",100,0.0432079557506834,0.0352666086192963,0.0511493028820705
"36","K=(0, 1)","player_0",250,0.0249698737351903,0.0207516568753678,0.0291880905950127
"37","K=(0, 1)","player_0",500,0.0266242838509344,0.0233911315884416,0.0298574361134272
"38","K=(0, 1)","player_0",750,0.0161880511084613,0.014586433537334,0.0177896686795886
"39","K=(0, 1)","player_0",1000,0.0164640804190969,0.0149033383563093,0.0180248224818844
"40","K=(0, 1)","player_0",2000,0.0151248469040936,0.0140963861286881,0.0161533076794991
"41","K=(0, 1)","player_0",3500,0.0142705330887519,0.013530876630327,0.0150101895471768
"42","K=(0, 1)","player_0",5000,0.0148816089736733,0.0142249600527495,0.0155382578945971
"43","K=(0, 1)","player_0",7500,0.0134083839557188,0.0129987840994953,0.0138179838119423
"44","K=(0, 1)","player_0",10000,0.0138333499554503,0.0134264500406528,0.0142402498702479
"45","K=(0, 1)","player_1",50,0.0589438340839642,0.0463381926609788,0.0715494755069497
"46","K=(0, 1)","player_1",100,0.0404108877153908,0.0334225853757381,0.0473991900550436
"47","K=(0, 1)","player_1",250,0.0180722843105828,0.0153816848263036,0.020762883794862
"48","K=(0, 1)","player_1",500,0.0173281628439567,0.0154240776389146,0.0192322480489988
"49","K=(0, 1)","player_1",750,0.0176214383467093,0.0156751636993804,0.0195677129940382
"50","K=(0, 1)","player_1",1000,0.0169648054830671,0.0153475632432634,0.0185820477228707
"51","K=(0, 1)","player_1",2000,0.013164188943191,0.0121220987435751,0.014206279142807
"52","K=(0, 1)","player_1",3500,0.0151069166355421,0.0140712800453138,0.0161425532257704
"53","K=(0, 1)","player_1",5000,0.0143788783796735,0.0137231708519769,0.0150345859073701
"54","K=(0, 1)","player_1",7500,0.0135328381376721,0.0129562311007563,0.0141094451745878
"55","K=(0, 1)","player_1",10000,0.0147656409569784,0.0143334156341828,0.015197866279774
"56","K=(0, 2)","inverse_variance_weighting",50,0.0222598874635643,0.0125749839501106,0.031944790977018
"57","K=(0, 2)","inverse_variance_weighting",100,0.00645683243122012,0.00487042470328329,0.00804324015915695
"58","K=(0, 2)","inverse_variance_weighting",250,0.00485230944296721,0.00402039586811544,0.00568422301781898
"59","K=(0, 2)","inverse_variance_weighting",500,0.00289892191166193,0.00236935582435756,0.0034284879989663
"60","K=(0, 2)","inverse_variance_weighting",750,0.00231443118142405,0.00184326548250241,0.00278559688034569
"61","K=(0, 2)","inverse_variance_weighting",1000,0.00145987009466421,0.00124932464450094,0.00167041554482748
"62","K=(0, 2)","inverse_variance_weighting",2000,0.00071050006552003,0.00054495545758795,0.00087604467345211
"63","K=(0, 2)","inverse_variance_weighting",3500,0.00060890726993167,0.00049265404191688,0.00072516049794646
"64","K=(0, 2)","inverse_variance_weighting",5000,0.00032124824733799,0.00027231776565651,0.00037017872901947
"65","K=(0, 2)","inverse_variance_weighting",7500,0.00035357862549379,0.000297331568016496,0.000409825682971085
"66","K=(0, 2)","inverse_variance_weighting",10000,0.00031384292820533,0.000262909597930656,0.000364776258480003
"67","K=(0, 2)","inverse_variance_weighting_optimal",50,0.0295231867152127,0.0230656184600211,0.0359807549704042
"68","K=(0, 2)","inverse_variance_weighting_optimal",100,0.0115781873418741,0.00917751758733923,0.0139788570964089
"69","K=(0, 2)","inverse_variance_weighting_optimal",250,0.0049619602803039,0.00413959181590408,0.00578432874470372
"70","K=(0, 2)","inverse_variance_weighting_optimal",500,0.00306234505103982,0.0025204963546943,0.00360419374738534
"71","K=(0, 2)","inverse_variance_weighting_optimal",750,0.00198702928001877,0.0015677651709782,0.00240629338905934
"72","K=(0, 2)","inverse_variance_weighting_optimal",1000,0.00129617196339847,0.0010809206350962,0.00151142329170074
"73","K=(0, 2)","inverse_variance_weighting_optimal",2000,0.00068933996364447,0.00052978563322858,0.00084889429406036
"74","K=(0, 2)","inverse_variance_weighting_optimal",3500,0.00060187348359536,0.00048846339869473,0.00071528356849599
"75","K=(0, 2)","inverse_variance_weighting_optimal",5000,0.00031125847925742,0.000263015450416847,0.000359501508097993
"76","K=(0, 2)","inverse_variance_weighting_optimal",7500,0.00034493816546407,0.00029070466718126,0.00039917166374688
"77","K=(0, 2)","inverse_variance_weighting_optimal",10000,0.00030572810179546,0.000256121369583776,0.000355334834007144
"78","K=(0, 2)","mean",50,0.0289864161382478,0.0230643682093758,0.0349084640671197
"79","K=(0, 2)","mean",100,0.0125355180021738,0.00990359456959015,0.0151674414347574
"80","K=(0, 2)","mean",250,0.00561954905727926,0.0046815679483145,0.00655753016624402
"81","K=(0, 2)","mean",500,0.00325991856953055,0.00271166742741854,0.00380816971164256
"82","K=(0, 2)","mean",750,0.00205817969735172,0.00166577325941492,0.00245058613528852
"83","K=(0, 2)","mean",1000,0.00132254856875537,0.00109307550774613,0.00155202162976461
"84","K=(0, 2)","mean",2000,0.00072830712435713,0.00055698815877408,0.00089962608994018
"85","K=(0, 2)","mean",3500,0.0006156861749272,0.00050041832333314,0.00073095402652126
"86","K=(0, 2)","mean",5000,0.00032368916762878,0.000275066443831411,0.000372311891426149
"87","K=(0, 2)","mean",7500,0.00037261372839409,0.000313782878273957,0.000431444578514223
"88","K=(0, 2)","mean",10000,0.0003192443250178,0.000267271620765083,0.000371217029270517
"89","K=(0, 2)","player_0",50,0.046829654339226,0.0353211278846087,0.0583381807938434
"90","K=(0, 2)","player_0",100,0.0301477592716077,0.0227129682104843,0.0375825503327311
"91","K=(0, 2)","player_0",250,0.0151542703777766,0.0116982028221751,0.0186103379333781
"92","K=(0, 2)","player_0",500,0.00622626953575672,0.00523742603766746,0.00721511303384598
"93","K=(0, 2)","player_0",750,0.00465346183419649,0.003964647792979,0.00534227587541398
"94","K=(0, 2)","player_0",1000,0.00251185639034476,0.00204120371072574,0.00298250906996378
"95","K=(0, 2)","player_0",2000,0.00151844059417988,0.00117023611776643,0.00186664507059333
"96","K=(0, 2)","player_0",3500,0.00103328289961884,0.00081065214045807,0.00125591365877961
"97","K=(0, 2)","player_0",5000,0.00059487523374169,0.000498662044544437,0.000691088422938943
"98","K=(0, 2)","player_0",7500,0.0006613461266075,0.00055269924812118,0.00076999300509382
"99","K=(0, 2)","player_0",10000,0.00048179198680452,0.000388891867600735,0.000574692106008305
"100","K=(0, 2)","player_2",50,0.0591407490866177,0.0422200344547416,0.0760614637184937
"101","K=(0, 2)","player_2",100,0.0175724981804011,0.0133764076420432,0.0217685887187589
"102","K=(0, 2)","player_2",250,0.006831185502899,0.0055753161409514,0.0080870548648466
"103","K=(0, 2)","player_2",500,0.00364996027870639,0.00295275958232568,0.0043471609750871
"104","K=(0, 2)","player_2",750,0.00318011581758774,0.00245224627024219,0.00390798536493329
"105","K=(0, 2)","player_2",1000,0.00188299821677342,0.00158246680170386,0.00218352963184298
"106","K=(0, 2)","player_2",2000,0.0009467773058112,0.00076904688448443,0.00112450772713797
"107","K=(0, 2)","player_2",3500,0.00077982005761678,0.00062768425179237,0.00093195586344119
"108","K=(0, 2)","player_2",5000,0.00040528326865326,0.000337566683447826,0.000472999853858694
"109","K=(0, 2)","player_2",7500,0.0003562888116604,0.00030154039131428,0.00041103723200652
"110","K=(0, 2)","player_2",10000,0.00032484042762001,0.000270321304245105,0.000379359550994915
"111","K=(1, 3)","inverse_variance_weighting",50,0.0128778496490276,0.0106448589590273,0.0151108403390279
"112","K=(1, 3)","inverse_variance_weighting",100,0.0105865459107873,0.00851609104753189,0.0126570007740428
"113","K=(1, 3)","inverse_variance_weighting",250,0.00408831317291112,0.00306044157474415,0.00511618477107809
"114","K=(1, 3)","inverse_variance_weighting",500,0.00204690368584758,0.00155019904280068,0.00254360832889448
"115","K=(1, 3)","inverse_variance_weighting",750,0.00167124209135321,0.00134552095050499,0.00199696323220143
"116","K=(1, 3)","inverse_variance_weighting",1000,0.00148141003505624,0.00116748575534466,0.00179533431476782
"117","K=(1, 3)","inverse_variance_weighting",2000,0.00075468894301188,0.00063363805980335,0.00087573982622041
"118","K=(1, 3)","inverse_variance_weighting",3500,0.00077161660557222,0.0006419784339442,0.00090125477720024
"119","K=(1, 3)","inverse_variance_weighting",5000,0.0006558766487489,0.000571394512941408,0.000740358784556392
"120","K=(1, 3)","inverse_variance_weighting",7500,0.00045340392491677,0.000395856959281101,0.000510950890552439
"121","K=(1, 3)","inverse_variance_weighting",10000,0.00046139687339302,0.000410188167990287,0.000512605578795753
"122","K=(1, 3)","inverse_variance_weighting_optimal",50,0.0291088121825267,0.0224661294936819,0.0357514948713715
"123","K=(1, 3)","inverse_variance_weighting_optimal",100,0.0146895877496705,0.0113160671009308,0.0180631083984102
"124","K=(1, 3)","inverse_variance_weighting_optimal",250,0.00413505875844738,0.00305842258990517,0.00521169492698959
"125","K=(1, 3)","inverse_variance_weighting_optimal",500,0.00191136160727,0.00146876432218274,0.00235395889235726
"126","K=(1, 3)","inverse_variance_weighting_optimal",750,0.00179261370512623,0.00146999398225374,0.00211523342799872
"127","K=(1, 3)","inverse_variance_weighting_optimal",1000,0.00150225182843792,0.00118278710089759,0.00182171655597825
"128","K=(1, 3)","inverse_variance_weighting_optimal",2000,0.00076937037318378,0.00063543499495222,0.00090330575141534
"129","K=(1, 3)","inverse_variance_weighting_optimal",3500,0.00074723563596775,0.0006207662987322,0.0008737049732033
"130","K=(1, 3)","inverse_variance_weighting_optimal",5000,0.00064057877994216,0.000556446372589468,0.000724711187294852
"131","K=(1, 3)","inverse_variance_weighting_optimal",7500,0.00044297306937099,0.000386782699815417,0.000499163438926563
"132","K=(1, 3)","inverse_variance_weighting_optimal",10000,0.00045921764130295,0.00040941194181203,0.00050902334079387
"133","K=(1, 3)","mean",50,0.0265330036623941,0.0205221690606126,0.0325438382641755
"134","K=(1, 3)","mean",100,0.0143035264921871,0.0112110728836856,0.0173959801006886
"135","K=(1, 3)","mean",250,0.00407457952038462,0.0030075535769408,0.00514160546382844
"136","K=(1, 3)","mean",500,0.00203613565962449,0.00154549257332742,0.00252677874592156
"137","K=(1, 3)","mean",750,0.00185266919970532,0.00151540068000735,0.00218993771940329
"138","K=(1, 3)","mean",1000,0.00144538045313221,0.00112797957146066,0.00176278133480376
"139","K=(1, 3)","mean",2000,0.00077380035260255,0.00064637760442707,0.00090122310077803
"140","K=(1, 3)","mean",3500,0.00076243122708448,0.00062701414976127,0.00089784830440769
"141","K=(1, 3)","mean",5000,0.00064267384472939,0.000555272140905786,0.000730075548552994
"142","K=(1, 3)","mean",7500,0.0004602200685506,0.000404172979166502,0.000516267157934698
"143","K=(1, 3)","mean",10000,0.0004607356780755,0.000410054114747864,0.000511417241403136
"144","K=(1, 3)","player_1",50,0.0515236960734937,0.0318192668938036,0.0712281252531838
"145","K=(1, 3)","player_1",100,0.0196602752802176,0.0162788297399221,0.023041720820513
"146","K=(1, 3)","player_1",250,0.00822616005601485,0.00677581896369132,0.00967650114833838
"147","K=(1, 3)","player_1",500,0.00564702078833912,0.00452050768065512,0.00677353389602312
"148","K=(1, 3)","player_1",750,0.00413837629579068,0.00327817514578604,0.00499857744579532
"149","K=(1, 3)","player_1",1000,0.00223996641990439,0.00178152026080182,0.00269841257900696
"150","K=(1, 3)","player_1",2000,0.00155572684733872,0.00130399288572406,0.00180746080895338
"151","K=(1, 3)","player_1",3500,0.00121612403701243,0.00095359343136466,0.0014786546426602
