"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","K=(0, 1)","inverse_variance_weighting",50,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"2","K=(0, 1)","inverse_variance_weighting",100,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"3","K=(0, 1)","inverse_variance_weighting",250,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"4","K=(0, 1)","inverse_variance_weighting",500,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"5","K=(0, 1)","inverse_variance_weighting",750,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"6","K=(0, 1)","inverse_variance_weighting",1000,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"7","K=(0, 1)","inverse_variance_weighting",2000,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"8","K=(0, 1)","inverse_variance_weighting",3500,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"9","K=(0, 1)","inverse_variance_weighting",5000,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"10","K=(0, 1)","inverse_variance_weighting",7500,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"11","K=(0, 1)","inverse_variance_weighting",10000,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"12","K=(0, 1)","inverse_variance_weighting_optimal",50,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"13","K=(0, 1)","inverse_variance_weighting_optimal",100,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"14","K=(0, 1)","inverse_variance_weighting_optimal",250,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"15","K=(0, 1)","inverse_variance_weighting_optimal",500,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"16","K=(0, 1)","inverse_variance_weighting_optimal",750,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"17","K=(0, 1)","inverse_variance_weighting_optimal",1000,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"18","K=(0, 1)","inverse_variance_weighting_optimal",2000,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"19","K=(0, 1)","inverse_variance_weighting_optimal",3500,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"20","K=(0, 1)","inverse_variance_weighting_optimal",5000,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"21","K=(0, 1)","inverse_variance_weighting_optimal",7500,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"22","K=(0, 1)","inverse_variance_weighting_optimal",10000,2.72795199984522e-09,2.72795199984522e-09,2.72795199984522e-09
"23","K=(0, 1)","mean",50,3.09254253946511e-07,2.34924836232945e-07,3.83583671660078e-07
"24","K=(0, 1)","mean",100,1.15766944508336e-07,7.85081635537942e-08,1.53025725462878e-07
"25","K=(0, 1)","mean",250,5.73533289719048e-08,4.75337329494508e-08,6.71729249943588e-08
