"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"1","K=(0, 1)","inverse_variance_weighting",50,0.692796274420531,0.470036631420109,0.915555917420952
"2","K=(0, 1)","inverse_variance_weighting",100,0.392932990601034,0.31398135583268,0.471884625369388
"3","K=(0, 1)","inverse_variance_weighting",250,0.438350346552936,0.327881858997629,0.548818834108242
"4","K=(0, 1)","inverse_variance_weighting",500,0.362239596067523,0.311476404191569,0.413002787943478
"5","K=(0, 1)","inverse_variance_weighting",750,0.39995427318955,0.332037879339439,0.467870667039661
"6","K=(0, 1)","inverse_variance_weighting",1000,0.25847320048069,0.224963674153874,0.291982726807506
"7","K=(0, 1)","inverse_variance_weighting",2000,0.292790698905701,0.261813021624714,0.323768376186688
"8","K=(0, 1)","inverse_variance_weighting",3500,0.295402614550717,0.269461888460062,0.321343340641373
"9","K=(0, 1)","inverse_variance_weighting",5000,0.323437414625258,0.30199595787151,0.344878871379005
"10","K=(0, 1)","inverse_variance_weighting",7500,0.375990382263644,0.357226408167737,0.394754356359551
"11","K=(0, 1)","inverse_variance_weighting",10000,0.332291779681119,0.31828034082097,0.346303218541267
"12","K=(0, 1)","inverse_variance_weighting_optimal",50,3.73474057748548,2.76449183006823,4.70498932490272
"13","K=(0, 1)","inverse_variance_weighting_optimal",100,1.62483362388261,1.30355722290933,1.9461100248559
"14","K=(0, 1)","inverse_variance_weighting_optimal",250,0.916036085145048,0.772759946649677,1.05931222364042
"15","K=(0, 1)","inverse_variance_weighting_optimal",500,0.614994292173923,0.54608403187715,0.683904552470696
"16","K=(0, 1)","inverse_variance_weighting_optimal",750,0.585365945953399,0.497330520637839,0.673401371268959
"17","K=(0, 1)","inverse_variance_weighting_optimal",1000,0.433804243401473,0.393618758633458,0.473989728169488
"18","K=(0, 1)","inverse_variance_weighting_optimal",2000,0.414928150683868,0.381329647289587,0.44852665407815
"19","K=(0, 1)","inverse_variance_weighting_optimal",3500,0.365611961585315,0.33932759081107,0.39189633235956
"20","K=(0, 1)","inverse_variance_weighting_optimal",5000,0.373442934170679,0.350924296036175,0.395961572305183
"21","K=(0, 1)","inverse_variance_weighting_optimal",7500,0.391216289077494,0.372376831937304,0.410055746217684
"22","K=(0, 1)","inverse_variance_weighting_optimal",10000,0.347709629490791,0.334641399283581,0.360777859698001
"23","K=(0, 1)","mean",50,8.05159659085326,3.51397547642489,12.5892177052816
"24","K=(0, 1)","mean",100,3.80328138582389,2.27866324343565,5.32789952821213
"25","K=(0, 1)","mean",250,1.22299257684623,0.895743013869013,1.55024213982345
"26","K=(0, 1)","mean",500,0.772652740161962,0.627976888297666,0.917328592026259
"27","K=(0, 1)","mean",750,0.810025677445161,0.634120932719352,0.98593042217097
"28","K=(0, 1)","mean",1000,0.439412099170399,0.381184538942588,0.49763965939821
"29","K=(0, 1)","mean",2000,0.541260230377222,0.465260677983963,0.61725978277048
"30","K=(0, 1)","mean",3500,0.395635543370745,0.350775205998422,0.440495880743068
"31","K=(0, 1)","mean",5000,0.408314992665404,0.369035074147726,0.447594911183082
"32","K=(0, 1)","mean",7500,0.40704443327518,0.383562030261883,0.430526836288478
"33","K=(0, 1)","mean",10000,0.340397053876294,0.32311388417381,0.357680223578778
"34","K=(0, 1)","player_0",50,3.94467091165042,2.96244751903947,4.92689430426138
"35","K=(0, 1)","player_0",100,1.35752386754746,1.13085409965053,1.5841936354444
"36","K=(0, 1)","player_0",250,0.944026394596792,0.813789961397952,1.07426282779563
"37","K=(0, 1)","player_0",500,0.607962028960949,0.536988206720904,0.678935851200995
"38","K=(0, 1)","player_0",750,0.52719569449282,0.461631412752425,0.592759976233215
"39","K=(0, 1)","player_0",1000,0.466881464110146,0.418588570271551,0.515174357948741
