Game,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec@10_mean,Prec@10_std,Prec@10_min,Prec@10_max,Prec@10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
AdultCensusLocalXAI,1,KernelSHAPIQ,,100,0.0004973383502932222,8.81345498403198e-05,0.00043501781244430833,0.0005596588881421361,6.232053784891388e-05,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,KernelSHAPIQ,,1000,4.7730505259037116e-05,2.773244985024056e-05,2.812070191101616e-05,6.734030860705807e-05,1.9609803348020954e-05,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,KernelSHAPIQ,,10000,5.45856671610529e-07,1.6764107407310063e-07,4.2731653132804316e-07,6.643968118930147e-07,1.1854014028248575e-07,0.9,0.14142135623730948,0.8,1.0,0.09999999999999998,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting,100,0.0004902332361515923,0.0002031070887198047,0.00034661483641076066,0.000633851635892424,0.00014361839974083164,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting,1000,3.378982145474823e-05,1.0638912717357214e-05,2.6266974127853142e-05,4.131266878164331e-05,7.522847326895085e-06,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,inverse_variance_weighting,10000,2.2278444175880368e-05,2.7883438767299786e-05,2.5618755407228217e-06,4.1995012811037916e-05,1.9716568635157545e-05,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,mean,100,0.0004902332361515923,0.0002031070887198047,0.00034661483641076066,0.000633851635892424,0.00014361839974083164,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,1,PermutationIQ,mean,1000,3.378982145474822e-05,1.0638912717357206e-05,2.6266974127853142e-05,4.13126687816433e-05,7.522847326895078e-06,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationIQ,mean,10000,2.227844417588037e-05,2.7883438767299783e-05,2.5618755407228276e-06,4.1995012811037916e-05,1.971656863515754e-05,0.9,0.0,0.9,0.9,0.0,,,,,
AdultCensusLocalXAI,1,PermutationSamplingSII,,100,0.002601020408163152,0.00030609225516663684,0.00238458049886614,0.002817460317460164,0.00021643990929701192,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,PermutationSamplingSII,,1000,0.00029121315192742227,1.9000488337975022e-05,0.00027777777777778423,0.00030464852607706036,1.3435374149638066e-05,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,1,PermutationSamplingSII,,10000,1.812463278755973e-05,7.289247613802255e-06,1.2970356370092296e-05,2.3278909205027164e-05,5.154276417467433e-06,0.9,0.0,0.9,0.9,0.0,,,,,
