Game,n,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,16,5.52540987947013e+29,3.9070547946084714e+30,0.044363281924961695,2.762704939735064e+31,5.525409879470127e+29,0.72,0.07559289460184547,0.6,0.9,0.010690449676496976,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,50,0.017525321834147293,0.010075710224554021,0.004811061772435318,0.06242954215418767,0.0014249206050105559,0.7440000000000001,0.0704504457482169,0.6,0.9,0.009963197585235829,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,100,0.002957322920770722,0.0008995167028944323,0.0011895584234690323,0.00494532098875561,0.00012721087208144357,0.754,0.08381222939355791,0.6,1.0,0.011852839150109453,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,250,0.0008787790817986136,0.0003405312876988429,0.0002502019391947791,0.0018844411696346023,4.815839654760779e-05,0.81,0.0735402152927643,0.6,1.0,0.010400156984686456,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,500,0.00020947797195871242,6.676770331114196e-05,9.437865441389929e-05,0.00039104372670981975,9.442379155111996e-06,0.91,0.05802884574739973,0.8,1.0,0.008206518066482895,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,750,0.00012536263948190497,4.628987536770973e-05,4.687032462588515e-05,0.00024007702614542377,6.5463769545575355e-06,0.9520000000000001,0.05046720495044482,0.9,1.0,0.007137140569598167,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,1000,0.0012965802407417235,0.000378689824429975,0.0003196372688015545,0.001944689337459266,5.355482856415568e-05,0.752,0.07886956423909867,0.6,0.9,0.011153840740538937,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,2000,7.994472092428558e-05,3.273097850269605e-05,3.256283849383011e-05,0.00019780601506949797,4.628859370825498e-06,0.9,0.0699854212223765,0.7,1.0,0.00989743318610787,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,3500,2.9403633727322825e-05,1.3144984210203564e-05,6.650719756853678e-06,6.245630066770842e-05,1.8589814947250072e-06,0.9420000000000001,0.049856938190328985,0.9,1.0,0.007050835816716036,,,,,
CaliforniaHousingDatasetValuation,14,1,KernelSHAPIQ,,5000,1.7671821085075244e-05,7.680817908040472e-06,4.835709808195113e-06,4.044303474172156e-05,1.086231685566898e-06,0.9520000000000001,0.05436085025840125,0.8,1.0,0.007687785169756405,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,16,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,50,0.003974230284373578,0.0012857733074048364,0.0024028893628040802,0.007395115702731436,0.00018183580494692306,0.768,0.09354688882139946,0.6,1.0,0.013229527888903116,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,100,0.001825471343230769,0.0006831367832912977,0.0005599674471753207,0.004138669597606567,9.661013038864832e-05,0.778,0.09321907486328831,0.6,1.0,0.01318316799435352,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,250,0.000672348835038935,0.0002774877028618292,0.00011462887376214158,0.0016565050381179395,3.924268727789543e-05,0.8079999999999999,0.08998866141727786,0.6,1.0,0.01272631854361148,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,500,0.00036418346465880326,0.00014661186657216157,0.00013931535405388941,0.0008256823978498718,2.073404901111855e-05,0.848,0.07068181072487416,0.7,1.0,0.009995917534020515,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,750,0.00022791209142634255,8.835280201616488e-05,9.361464642282933e-05,0.0004939486545312534,1.2494973088492531e-05,0.8460000000000001,0.07879189847507247,0.7,1.0,0.011142857142857142,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,1000,0.00016842689138380396,6.07285534502163e-05,6.097043361241532e-05,0.0003282367954606856,8.58831439125953e-06,0.882,0.0774333156163866,0.7,1.0,0.010950724512421028,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,2000,8.135294381553575e-05,3.156779209711925e-05,1.9247569902850976e-05,0.00014597319252688303,4.464359971792024e-06,0.9,0.06388765649999399,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,3500,5.1719653249090194e-05,2.3015490884156988e-05,1.4697756653211648e-05,0.0001070588661382204,3.2548819353049155e-06,0.9060000000000001,0.0711709640404637,0.7,1.0,0.010065094259319162,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting,5000,3.3357289893664845e-05,1.4094942701644098e-05,1.2693791769643332e-05,7.851964599717516e-05,1.9933259129536757e-06,0.9420000000000001,0.057463386746053606,0.8,1.0,0.008126550087615937,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,16,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,50,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,100,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,250,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,500,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,750,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,1000,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,2000,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,3500,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,inverse_variance_weighting_optimal,5000,,,,,,0.9,0.06388765649999398,0.8,1.0,0.00903507902905251,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,mean,16,0.01181126629278434,0.002924173066086304,0.006348381861496609,0.017272409442655318,0.0004135405208785367,0.736,0.08020382198638974,0.6,0.9,0.01134253328073098,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,mean,50,0.003974230284373578,0.0012857733074048364,0.0024028893628040802,0.007395115702731436,0.00018183580494692304,0.768,0.09354688882139946,0.6,1.0,0.013229527888903116,,,,,
CaliforniaHousingDatasetValuation,14,1,PermutationIQ,mean,100,0.001825471343230769,0.0006831367832912976,0.0005599674471753206,0.004138669597606567,9.661013038864831e-05,0.778,0.09321907486328831,0.6,1.0,0.01318316799435352,,,,,
