Game,n,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
CaliforniaHousingEnsembleSelection,10,1,KernelSHAPIQ,,11,1932823974625.1343,8872921407011.43,0.018468415853636594,55922063888700.06,1254820579166.6128,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,KernelSHAPIQ,,50,0.017741881626687585,0.017714695314981727,0.0036153399906421677,0.11616242969285091,0.0025052362367754284,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,KernelSHAPIQ,,100,0.0029687348883254776,0.0018105545813302466,0.00032110657643504167,0.008612115127558724,0.00025605108443339753,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,KernelSHAPIQ,,200,0.0011015061456026952,0.00047565013249891466,0.00024479084873937803,0.002359598663306894,6.726708683245249e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,KernelSHAPIQ,,350,0.0003793398042239236,0.0001184050990746075,0.00013589154120566006,0.0005782300223274387,1.674500969654399e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,KernelSHAPIQ,,500,0.00024154115872106828,0.00012316878341047356,5.619595979197261e-05,0.0005759244467799893,1.7418696396008596e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,KernelSHAPIQ,,750,6.989513038326391e-05,3.40478799638541e-05,1.420539119629573e-05,0.00015270726628766266,4.815097361493363e-06,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,KernelSHAPIQ,,1000,8.122443890877366e-06,4.287969448464609e-06,1.996444581334176e-06,1.7234543651857322e-05,6.064104549060132e-07,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting,11,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting,50,0.007648814770540397,0.00416466005986639,0.0015261332664638142,0.019669397100724597,0.0005889718739336595,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting,100,0.004092440013488393,0.003293381171493614,0.00032970186175692846,0.01619788360646491,0.0004657544318790461,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting,200,0.0020823560633707475,0.0014466549432423602,0.00022371066099780061,0.0064740311110733015,0.00020458790408074261,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting,350,0.0008882194514326723,0.0005305875308239362,0.00018890414972872664,0.0022898071787556835,7.503640821172632e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting,500,0.0006966279205091771,0.00047738723270766175,7.785308887968951e-05,0.002482942963643914,6.75127498998936e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting,750,0.00046377961460706586,0.0002876357738320232,9.548445304866648e-05,0.0016720105841640524,4.067784123769273e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting,1000,0.00031989146820376275,0.00019301881112437637,5.159980477159725e-05,0.0009677454344704454,2.7296982048522388e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting_optimal,11,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting_optimal,50,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting_optimal,100,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting_optimal,200,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting_optimal,350,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting_optimal,500,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting_optimal,750,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,inverse_variance_weighting_optimal,1000,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,mean,11,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,mean,50,0.007648814770540397,0.00416466005986639,0.0015261332664638142,0.019669397100724597,0.0005889718739336595,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,mean,100,0.004092440013488393,0.003293381171493614,0.00032970186175692857,0.01619788360646491,0.0004657544318790461,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,mean,200,0.0020823560633707475,0.0014466549432423602,0.00022371066099780064,0.0064740311110733015,0.00020458790408074264,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,mean,350,0.0008882194514326722,0.0005305875308239361,0.0001889041497287266,0.0022898071787556835,7.503640821172632e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,mean,500,0.0006966279205091771,0.0004773872327076618,7.785308887968955e-05,0.002482942963643914,6.75127498998936e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,mean,750,0.0004637796146070659,0.0002876357738320231,9.548445304866646e-05,0.001672010584164052,4.0677841237692716e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQ,mean,1000,0.00031989146820376275,0.00019301881112437637,5.159980477159725e-05,0.0009677454344704454,2.7296982048522388e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting,11,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting,50,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting,100,0.0029229332102139443,0.001568616703236597,0.0005336913954586326,0.006188615616748309,0.00022880626208106165,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting,200,0.0008328696796960817,0.0006426769627374582,9.750586251078015e-05,0.0029002427940796657,9.088824769280617e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting,350,0.0002859092344082019,0.0002753998005997382,4.859161944363391e-05,0.0012214997492741224,3.894741330829958e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting,500,0.00013475384891137708,0.00011550716942707761,4.11870500651575e-05,0.0006024579587061515,1.6335180555510005e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting,750,7.524580447990175e-05,4.8134542225727e-05,2.6773466428752304e-06,0.00023570947825367984,6.8072522434243556e-06,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting,1000,5.225677560855493e-05,2.6095611171576334e-05,1.6266594413697473e-05,0.0001280123979267733,3.6904767237258103e-06,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting_optimal,11,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting_optimal,50,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting_optimal,100,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting_optimal,200,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting_optimal,350,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting_optimal,500,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting_optimal,750,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,inverse_variance_weighting_optimal,1000,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,mean,11,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,mean,50,0.007080484977887322,0.003395065784226317,0.0015538490310514873,0.0187135499655168,0.00048013480772017054,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,mean,100,0.0028703550231772624,0.0015600487213766128,0.0005336913954586326,0.006188615616748313,0.0002206242059733612,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,mean,200,0.0008328696796960817,0.0006426769627374585,9.750586251078015e-05,0.0029002427940796665,9.088824769280618e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,mean,350,0.0002859092344082019,0.0002753998005997382,4.859161944363392e-05,0.0012214997492741224,3.894741330829958e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,mean,500,0.00013475384891137708,0.00011550716942707762,4.1187050065157454e-05,0.0006024579587061514,1.6335180555510005e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,mean,750,7.524580447990175e-05,4.8134542225726996e-05,2.677346642875229e-06,0.00023570947825367984,6.807252243424354e-06,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationIQStratified,mean,1000,5.225677560855492e-05,2.6095611171576323e-05,1.6266594413697506e-05,0.0001280123979267733,3.6904767237258086e-06,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationSamplingSII,,11,0.012114656141826554,0.0023822786522299856,0.008358332133114843,0.017211781943135687,0.0003369050779335543,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationSamplingSII,,50,0.012114656141826554,0.0023822786522299856,0.008358332133114843,0.017211781943135687,0.0003369050779335543,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationSamplingSII,,100,0.012114656141826554,0.0023822786522299856,0.008358332133114843,0.017211781943135687,0.0003369050779335543,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationSamplingSII,,200,0.012114656141826554,0.0023822786522299856,0.008358332133114843,0.017211781943135687,0.0003369050779335543,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationSamplingSII,,350,0.03433933908713456,0.014058006616170604,0.007925505367082681,0.059006340425479364,0.001988102361651916,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationSamplingSII,,500,0.018026056513564943,0.010432228475851653,0.00449524872542352,0.058471694869985866,0.0014753398996324206,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationSamplingSII,,750,0.010303229545791645,0.005429871416121573,0.002370609606332944,0.025659128612535425,0.0007678997798621132,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,PermutationSamplingSII,,1000,0.008158206822326512,0.005489923567013501,0.0019052011096686334,0.029309991204529588,0.0007763924364862172,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SHAPIQ,,11,0.13155240400074983,0.05371389591768452,0.04162438134137314,0.31475661555377243,0.0075962920094686266,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SHAPIQ,,50,0.0186268493391827,0.009177789909972348,0.0047686680674695675,0.0502142015702167,0.0012979354963293841,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SHAPIQ,,100,0.004554026274406652,0.0024036989084444673,0.0008929847501867054,0.01042939891367956,0.00033993435961835697,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SHAPIQ,,200,0.0017087727906906283,0.0007903135032284414,0.0004566268565874552,0.004799621841043043,0.00011176720747922547,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SHAPIQ,,350,0.00038608698129521994,0.00023740963205171715,8.010141499624508e-05,0.0010575792204907922,3.3574792148554455e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SHAPIQ,,500,0.0010598235025857643,0.0005896472665004436,0.000129319245591235,0.0029873078842985864,8.3388716130115e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SHAPIQ,,750,0.0002973522972812684,0.00015661676666633862,6.1032213344483865e-05,0.0007465802327647974,2.214895555145586e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SHAPIQ,,1000,3.479684505250265e-05,1.908392544355798e-05,1.2192678630383667e-05,7.433526300978906e-05,2.6988746185596674e-06,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SVARMIQ,,11,0.017248404714210387,0.006643988233746857,0.005717479515026837,0.037107519277190616,0.0009396018268412069,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SVARMIQ,,50,0.004576627477473555,0.0017726443953262406,0.0017399250982710838,0.008198237799913221,0.00025068977451350234,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SVARMIQ,,100,0.0004673177791957921,0.0003682750574622099,3.690109529807304e-05,0.001536413633494185,5.2081958094678814e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SVARMIQ,,200,0.00029811297804338923,0.00022616138060898433,2.3517823498991104e-05,0.0008794669179977583,3.198404917422491e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SVARMIQ,,350,0.00030298980425051236,0.0002110141667159884,2.579356996908488e-05,0.0009145318120288235,2.9841909642260816e-05,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SVARMIQ,,500,1.3524558569102355e-05,1.1363242150570369e-05,6.127112167247479e-07,5.6939023774339985e-05,1.6070051161866231e-06,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SVARMIQ,,750,3.920411155248186e-06,3.858348474533408e-06,2.853720354925427e-07,2.1530978307030796e-05,5.456528741046688e-07,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,1,SVARMIQ,,1000,3.8830517155079267e-07,2.8251394995923166e-07,1.3352663257228404e-08,9.720202668594223e-07,3.995350595919393e-08,1.0,0.0,1.0,1.0,0.0,,,,,
CaliforniaHousingEnsembleSelection,10,2,KernelSHAPIQ,,11,3.459208538580316e+17,2.446029803509265e+18,0.004140466669193898,1.7296042612106869e+19,3.4592085220916e+17,0.23,0.14603605928757768,0.0,0.5,0.020652617564001368,,,,,
CaliforniaHousingEnsembleSelection,10,2,KernelSHAPIQ,,50,37.91801095371677,143.96944559621872,0.07611554875550801,962.516018802101,20.360354252950795,0.234,0.1188550823997228,0.0,0.4,0.016808646948665976,,,,,
CaliforniaHousingEnsembleSelection,10,2,KernelSHAPIQ,,100,0.05027725803787005,0.027225282173183058,0.01384725566498821,0.15956663595532813,0.003850236328874993,0.38,0.15252968931473304,0.0,0.8,0.021570955529344998,,,,,
CaliforniaHousingEnsembleSelection,10,2,KernelSHAPIQ,,200,0.007908342719068895,0.004938569282349351,0.002129922500286243,0.030603932379495803,0.0006984191657817615,0.506,0.14764823060233398,0.1,0.7,0.0208806130178211,,,,,
CaliforniaHousingEnsembleSelection,10,2,KernelSHAPIQ,,350,0.0003596018914068624,0.0001673295304148658,0.0001279023193885807,0.000830327270039939,2.3663969129822454e-05,0.758,0.1629949291811727,0.4,1.0,0.023050963944605662,,,,,
CaliforniaHousingEnsembleSelection,10,2,KernelSHAPIQ,,500,0.0014860087270470587,0.0008640448700124822,0.00037120478947100553,0.004207339049049753,0.00012219439736705503,0.634,0.18362561734937408,0.3,1.0,0.02596858384546172,,,,,
CaliforniaHousingEnsembleSelection,10,2,KernelSHAPIQ,,750,0.0004240950306963741,0.000236479076667935,0.0001085524844356585,0.0010632682363593611,3.3443191744126055e-05,0.736,0.18043032461539363,0.3,1.0,0.025516701213446978,,,,,
CaliforniaHousingEnsembleSelection,10,2,KernelSHAPIQ,,1000,4.536406166703852e-05,2.245390283435985e-05,1.3558788092867076e-05,0.00010288280841958649,3.175461391655938e-06,0.86,0.12289036095775181,0.6,1.0,0.017379321515137772,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting,11,,,,,,0.20199999999999999,0.1622419458080796,0.0,0.5,0.022944476014758686,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting,50,0.007712287682223361,0.003014574210814335,0.0020440796461051367,0.018454807002400327,0.0004263251733713802,0.32799999999999996,0.17147618386427035,0.0,0.7,0.02425039448448336,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting,100,0.004185549231134087,0.002631578982118466,0.0012180931005825034,0.015011902190107512,0.000372161468696792,0.5,0.2050385727772475,0.0,0.9,0.028996833043120628,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting,200,0.0021798595832444503,0.00123332417401358,0.0005318104842868472,0.0060985898921005356,0.00017441837736926,0.596,0.19893594497747671,0.0,1.0,0.028133791143065533,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting,350,0.0009364266161647974,0.0003138889712046446,0.0004374725003508439,0.0016871174406175298,4.439060401569462e-05,0.654,0.1763692786427942,0.3,1.0,0.024942382584259907,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting,500,0.0007493941677362315,0.0004362224144709835,0.0003429659027345394,0.0028846729034907553,6.169116547560024e-05,0.6859999999999999,0.18071287407692585,0.3,1.0,0.025556659741500985,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting,750,0.0005177723121944501,0.00024991531247379615,0.00019165015016951807,0.0013489904649624921,3.5343362434515244e-05,0.7240000000000001,0.16970562748477142,0.4,1.0,0.024,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting,1000,0.0003602309858411687,0.0001926909699441014,0.00011282077762486528,0.0012920652336518815,2.7250618304177462e-05,0.738,0.17010201021020013,0.2,1.0,0.024056056982619162,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting_optimal,11,,,,,,0.20199999999999999,0.1622419458080796,0.0,0.5,0.022944476014758686,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting_optimal,50,,,,,,0.20199999999999999,0.1622419458080796,0.0,0.5,0.022944476014758686,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting_optimal,100,,,,,,0.20199999999999999,0.1622419458080796,0.0,0.5,0.022944476014758686,,,,,
CaliforniaHousingEnsembleSelection,10,2,PermutationIQ,inverse_variance_weighting_optimal,200,,,,,,0.20199999999999999,0.1622419458080796,0.0,0.5,0.022944476014758686,,,,,
