Game,n,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,16,8.033875360279212e+26,5.680807746460948e+27,0.0005162292938635338,4.016937680139605e+28,8.033875360279211e+26,0.746,0.08134080483135293,0.6,0.9,0.011503326936684231,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,50,0.004031926881981026,0.003236897456660184,5.23967773812698e-05,0.0124681577145956,0.0004577664283219809,0.758,0.08351951989853414,0.6,1.0,0.011811443776339654,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,100,0.001583491564762076,0.0013670975443653434,5.082148877768717e-05,0.005342630383306208,0.00019333678883284226,0.802,0.09145089013302413,0.6,1.0,0.01293310891172146,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,250,0.0009221416990376667,0.0009531745172053207,2.3820600555304372e-05,0.004858710602911042,0.00013479923295401915,0.8220000000000001,0.0974993458900089,0.6,1.0,0.013788489728015605,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,500,0.0008148861612435086,0.000923030345500733,1.4666978605279399e-05,0.0035993328647459283,0.000130536203308906,0.84,0.09258200997725519,0.6,1.0,0.013093073414159542,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,750,0.0007153590440665256,0.000852209215645279,1.1956603345833523e-05,0.0033169022875883343,0.0001205205830744891,0.8460000000000001,0.10143863129186705,0.6,1.0,0.01434558881215222,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,1000,0.0008506826259880738,0.0007896509126922844,3.145902628779209e-05,0.0029313648774640963,0.00011167350302697214,0.8140000000000001,0.06391959234627742,0.7,1.0,0.0090395954397465,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,2000,4.7244981153424054e-05,4.335700164192685e-05,1.337430086538976e-06,0.00017432055274707093,6.13160597458455e-06,0.9279999999999999,0.0729551161988783,0.7,1.0,0.010317411477295877,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,3500,1.914668581003576e-05,1.81172748258984e-05,6.248673038107359e-07,5.899313720408973e-05,2.5621695772026178e-06,0.96,0.05714285714285713,0.8,1.0,0.008081220356417684,,,,,
ImageClassifierLocalXAI,14,1,KernelSHAPIQ,,5000,1.1375717854022767e-05,1.0382550078181989e-05,3.129745721358005e-07,4.251943576554087e-05,1.4683143132582804e-06,0.9540000000000001,0.06131218209678552,0.8,1.0,0.008670851945996294,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,16,,,,,,0.716,0.0865671851859607,0.6,0.9,0.01224244873464489,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,50,0.0039955630086140025,0.004049328055395742,0.0001777769128239982,0.018931314889829565,0.000572661465443853,0.8360000000000001,0.08750510189207747,0.7,1.0,0.012375090187261552,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,100,0.001603447664496125,0.001959269136131821,0.00010332051606114115,0.01207563066492581,0.00027708249846566393,0.868,0.08191583535332261,0.7,1.0,0.011584648532979025,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,250,0.0005912103085025497,0.0006737132168172038,6.85941050950901e-05,0.003704782736818885,9.527743683728953e-05,0.9179999999999999,0.06605501726683936,0.8,1.0,0.00934159012815532,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,500,0.00038388692746079485,0.00044019505401605573,1.1671944984544216e-05,0.002278656359316457,6.225298154790633e-05,0.932,0.05510657577710259,0.8,1.0,0.007793246683991915,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,750,0.0002177613538263631,0.000224468206933886,6.534305013667237e-06,0.0008455285648013366,3.1744598256747195e-05,0.9359999999999999,0.06311634866964147,0.8,1.0,0.008925999629607604,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,1000,0.0001871453310028468,0.00015849462067548138,5.0891858304708275e-06,0.0006835785665556338,2.241452421224449e-05,0.946,0.057887998826728015,0.8,1.0,0.008186599303939657,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,2000,7.743745978477656e-05,8.313141927003963e-05,5.849909057870164e-06,0.00043998205833698623,1.1756558059101409e-05,0.97,0.04629100498862756,0.9,1.0,0.006546536707079769,,,,,
ImageClassifierLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,3500,5.79101325664837e-05,9.590916083189041e-05,2.573272270861794e-06,0.0006705373309617019,1.3563603600428185e-05,0.976,0.04763809143009447,0.8,1.0,0.00673704349860091,,,,,
