Game,n,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,16,9.847300419862168e+29,6.963092903265676e+30,9.982020286302197e-08,4.923650209931084e+31,9.84730041986217e+29,0.7559999999999999,0.09071147352221458,0.6,1.0,0.012828539611796372,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,50,0.0011551629800211822,0.0026306956309907273,5.843504971709921e-08,0.015594973517892293,0.0003720365439822732,0.782,0.07475128829686363,0.6,0.9,0.010571428571428575,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,100,0.0003199947637930889,0.0004895754589064492,1.3121820384159919e-08,0.0016501888477136598,6.923642537905322e-05,0.806,0.0818410604994429,0.6,1.0,0.011574073771730913,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,250,0.00014518388252609255,0.00029473311005929847,2.4131954735011447e-09,0.0016570074665266247,4.168155615262619e-05,0.86,0.08806305718527109,0.7,1.0,0.012453996981544781,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,500,5.180209734037224e-05,6.128575917380242e-05,3.874400352880692e-09,0.00022599934191185655,8.667115180392268e-06,0.88,0.08806305718527109,0.7,1.0,0.01245399698154478,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,750,5.198125682025202e-05,6.406482043883518e-05,3.7565453181300396e-09,0.00021319493984428757,9.060133793559776e-06,0.892,0.08769148144698749,0.7,1.0,0.01240144823669183,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,1000,0.00020663056337524646,0.00037701442477280114,4.025537789486411e-09,0.00175624897270739,5.3317891272398635e-05,0.84,0.09035079029052513,0.6,1.0,0.012777531299998798,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,2000,1.3190831310497993e-05,2.6380256738392998e-05,3.4111715128305606e-10,0.00011438463910240817,3.7307316858319606e-06,0.904,0.07273098320775914,0.8,1.0,0.010285714285714283,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,3500,4.898055471571354e-06,8.903514800623021e-06,1.4131842585280853e-10,3.716983561541108e-05,1.2591471383830662e-06,0.914,0.0700145757419591,0.8,1.0,0.009901556257807686,,,,,
AdultCensusLocalXAI,14,1,KernelSHAPIQ,,5000,2.773726430309309e-06,5.259193354347497e-06,1.3238663818483212e-10,2.1000589468073883e-05,7.437622568860679e-07,0.93,0.06468132241526726,0.8,1.0,0.009147320339189783,,,,,
AdultCensusLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,16,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,50,0.0005428537631700652,0.000775323397986673,2.0662820808274338e-08,0.0033323568664573163,0.00010964728646579456,0.9640000000000001,0.0484873221385061,0.9,1.0,0.006857142857142856,,,,,
AdultCensusLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,100,0.0004685527049390625,0.0010527505431654819,1.747822829618051e-08,0.005487743980411532,0.00014888140959402668,0.9620000000000001,0.04903143514780147,0.9,1.0,0.006934092056863767,,,,,
AdultCensusLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,250,9.122887789394118e-05,0.00017620457446225517,1.5968577649942737e-08,0.0010862610706511202,2.491908989567012e-05,0.96,0.04948716593053934,0.9,1.0,0.00699854212223765,,,,,
AdultCensusLocalXAI,14,1,PermutationIQ,inverse_variance_weighting,500,5.8681319676520386e-05,9.772991180548893e-05,1.61447430262537e-09,0.0004404377133475494,1.382109667248489e-05,0.958,0.049856938190328985,0.9,1.0,0.007050835816716035,,,,,
