Game,n,k,Approximator,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se,Iterations
SOUM,14,1,KernelSHAPIQ,10000,7.58384778692732e-07,1.3029276683701083e-06,4.848588239266588e-11,4.947160298739278e-06,2.3788095825463956e-07,0.95,0.0682288239221013,0.8,1.0,0.012456821978060993,0.5453434149424236,0.011538252281059454,0.5288839340209961,0.5723822116851807,0.002106587016173892,30
SOUM,14,1,PermutationIQ,10000,3.239943562322798e-06,7.695357991588061e-06,6.216864498120965e-10,4.1019597218772315e-05,1.4049737200234768e-06,0.9833333333333333,0.0379049021789452,0.9,1.0,0.006920456654478329,0.06342795689900717,0.0012259561021426243,0.0597074031829834,0.06549072265625,0.0002238279372182073,30
SOUM,14,1,PermutationIQStratified,10000,1.2162958604153305e-06,1.5756158045995546e-06,5.316790391440618e-10,4.924311285885295e-06,2.876667727136094e-07,0.9833333333333333,0.0379049021789452,0.9,1.0,0.006920456654478329,0.05738150278727214,0.0006764007948580462,0.05603909492492676,0.058888912200927734,0.000123493324419392,30
SOUM,14,1,PermutationSamplingSII,10000,6.3031287479036055e-06,1.3162737706193782e-05,1.5932510700787634e-09,6.240736381261186e-05,2.403176120068714e-06,0.9700000000000001,0.046609159969939896,0.9,1.0,0.00850962943396763,0.12123917738596598,0.0012926655862827798,0.1183931827545166,0.12374091148376465,0.00023600736697257363,30
SOUM,14,1,SHAPIQ,10000,2.229654261011018e-06,6.537483411108703e-06,5.3162830257650675e-11,2.675664630373375e-05,1.1935757111933518e-06,0.9366666666666668,0.06686751354593719,0.8,1.0,0.012208281844464014,0.5635425567626953,0.008837064003739644,0.5461270809173584,0.5824973583221436,0.0016134197656550277,30
SOUM,14,1,SVARMIQ,10000,1.066724531313248e-06,2.8574383221897615e-06,4.933421867453172e-11,1.4313864777818602e-05,5.216944752476824e-07,0.9366666666666668,0.06149478998583782,0.8,1.0,0.011227361214762052,1.01230731010437,0.008870467465574107,0.9998023509979248,1.0391571521759033,0.0016195183755035583,30
SOUM,14,2,KernelSHAPIQ,10000,2.1990559605713044e-07,2.764988534205266e-07,2.0717081166590788e-11,1.0393500887748742e-06,5.048155304757896e-08,0.9866666666666667,0.034574590364176046,0.9,1.0,0.006312427686319989,0.601756199200948,0.012633512995173795,0.5819892883300781,0.6299748420715332,0.0023065533493304407,30
SOUM,14,2,PermutationIQ,10000,3.979783083135601e-05,9.288492143591719e-05,1.3277524073240081e-09,0.0004864793003578047,1.6958388907515664e-05,0.8966666666666667,0.10333518722845685,0.5,1.0,0.01886633767634852,0.25563588937123616,0.0022222827335103843,0.25144100189208984,0.26129698753356934,0.00040573146076596075,30
SOUM,14,2,PermutationIQStratified,10000,3.922135459862861e-05,9.29944048907954e-05,1.2182497722303592e-09,0.00048780072012630335,1.6978377760152456e-05,0.8866666666666667,0.10742546199601596,0.5,1.0,0.019613116261877298,0.24537136554718017,0.001763018178438128,0.2422046661376953,0.24845218658447266,0.0003218816085407444,30
SOUM,14,2,PermutationSamplingSII,10000,1.6799756934837142e-05,2.301291484096881e-05,2.8165256897387185e-09,9.690853081012094e-05,4.201564190781343e-06,0.8533333333333334,0.10416609195243756,0.7,1.0,0.019018039429835803,0.10593542257944742,0.0014613099669965352,0.10358357429504395,0.1091620922088623,0.0002667974774770432,30
SOUM,14,2,SHAPIQ,10000,9.577107359086243e-06,2.6370242032829532e-05,2.484571921930029e-10,0.00012551078489241398,4.814525469417207e-06,0.9366666666666668,0.11290317283753191,0.4,1.0,0.020613204859006928,0.7278993527094523,0.01360754044670387,0.7071413993835449,0.7662935256958008,0.002484385618274545,30
SOUM,14,2,SVARMIQ,10000,4.186908319455994e-06,9.99504229184402e-06,1.8132393700984582e-10,4.5466216588469424e-05,1.8248367088203673e-06,0.95,0.1137147065368355,0.4,1.0,0.02076136996343499,6.747508374849955,0.035583053704926454,6.684567213058472,6.8120503425598145,0.006496547059702013,30
SOUM,14,3,KernelSHAPIQ,10000,7.791602043225403e-07,1.0467605900861063e-06,5.981216723304427e-11,4.10719686725764e-06,1.9111146249919297e-07,0.98,0.040683810217248616,0.9,1.0,0.007427813527082072,1.4716705163319905,0.027903402121485628,1.4171836376190186,1.555689811706543,0.005094440924358394,30
